Name	Atoms	Format	Source
pubchem_962	3	sdf	pubchem_mols
pubchem_6325	6	sdf	pubchem_mols
pubchem_702	9	sdf	pubchem_mols
PubChem_5281229	13	sdf	zinc_molecules
pubchem_2244	21	sdf	pubchem_mols
chno_xyz/n030_pubchem_01_66269f5ee7	30	xyz	pubchem3d:76663:C10H18N2
chno_xyz/n030_pubchem_02_bb910efe6b	30	xyz	pubchem3d:213512:C10H18N2
chno_xyz/n030_pubchem_03_d4d4721ab2	30	xyz	pubchem3d:10012278:C10H18N2
chno_xyz/n030_pubchem_04_2c581595d2	30	xyz	pubchem3d:186669:C10H18N2
chno_xyz/n030_pubchem_05_bbc149610e	30	xyz	pubchem3d:44269161:C10H18N2
chno_xyz/n030_pubchem_06_ade0bbe57f	30	xyz	pubchem3d:431837:C10H18N2
chno_xyz/n030_pubchem_07_ce2df8999e	30	xyz	pubchem3d:22682:C10H18N2
chno_xyz/n030_pubchem_08_f8e7907176	30	xyz	pubchem3d:20482080:C10H18N2
chno_xyz/n030_pubchem_09_1cfcb043bb	30	xyz	pubchem3d:246344:C10H18N2
chno_xyz/n030_pubchem_10_6725cb2251	30	xyz	pubchem3d:78472:C10H18N2
chno_xyz/n031_pubchem_01_e64886bc63	31	xyz	pubchem3d:5365910:C11H18O2
chno_xyz/n031_pubchem_02_b3f0346a7f	31	xyz	pubchem3d:61040:C11H18O2
chno_xyz/n031_pubchem_03_0cfe771625	31	xyz	pubchem3d:15461361:C11H18O2
chno_xyz/n031_pubchem_04_79e270a811	31	xyz	pubchem3d:5354882:C11H18O2
chno_xyz/n031_pubchem_05_2689970a95	31	xyz	pubchem3d:5282109:C11H18O2
chno_xyz/n031_pubchem_06_e15c77b082	31	xyz	pubchem3d:61451:C11H18O2
chno_xyz/n031_pubchem_07_35deea2bdf	31	xyz	pubchem3d:6436336:C11H18O2
chno_xyz/n031_pubchem_08_8ad1d3a56a	31	xyz	pubchem3d:22034852:C11H18O2
chno_xyz/n031_pubchem_09_198fbd2845	31	xyz	pubchem3d:16537:C11H18O2
chno_xyz/n031_pubchem_10_02d5cd3582	31	xyz	pubchem3d:518472:C11H18O2
chno_xyz/n032_pubchem_01_30b57f4594	32	xyz	pubchem3d:57351458:C11H19NO
chno_xyz/n032_pubchem_02_73f2b1f04d	32	xyz	pubchem3d:143371:C11H19NO
chno_xyz/n032_pubchem_03_f1e372dd26	32	xyz	pubchem3d:306092:C11H19NO
chno_xyz/n032_pubchem_04_412bf4df5b	32	xyz	pubchem3d:525778:C11H19NO
chno_xyz/n032_pubchem_05_7c58f103dc	32	xyz	pubchem3d:525779:C11H19NO
chno_xyz/n032_pubchem_06_8b2b26c9ac	32	xyz	pubchem3d:525781:C11H19NO
chno_xyz/n032_pubchem_07_0d63c2c8f4	32	xyz	pubchem3d:177233:C11H19NO
chno_xyz/n032_pubchem_08_59b719eaac	32	xyz	pubchem3d:10313386:C11H19NO
chno_xyz/n032_pubchem_09_f30d310a17	32	xyz	pubchem3d:239732:C11H19NO
chno_xyz/n032_pubchem_10_61d5145020	32	xyz	pubchem3d:87282911:C11H19NO
chno_xyz/n033_pubchem_01_8ea2968c72	33	xyz	pubchem3d:136912:C11H20N2
chno_xyz/n033_pubchem_02_4e9d6319a4	33	xyz	pubchem3d:161351:C11H20N2
chno_xyz/n033_pubchem_03_432fc4b7a7	33	xyz	pubchem3d:25034505:C11H20N2
chno_xyz/n033_pubchem_04_cca6c36fdc	33	xyz	pubchem3d:44399796:C11H20N2
chno_xyz/n033_pubchem_05_dc451bce8d	33	xyz	pubchem3d:10822632:C11H20N2
chno_xyz/n033_pubchem_06_ede58c2360	33	xyz	pubchem3d:3150600:C11H20N2
chno_xyz/n033_pubchem_07_0302ed5268	33	xyz	pubchem3d:20141002:C11H20N2
chno_xyz/n033_pubchem_08_7bdc4e5df3	33	xyz	pubchem3d:2060578:C11H20N2
chno_xyz/n033_pubchem_09_30352b73e3	33	xyz	pubchem3d:45792674:C11H20N2
chno_xyz/n033_pubchem_10_72fe8d32e4	33	xyz	pubchem3d:45792690:C11H20N2
chno_xyz/n034_pubchem_01_5ec57c4d6c	34	xyz	pubchem3d:8294:C12H20O2
chno_xyz/n034_pubchem_02_9f6fe47fd0	34	xyz	pubchem3d:1549026:C12H20O2
chno_xyz/n034_pubchem_03_6fbd989337	34	xyz	pubchem3d:5281162:C12H20O2
chno_xyz/n034_pubchem_04_e39e4e2119	34	xyz	pubchem3d:111037:C12H20O2
chno_xyz/n034_pubchem_05_97e54e66fa	34	xyz	pubchem3d:17617:C12H20O2
chno_xyz/n034_pubchem_06_af3782eebd	34	xyz	pubchem3d:93009:C12H20O2
chno_xyz/n034_pubchem_07_1d19ca4e73	34	xyz	pubchem3d:637531:C12H20O2
chno_xyz/n034_pubchem_08_86343106e3	34	xyz	pubchem3d:30248:C12H20O2
chno_xyz/n034_pubchem_09_e7ecea8e34	34	xyz	pubchem3d:94579:C12H20O2
chno_xyz/n034_pubchem_10_008722cb8c	34	xyz	pubchem3d:1549025:C12H20O2
chno_xyz/n035_pubchem_01_42f98ead36	35	xyz	pubchem3d:197861:C12H21NO
chno_xyz/n035_pubchem_02_8ddd3bccda	35	xyz	pubchem3d:3382167:C12H21NO
chno_xyz/n035_pubchem_03_c4430fd283	35	xyz	pubchem3d:212644:C12H21NO
chno_xyz/n035_pubchem_04_6d4fafc1b6	35	xyz	pubchem3d:2835979:C12H21NO
chno_xyz/n035_pubchem_05_46d2d4caeb	35	xyz	pubchem3d:525782:C12H21NO
chno_xyz/n035_pubchem_06_f0d2b096aa	35	xyz	pubchem3d:2850520:C12H21NO
chno_xyz/n035_pubchem_07_8b3afd7d12	35	xyz	pubchem3d:6479668:C12H21NO
chno_xyz/n035_pubchem_08_e02417e586	35	xyz	pubchem3d:379926:C12H21NO
chno_xyz/n035_pubchem_09_e9f278b5c9	35	xyz	pubchem3d:3086435:C12H21NO
