name,converged,steps,grad_calls,hessian_calls,energy_calls,calculate_calls,calculate_energy_calls,calculate_gradient_calls,calculate_hessian_calls,cnt_not_pd,wall_time_s,dft_hessian_is_pd,sample_index,coord,source
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,3.908657271997072,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,62,63,0,0,0,0,0,0,0,1.6758480470161885,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,15,16,0,0,0,0,0,0,0,0.4628257479926105,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,6,7,0,0,0,0,0,0,0,0.2082758820033632,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1282180070120375,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,11,12,0,0,0,0,0,0,0,0.3915916460100561,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,4,4,5,0,0,0,0,0,5,0.3210154809930827,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,44.36441912598093,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,5,5,6,0,0,0,0,0,6,6.530565752997063,False,0,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.000902414991288,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,57,58,0,0,0,0,0,0,0,1.5225253490207251,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,15,16,0,0,0,0,0,0,0,0.4399810580071062,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,5,6,0,0,0,0,0,0,0,0.1665082989784423,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1262593329884112,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,13,14,0,0,0,0,0,0,0,0.4131347530055791,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,5,5,6,0,0,0,0,0,6,0.3894514379790053,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,44.59056788499584,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,11,11,12,0,0,0,0,0,12,13.182031486008782,False,1,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.005968860001303,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,42,43,0,0,0,0,0,0,0,1.123284199013142,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,7,8,0,0,0,0,0,0,0,0.2194100409979,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,7,8,0,0,0,0,0,0,0,0.2255238099896814,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1322233760147355,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,15,16,0,0,0,0,0,0,0,0.5080139789788518,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,3,3,4,0,0,0,0,0,4,0.2609979889821261,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,149,44.3294413270196,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,5,5,6,0,0,0,0,0,6,6.494552957010455,False,2,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.023780351009918,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,94,95,0,0,0,0,0,0,0,2.5897503230080474,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,18,19,0,0,0,0,0,0,0,0.5871897840115707,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,10,11,0,0,0,0,0,0,0,0.3137593680003192,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,4,4,1,0,0,0,0,0,1,0.1563352630182635,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4477532919845544,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,6,6,7,0,0,0,0,0,7,0.4596279340039473,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,145,44.93164199899184,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,99,99,100,0,0,0,0,0,100,108.88659080900834,False,3,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.085239264008123,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,64,65,0,0,0,0,0,0,0,1.7102683320117649,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,14,15,0,0,0,0,0,0,0,0.4156935649807565,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,4,5,0,0,0,0,0,0,0,0.1495537069858983,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.133752572000958,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,10,11,0,0,0,0,0,0,0,0.355918560991995,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,13,13,14,0,0,0,0,0,14,0.9637258989969268,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,145,44.56071094798972,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,56,56,57,0,0,0,0,0,57,62.02310371299973,False,4,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.0301386209903285,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,75,76,0,0,0,0,0,0,0,1.9997110839758532,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,18,19,0,0,0,0,0,0,0,0.5446162759908475,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,6,7,0,0,0,0,0,0,0,0.2004018480074592,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1297729680081829,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4619544640008826,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,9,9,10,0,0,0,0,0,10,0.6792047170165461,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,147,44.92660232700291,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,17,17,18,0,0,0,0,0,18,19.79903314099647,False,5,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,3.985683633974986,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,61,62,0,0,0,0,0,0,0,1.6719579249911476,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,13,14,0,0,0,0,0,0,0,0.4083337589981965,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,7,8,0,0,0,0,0,0,0,0.2376713159901555,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1362150759960059,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4571694190090056,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,4,4,5,0,0,0,0,0,5,0.3317301679926459,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,147,44.58232515200507,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,84,84,85,0,0,0,0,0,85,92.6831830299925,False,6,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.072574257996166,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,57,58,0,0,0,0,0,0,0,1.531724700005725,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,12,13,0,0,0,0,0,0,0,0.3588954669830855,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,7,8,0,0,0,0,0,0,0,0.2231987989798654,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,5,5,1,0,0,0,0,0,1,0.1860095309966709,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,23,24,0,0,0,0,0,0,0,0.7445876800047699,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,6,6,7,0,0,0,0,0,7,0.4786849929951131,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,44.79523074699682,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,21,21,22,0,0,0,0,0,22,24.21944968600292,False,7,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.00086878699949,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,67,68,0,0,0,0,0,0,0,1.991685912013054,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,15,16,0,0,0,0,0,0,0,0.4683480559906456,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,5,6,0,0,0,0,0,0,0,0.1788164130121003,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,4,4,1,0,0,0,0,0,1,0.1652877360174898,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,20,21,0,0,0,0,0,0,0,0.6929703050118405,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,3,3,4,0,0,0,0,0,4,0.260215830989182,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,44.76340927899582,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,6,6,7,0,0,0,0,0,7,7.542695172014646,False,8,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.087384543992812,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,43,44,0,0,0,0,0,0,0,1.1594605810241774,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,12,13,0,0,0,0,0,0,0,0.3587686220125761,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,6,7,0,0,0,0,0,0,0,0.1955012750113383,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1259624370140954,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,12,13,0,0,0,0,0,0,0,0.4018906170094851,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,3,3,4,0,0,0,0,0,4,0.2620996629993897,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,149,44.86753127200063,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,5,5,6,0,0,0,0,0,6,6.513705518009374,False,9,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.024822064995533,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,47,48,0,0,0,0,0,0,0,1.312145703996066,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,12,13,0,0,0,0,0,0,0,0.3838149000075646,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,4,5,0,0,0,0,0,0,0,0.1450288820196874,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1327857479918748,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,16,17,0,0,0,0,0,0,0,0.5577166209986899,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,4,4,5,0,0,0,0,0,5,0.3199881319887936,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,147,44.713118532003136,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,4,4,5,0,0,0,0,0,5,5.417981812992366,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.072389029985061,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,68,69,0,0,0,0,0,0,0,1.8170195210259408,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,15,16,0,0,0,0,0,0,0,0.4426012290059589,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,8,9,0,0,0,0,0,0,0,0.2520325299992692,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1278343570011202,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,18,19,0,0,0,0,0,0,0,0.6297616740048397,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,3,3,4,0,0,0,0,0,4,0.2655761080095544,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,44.86725367998588,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,7,7,8,0,0,0,0,0,8,8.664169340016088,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.079563462000806,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,42,43,0,0,0,0,0,0,0,1.169068866991438,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,10,11,0,0,0,0,0,0,0,0.3099939630192239,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,7,8,0,0,0,0,0,0,0,0.2233077179989777,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1269221210095565,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4475106789905112,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,2,2,3,0,0,0,0,0,3,0.1807049729977734,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,44.82562252500793,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,23,23,24,0,0,0,0,0,24,26.36151939898264,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.001783379993867,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,66,67,0,0,0,0,0,0,0,1.7736265409912448,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,13,14,0,0,0,0,0,0,0,0.4006696889991872,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,5,6,0,0,0,0,0,0,0,0.1812863389786798,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1321059619949665,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4701562449918128,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,5,5,6,0,0,0,0,0,6,0.3959907829994336,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,44.78846860898193,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,100,100,101,0,0,0,0,0,101,110.3710715950001,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.393359289999353,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,67,68,0,0,0,0,0,0,0,1.952454394981032,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,20,21,0,0,0,0,0,0,0,0.6310756920138374,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,15,16,0,0,0,0,0,0,0,0.5042951089853887,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,8,8,1,0,0,0,0,0,1,0.299444426986156,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,11,12,0,0,0,0,0,0,0,0.4170271400071215,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,4,4,5,0,0,0,0,0,5,0.3551884829939808,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,65.16637501199148,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,264.13104349101195,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.261757456988562,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,69,70,0,0,0,0,0,0,0,2.0473221730208024,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,20,21,0,0,0,0,0,0,0,0.652028265001718,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
