number_of_atoms,method,replicate_index,time_seconds,peak_memory_gigabytes
5,EquiformerV2 finite differences,1,0.682431396484375,0.09358592
5,EquiformerV2 finite differences,2,0.6751055297851563,0.09358592
5,EquiformerV2 finite differences,3,0.67736376953125,0.09358592
5,EquiformerV2 finite differences,4,0.6752460327148437,0.09358592
5,EquiformerV2 finite differences,5,0.6762813720703125,0.09358592
5,EquiformerV2 finite differences,6,0.678211669921875,0.09358592
5,EquiformerV2 finite differences,7,0.6774374389648438,0.09358592
5,EquiformerV2 finite differences,8,0.677407470703125,0.09358592
5,EquiformerV2 finite differences,9,0.6808319702148438,0.09358592
5,EquiformerV2 finite differences,10,0.6793674926757812,0.09358592
5,EquiformerV2 forward pass,1,0.02207222366333008,0.09356544
5,EquiformerV2 forward pass,2,0.022567808151245122,0.09356544
5,EquiformerV2 forward pass,3,0.0222256965637207,0.09356544
5,EquiformerV2 forward pass,4,0.022049760818481444,0.09356544
5,EquiformerV2 forward pass,5,0.0222061767578125,0.09356544
5,EquiformerV2 forward pass,6,0.022367231369018553,0.09356544
5,EquiformerV2 forward pass,7,0.022748159408569335,0.09356544
5,EquiformerV2 forward pass,8,0.022462688446044918,0.09356544
5,EquiformerV2 forward pass,9,0.022361919403076167,0.09356544
5,EquiformerV2 forward pass,10,0.02256608009338379,0.09356544
5,HIP,1,0.03196108818054199,0.093727744
5,HIP,2,0.031351808547973634,0.093727744
5,HIP,3,0.03139481544494629,0.093727744
5,HIP,4,0.03145427131652832,0.093727744
5,HIP,5,0.03159756851196289,0.093727744
5,HIP,6,0.031898624420166014,0.093727744
5,HIP,7,0.03215359878540039,0.093727744
5,HIP,8,0.03223529434204102,0.093727744
5,HIP,9,0.03171123123168945,0.093727744
5,HIP,10,0.03133465576171875,0.093727744
5,EquiformerV2 AD (direct force),1,0.19238394165039066,0.16120320000000002
5,EquiformerV2 AD (direct force),2,0.1911325836181641,0.16120320000000002
5,EquiformerV2 AD (direct force),3,0.19175648498535158,0.16120320000000002
5,EquiformerV2 AD (direct force),4,0.19242086791992188,0.16120320000000002
5,EquiformerV2 AD (direct force),5,0.19242413330078126,0.16120320000000002
5,EquiformerV2 AD (direct force),6,0.1918975982666016,0.16120320000000002
5,EquiformerV2 AD (direct force),7,0.1917573089599609,0.16120320000000002
5,EquiformerV2 AD (direct force),8,0.19048316955566408,0.16120320000000002
5,EquiformerV2 AD (direct force),9,0.19073843383789066,0.16120320000000002
5,EquiformerV2 AD (direct force),10,0.19482112121582032,0.16120320000000002
5,EquiformerV2 AD (conservative force),1,0.4431175537109375,0.272534016
5,EquiformerV2 AD (conservative force),2,0.44430142211914064,0.272534016
5,EquiformerV2 AD (conservative force),3,0.4434964599609375,0.272534016
5,EquiformerV2 AD (conservative force),4,0.4444404602050781,0.272534016
5,EquiformerV2 AD (conservative force),5,0.44402685546875,0.272534016
5,EquiformerV2 AD (conservative force),6,0.44554443359375,0.272534016
5,EquiformerV2 AD (conservative force),7,0.44485140991210936,0.272534016
5,EquiformerV2 AD (conservative force),8,0.4495574951171875,0.272534016
5,EquiformerV2 AD (conservative force),9,0.44402001953125,0.272534016
5,EquiformerV2 AD (conservative force),10,0.4442540283203125,0.272534016
6,EquiformerV2 finite differences,1,0.8118855590820313,0.104930304
6,EquiformerV2 finite differences,2,0.8170762329101563,0.104930304
6,EquiformerV2 finite differences,3,0.8101215209960938,0.104930304
6,EquiformerV2 finite differences,4,0.8079298706054687,0.104930304
6,EquiformerV2 finite differences,5,0.805017578125,0.104930304
6,EquiformerV2 finite differences,6,0.8071925048828125,0.104930304
6,EquiformerV2 finite differences,7,0.8068773803710938,0.104930304
6,EquiformerV2 finite differences,8,0.8075325317382812,0.104930304
6,EquiformerV2 finite differences,9,0.8098856811523437,0.104930304
6,EquiformerV2 finite differences,10,0.8067625122070312,0.104930304
6,EquiformerV2 forward pass,1,0.02223004722595215,0.10490675199999999
6,EquiformerV2 forward pass,2,0.022548479080200197,0.10490675199999999
6,EquiformerV2 forward pass,3,0.022184959411621095,0.10490675199999999
6,EquiformerV2 forward pass,4,0.022166528701782227,0.10490675199999999
6,EquiformerV2 forward pass,5,0.021805248260498046,0.10490675199999999
6,EquiformerV2 forward pass,6,0.02226313591003418,0.10490675199999999
6,EquiformerV2 forward pass,7,0.02237475204467773,0.10490675199999999
6,EquiformerV2 forward pass,8,0.021942111968994142,0.10490675199999999
6,EquiformerV2 forward pass,9,0.02204774475097656,0.10490675199999999
6,EquiformerV2 forward pass,10,0.02224844741821289,0.10490675199999999
6,HIP,1,0.03166425514221192,0.105043968
6,HIP,2,0.03237753677368164,0.105043968
6,HIP,3,0.03245904159545898,0.105043968
6,HIP,4,0.031643360137939454,0.105043968
6,HIP,5,0.031457183837890625,0.105043968
6,HIP,6,0.031607967376708984,0.105043968
6,HIP,7,0.03993600082397461,0.105043968
6,HIP,8,0.040795135498046885,0.105043968
6,HIP,9,0.038724609375,0.105043968
6,HIP,10,0.034345664978027345,0.105043968
6,EquiformerV2 AD (direct force),1,0.2263203887939453,0.17669888
6,EquiformerV2 AD (direct force),2,0.2266491851806641,0.17669888
6,EquiformerV2 AD (direct force),3,0.2264935607910156,0.17669888
6,EquiformerV2 AD (direct force),4,0.22704537963867188,0.17669888
6,EquiformerV2 AD (direct force),5,0.22678016662597655,0.17669888
6,EquiformerV2 AD (direct force),6,0.22651084899902343,0.17669888
