model,reaction_identifier,dft_force_rms_hartree_per_bohr,dft_negative_mode_count,dft_is_transition_state,dft_force_rms_below_0p002_hartree_per_bohr,dft_is_transition_state_and_force_rms_below_0p002_hartree_per_bohr
EquiformerV2 AD,rxn10019,0.0011139869080367818,1,True,True,True
EquiformerV2 AD,rxn10032,0.000448576465457116,1,True,True,True
EquiformerV2 AD,rxn10042,0.006757986144360149,1,True,False,False
EquiformerV2 AD,rxn1024,0.0006123189484279078,1,True,True,True
EquiformerV2 AD,rxn102,0.000758036080559362,1,True,True,True
EquiformerV2 AD,rxn1041,0.0004963230275492525,1,True,True,True
EquiformerV2 AD,rxn1050,0.0005468390197412229,1,True,True,True
EquiformerV2 AD,rxn1058,0.0010137490907763571,1,True,True,True
EquiformerV2 AD,rxn1076,0.00041221677382640635,1,True,True,True
EquiformerV2 AD,rxn1077,0.006961430997179774,1,True,False,False
EquiformerV2 AD,rxn1079,0.0023882411548765015,1,True,False,False
EquiformerV2 AD,rxn1081,0.00031281810144969275,1,True,True,True
EquiformerV2 AD,rxn1086,0.0015693200023440953,1,True,True,True
EquiformerV2 AD,rxn1204,0.0003623062630863152,1,True,True,True
EquiformerV2 AD,rxn1208,0.00024645472656519116,1,True,True,True
EquiformerV2 AD,rxn1214,0.0006729226496610728,1,True,True,True
EquiformerV2 AD,rxn1216,0.0005019438839448098,1,True,True,True
EquiformerV2 AD,rxn1218,0.00046116226997961943,1,True,True,True
EquiformerV2 AD,rxn1220,0.0002764658122226845,1,True,True,True
EquiformerV2 AD,rxn1238,0.0005418582224844135,1,True,True,True
EquiformerV2 AD,rxn1239,0.0013393288644446546,1,True,True,True
EquiformerV2 AD,rxn124,0.0008918281786398392,1,True,True,True
EquiformerV2 AD,rxn1279,0.00037201567613929127,1,True,True,True
EquiformerV2 AD,rxn1286,0.0015143399321501487,1,True,True,True
EquiformerV2 AD,rxn1299,0.0008974181997779387,1,True,True,True
EquiformerV2 AD,rxn1312,0.002036048965831406,1,True,False,False
EquiformerV2 AD,rxn1318,0.0010452465023973068,1,True,True,True
EquiformerV2 AD,rxn1319,0.0009319286373059194,1,True,True,True
EquiformerV2 AD,rxn1341,0.000575816324761352,1,True,True,True
EquiformerV2 AD,rxn1351,0.0006166396798346079,1,True,True,True
EquiformerV2 AD,rxn1379,0.0012311252400994852,1,True,True,True
EquiformerV2 AD,rxn1417,0.0006212278118326818,1,True,True,True
