model,reaction_identifier,gsm_converged,rfo_converged,irc_verified
HIP,rxn9,True,True,True
HIP,rxn26,True,True,True
HIP,rxn31,True,True,True
HIP,rxn39,True,True,True
HIP,rxn53,True,True,True
HIP,rxn57,True,True,True
HIP,rxn59,True,True,True
HIP,rxn61,True,True,True
HIP,rxn64,True,True,False
HIP,rxn66,True,True,True
HIP,rxn72,True,True,True
HIP,rxn74,True,True,True
HIP,rxn78,True,True,True
HIP,rxn79,True,True,True
HIP,rxn102,True,True,True
HIP,rxn123,True,True,True
HIP,rxn124,True,True,True
HIP,rxn143,True,True,True
HIP,rxn144,True,False,False
HIP,rxn148,True,True,True
HIP,rxn160,True,True,True
HIP,rxn164,True,False,False
HIP,rxn165,True,False,False
HIP,rxn170,True,True,True
HIP,rxn196,False,False,False
HIP,rxn199,True,True,True
HIP,rxn207,False,False,False
HIP,rxn209,True,False,False
HIP,rxn220,True,True,True
HIP,rxn233,True,True,True
HIP,rxn235,True,True,True
HIP,rxn263,True,True,True
HIP,rxn282,True,True,False
HIP,rxn288,True,True,True
HIP,rxn293,True,False,False
HIP,rxn296,True,True,True
HIP,rxn298,True,False,False
HIP,rxn313,True,False,False
HIP,rxn320,True,False,False
HIP,rxn326,True,True,True
HIP,rxn333,True,True,True
HIP,rxn336,True,True,True
HIP,rxn346,True,True,False
HIP,rxn348,False,False,False
HIP,rxn356,True,True,True
HIP,rxn388,True,True,False
HIP,rxn397,True,True,True
HIP,rxn398,True,True,True
HIP,rxn403,True,True,True
HIP,rxn408,True,True,False
HIP,rxn411,True,True,True
HIP,rxn416,True,True,True
HIP,rxn417,True,True,True
HIP,rxn432,True,True,True
HIP,rxn436,True,True,True
HIP,rxn442,False,False,False
HIP,rxn447,True,True,True
HIP,rxn459,True,True,True
HIP,rxn464,True,True,True
HIP,rxn475,True,False,False
HIP,rxn479,True,False,False
HIP,rxn487,True,True,True
HIP,rxn511,True,False,False
HIP,rxn522,True,True,True
HIP,rxn526,True,True,True
HIP,rxn532,True,True,True
HIP,rxn541,True,False,False
HIP,rxn548,True,True,True
HIP,rxn575,True,True,True
HIP,rxn591,True,True,True
HIP,rxn593,False,False,False
HIP,rxn596,True,False,False
HIP,rxn600,True,True,True
HIP,rxn602,True,True,True
HIP,rxn604,True,True,True
HIP,rxn618,True,True,True
HIP,rxn662,True,True,True
HIP,rxn670,True,True,True
HIP,rxn677,True,True,True
HIP,rxn678,True,True,True
HIP,rxn697,True,True,True
HIP,rxn707,True,True,True
HIP,rxn720,True,False,False
HIP,rxn760,True,True,False
HIP,rxn780,True,True,True
HIP,rxn792,True,True,True
HIP,rxn793,True,True,True
HIP,rxn811,True,True,True
HIP,rxn843,True,True,True
HIP,rxn846,True,True,True
HIP,rxn867,True,True,True
HIP,rxn873,True,False,False
HIP,rxn874,True,False,False
HIP,rxn900,True,True,True
HIP,rxn914,True,True,True
HIP,rxn935,True,True,True
HIP,rxn942,True,True,True
HIP,rxn956,True,False,True
HIP,rxn957,True,True,True
HIP,rxn958,True,False,False
HIP,rxn966,False,False,False
HIP,rxn969,True,True,True
HIP,rxn981,False,False,False
HIP,rxn1024,True,True,True
HIP,rxn1041,True,True,True
HIP,rxn1047,True,False,False
HIP,rxn1048,False,False,False
HIP,rxn1050,True,True,True
HIP,rxn1058,True,True,True
HIP,rxn1076,True,True,True
HIP,rxn1077,True,True,False
HIP,rxn1079,True,True,False
HIP,rxn1081,True,True,True
HIP,rxn1086,True,True,False
HIP,rxn1148,False,False,False
HIP,rxn1175,False,False,False
HIP,rxn1185,True,False,False
HIP,rxn1204,True,True,True
HIP,rxn1208,True,True,True
HIP,rxn1214,True,True,True
HIP,rxn1216,True,True,True
HIP,rxn1218,True,True,True
HIP,rxn1220,True,True,True
HIP,rxn1234,True,False,False
HIP,rxn1238,True,True,True
HIP,rxn1239,True,True,True
HIP,rxn1249,True,False,False
HIP,rxn1251,True,True,True
HIP,rxn1279,True,True,True
HIP,rxn1286,True,True,True
HIP,rxn1299,True,True,True
HIP,rxn1301,True,True,True
HIP,rxn1311,True,False,False
HIP,rxn1312,True,True,True
HIP,rxn1318,True,True,True
HIP,rxn1319,True,True,True
HIP,rxn1326,False,False,False
HIP,rxn1327,True,False,False
HIP,rxn1328,True,False,False
HIP,rxn1337,False,False,False
HIP,rxn1341,True,True,True
HIP,rxn1351,True,False,False
HIP,rxn1354,True,False,False
HIP,rxn1366,True,True,True
HIP,rxn1376,True,True,True
HIP,rxn1379,True,True,True
HIP,rxn1387,False,False,False
HIP,rxn1398,True,True,True
HIP,rxn1417,True,False,True
HIP,rxn1451,True,True,True
HIP,rxn1461,True,True,True
HIP,rxn1466,True,True,True
HIP,rxn1476,True,True,True
HIP,rxn1488,True,True,True
HIP,rxn1493,True,False,True
HIP,rxn1498,True,True,True
HIP,rxn1500,True,True,True
HIP,rxn1509,True,True,True
HIP,rxn1518,False,False,False
HIP,rxn1523,True,False,True
HIP,rxn1590,True,True,True
HIP,rxn1593,True,True,True
HIP,rxn1595,True,True,True
HIP,rxn1596,True,True,True
HIP,rxn1625,True,False,True
HIP,rxn1639,True,True,True
HIP,rxn1648,True,True,True
HIP,rxn1650,True,True,False
HIP,rxn1658,True,True,True
HIP,rxn1661,True,True,True
HIP,rxn1666,False,False,False
HIP,rxn1676,True,True,True
HIP,rxn1713,True,True,True
HIP,rxn1716,True,False,False
HIP,rxn1721,False,False,False
HIP,rxn1746,True,True,True
HIP,rxn1749,True,True,True
HIP,rxn1758,True,True,False
HIP,rxn1770,True,True,False
HIP,rxn1772,True,True,True
HIP,rxn1783,True,False,True
HIP,rxn1795,True,False,False
HIP,rxn1800,True,False,False
HIP,rxn1810,True,True,True
HIP,rxn1811,False,False,False
HIP,rxn1813,True,True,True
HIP,rxn1816,True,True,True
HIP,rxn1821,True,True,True
HIP,rxn1827,True,True,True
HIP,rxn1836,True,True,True
HIP,rxn1846,True,True,False
HIP,rxn1847,True,True,True
HIP,rxn1866,True,False,False
HIP,rxn1875,True,True,True
HIP,rxn1879,True,True,True
HIP,rxn1880,True,True,False
HIP,rxn1897,True,True,True
HIP,rxn1915,True,False,True
HIP,rxn1922,True,True,True
HIP,rxn1929,True,True,True
HIP,rxn1946,True,True,True
HIP,rxn1961,True,True,True
HIP,rxn1976,True,True,True
HIP,rxn1983,True,True,True
HIP,rxn1984,True,True,True
HIP,rxn1991,True,True,True
HIP,rxn2009,True,True,True
HIP,rxn2012,True,False,False
HIP,rxn2024,True,True,False
HIP,rxn2026,True,False,False
HIP,rxn2032,True,True,True
HIP,rxn2034,True,True,True
HIP,rxn2065,True,True,True
HIP,rxn2070,True,True,False
HIP,rxn2073,True,True,True
HIP,rxn2088,True,True,True
HIP,rxn2097,False,False,False
HIP,rxn2099,False,False,False
HIP,rxn2104,True,False,False
HIP,rxn2131,True,False,True
HIP,rxn2145,True,False,False
HIP,rxn2149,True,True,True
HIP,rxn2176,True,True,False
HIP,rxn2179,True,True,True
HIP,rxn2195,True,True,True
HIP,rxn2212,True,True,True
HIP,rxn2226,True,True,True
HIP,rxn2271,True,True,True
HIP,rxn2279,True,True,True
HIP,rxn2289,True,True,True
HIP,rxn2306,True,True,True
HIP,rxn2317,True,True,True
HIP,rxn2318,True,True,True
HIP,rxn2337,True,True,True
HIP,rxn2349,True,True,True
HIP,rxn2356,True,True,True
HIP,rxn2357,True,True,True
HIP,rxn2380,True,False,False
HIP,rxn2382,True,True,True
HIP,rxn2395,True,True,True
HIP,rxn2407,True,True,True
HIP,rxn2410,True,True,True
HIP,rxn2411,True,True,True
HIP,rxn2417,True,True,True
HIP,rxn2421,True,True,True
HIP,rxn2422,True,True,True
HIP,rxn2440,True,True,False
HIP,rxn2445,True,True,True
HIP,rxn2446,True,True,True
HIP,rxn2461,True,True,False
HIP,rxn2478,True,True,True
HIP,rxn2490,False,False,False
HIP,rxn2500,True,True,True
HIP,rxn2501,True,True,True
HIP,rxn2510,True,True,True
HIP,rxn2564,True,True,True
HIP,rxn2567,True,True,True
HIP,rxn2574,True,True,True
HIP,rxn2587,False,False,False
HIP,rxn2591,True,True,True
HIP,rxn2608,True,True,True
HIP,rxn2646,True,True,True
HIP,rxn2651,True,True,True
HIP,rxn2656,True,True,True
HIP,rxn2669,True,True,True
HIP,rxn2672,True,True,True
HIP,rxn2673,True,True,True
HIP,rxn2675,True,True,False
HIP,rxn2681,True,False,False
HIP,rxn2687,True,True,True
HIP,rxn2692,True,True,True
HIP,rxn2706,True,True,True
HIP,rxn2722,True,True,True
HIP,rxn2730,True,True,True
HIP,rxn2738,True,True,True
HIP,rxn2748,False,False,False
HIP,rxn2756,True,True,True
HIP,rxn2757,True,True,True
HIP,rxn2779,True,True,True
HIP,rxn2788,True,True,True
HIP,rxn2817,False,False,False
HIP,rxn2823,True,True,True
HIP,rxn2834,True,True,True
HIP,rxn2839,False,False,False
HIP,rxn2847,False,False,False
HIP,rxn2858,True,True,True
HIP,rxn2877,True,True,True
HIP,rxn2880,False,False,False
HIP,rxn2881,True,True,True
HIP,rxn2885,True,False,False
HIP,rxn2897,True,True,True
HIP,rxn2902,True,True,True
HIP,rxn2909,True,True,True
