sample_index,model,hessian_method,zpe_eV,dft_zpe_eV,zpe_signed_error_eV,absolute_zpe_error_eV,reaction_delta_zpe_eV,dft_reaction_delta_zpe_eV,reaction_delta_zpe_signed_error_eV,absolute_reaction_delta_zpe_error_eV
0,DFT,DFT,1.2988299688650229,1.2988299688650229,0.0,0.0,-0.1346358732796395,-0.1346358732796395,0.0,0.0
0,AlphaNet AD,Automatic differentiation,1.2764494704205984,1.2988299688650229,-0.022380498444424468,0.0223804984444244,-0.172524379977415,-0.1346358732796395,-0.03788850669777549,0.0378885066977754
0,LeftNet-CF AD,Automatic differentiation,0.5228529829337774,1.2988299688650229,-0.7759769859312455,0.7759769859312455,0.1445413481039462,-0.1346358732796395,0.2791772213835857,0.2791772213835858
0,LeftNet-DF AD,Automatic differentiation,1.29758904053234,1.2988299688650229,-0.0012409283326828557,0.0012409283326828,-0.1484465039871316,-0.1346358732796395,-0.01381063070749211,0.0138106307074921
0,EquiformerV2 AD,Automatic differentiation,1.1078021025307894,1.2988299688650229,-0.19102786633423352,0.1910278663342335,0.0475056451267523,-0.1346358732796395,0.1821415184063918,0.1821415184063919
0,HIP,Direct prediction,1.298983196837735,1.2988299688650229,0.00015322797271211108,0.0001532279727121,-0.1339092745790522,-0.1346358732796395,0.0007265987005873054,0.0007265987005873
1,DFT,DFT,1.2988350620108395,1.2988350620108395,0.0,0.0,-0.3086587867764824,-0.3086587867764824,0.0,0.0
1,AlphaNet AD,Automatic differentiation,1.276451673784456,1.2988350620108395,-0.022383388226383527,0.0223833882263835,-0.3295408892576915,-0.3086587867764824,-0.020882102481209086,0.0208821024812091
1,LeftNet-CF AD,Automatic differentiation,0.5230382870139209,1.2988350620108395,-0.7757967749969187,0.7757967749969187,-0.0765310317665889,-0.3086587867764824,0.2321277550098935,0.2321277550098934
1,LeftNet-DF AD,Automatic differentiation,1.29761126041757,1.2988350620108395,-0.0012238015932695134,0.0012238015932695,-0.4070168508440361,-0.3086587867764824,-0.09835806406755371,0.0983580640675537
1,EquiformerV2 AD,Automatic differentiation,1.1079710250950483,1.2988350620108395,-0.19086403691579124,0.1908640369157912,-0.144143510438426,-0.3086587867764824,0.1645152763380564,0.1645152763380564
1,HIP,Direct prediction,1.2989904450596468,1.2988350620108395,0.00015538304880724496,0.0001553830488072,-0.3120930427567831,-0.3086587867764824,-0.0034342559803007267,0.0034342559803007
2,DFT,DFT,1.2988350122758014,1.2988350122758014,0.0,0.0,-0.1195792335545675,-0.1195792335545675,0.0,0.0
2,AlphaNet AD,Automatic differentiation,1.2764516162604764,1.2988350122758014,-0.02238339601532502,0.022383396015325,-0.2215435881684955,-0.1195792335545675,-0.10196435461392801,0.1019643546139279
2,LeftNet-CF AD,Automatic differentiation,0.5232247101610644,1.2988350122758014,-0.775610302114737,0.775610302114737,0.0695385010499175,-0.1195792335545675,0.189117734604485,0.1891177346044851
2,LeftNet-DF AD,Automatic differentiation,1.2976117605154769,1.2988350122758014,-0.0012232517603245618,0.0012232517603247,-0.1468721374367783,-0.1195792335545675,-0.027292903882210798,0.0272929038822107
2,EquiformerV2 AD,Automatic differentiation,1.1080369635725027,1.2988350122758014,-0.19079804870329875,0.1907980487032987,-0.0782172470412472,-0.1195792335545675,0.04136198651332029,0.0413619865133203
2,HIP,Direct prediction,1.2989971618598777,1.2988350122758014,0.00016214958407623214,0.000162149584076,-0.1225077593517311,-0.1195792335545675,-0.0029285257971636003,0.0029285257971635
3,DFT,DFT,1.2850065149564278,1.2850065149564278,0.0,0.0,-0.2275980157676669,-0.2275980157676669,0.0,0.0
3,AlphaNet AD,Automatic differentiation,1.2408522195823914,1.2850065149564278,-0.04415429537403637,0.0441542953740363,-0.2156283660049345,-0.2275980157676669,0.011969649762732376,0.0119696497627324
3,LeftNet-CF AD,Automatic differentiation,0.6651743906295697,1.2850065149564278,-0.6198321243268581,0.6198321243268581,-0.3614564706933236,-0.2275980157676669,-0.1338584549256567,0.1338584549256566
3,LeftNet-DF AD,Automatic differentiation,1.2795805913453502,1.2850065149564278,-0.005425923611077632,0.0054259236110776,-0.308732263734415,-0.2275980157676669,-0.08113424796674809,0.081134247966748
3,EquiformerV2 AD,Automatic differentiation,1.0908788044751998,1.2850065149564278,-0.194127710481228,0.194127710481228,-0.1553013672800138,-0.2275980157676669,0.07229664848765308,0.072296648487653
3,HIP,Direct prediction,1.2854864770658885,1.2850065149564278,0.0004799621094606632,0.0004799621094604,-0.2306813851173231,-0.2275980157676669,-0.003083369349656223,0.0030833693496561
