model,sample_index,number_of_atoms,dft_negative_mode_count,predicted_negative_mode_count,exact_negative_mode_count_match,dft_stationary_point_class,predicted_stationary_point_class,three_class_match
AlphaNet AD,0,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,1,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,2,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,3,18,0,2,False,Minimum,Higher-order saddle point,False
AlphaNet AD,4,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,5,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,6,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,7,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,8,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,9,17,1,1,True,Transition state,Transition state,True
AlphaNet AD,10,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,11,15,1,4,False,Transition state,Higher-order saddle point,False
AlphaNet AD,12,11,0,2,False,Minimum,Higher-order saddle point,False
AlphaNet AD,13,16,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,14,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,15,18,1,0,False,Transition state,Minimum,False
AlphaNet AD,16,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,17,10,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,18,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,19,14,1,3,False,Transition state,Higher-order saddle point,False
AlphaNet AD,20,15,1,0,False,Transition state,Minimum,False
AlphaNet AD,21,17,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,22,15,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,23,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,24,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,25,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,26,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,27,15,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,28,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,29,14,2,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,30,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,31,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,32,13,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,33,16,0,1,False,Minimum,Transition state,False
AlphaNet AD,34,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,35,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,36,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,37,11,2,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,38,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,39,11,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,40,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,41,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,42,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,43,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,44,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,45,19,1,1,True,Transition state,Transition state,True
AlphaNet AD,46,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,47,12,0,1,False,Minimum,Transition state,False
AlphaNet AD,48,17,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,49,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,50,17,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,51,13,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,52,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,53,19,0,0,True,Minimum,Minimum,True
AlphaNet AD,54,19,0,0,True,Minimum,Minimum,True
AlphaNet AD,55,17,1,1,True,Transition state,Transition state,True
AlphaNet AD,56,17,1,0,False,Transition state,Minimum,False
AlphaNet AD,57,16,0,1,False,Minimum,Transition state,False
AlphaNet AD,58,17,0,1,False,Minimum,Transition state,False
AlphaNet AD,59,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,60,14,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,61,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,62,8,1,1,True,Transition state,Transition state,True
AlphaNet AD,63,19,1,3,False,Transition state,Higher-order saddle point,False
AlphaNet AD,64,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,65,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,66,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,67,16,0,1,False,Minimum,Transition state,False
AlphaNet AD,68,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,69,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,70,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,71,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,72,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,73,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,74,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,75,13,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,76,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,77,9,0,1,False,Minimum,Transition state,False
AlphaNet AD,78,11,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,79,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,80,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,81,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,82,16,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,83,17,1,1,True,Transition state,Transition state,True
AlphaNet AD,84,13,0,1,False,Minimum,Transition state,False
AlphaNet AD,85,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,86,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,87,17,0,1,False,Minimum,Transition state,False
AlphaNet AD,88,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,89,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,90,17,4,4,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,91,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,92,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,93,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,94,15,1,0,False,Transition state,Minimum,False
AlphaNet AD,95,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,96,16,0,1,False,Minimum,Transition state,False
AlphaNet AD,97,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,98,17,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,99,9,0,1,False,Minimum,Transition state,False
AlphaNet AD,100,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,101,12,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,102,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,103,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,104,9,1,1,True,Transition state,Transition state,True
AlphaNet AD,105,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,106,11,0,1,False,Minimum,Transition state,False
AlphaNet AD,107,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,108,13,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,109,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,110,7,0,0,True,Minimum,Minimum,True
AlphaNet AD,111,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,112,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,113,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,114,11,0,1,False,Minimum,Transition state,False
AlphaNet AD,115,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,116,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,117,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,118,14,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,119,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,120,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,121,16,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,122,16,0,2,False,Minimum,Higher-order saddle point,False
AlphaNet AD,123,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,124,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,125,13,0,1,False,Minimum,Transition state,False
AlphaNet AD,126,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,127,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,128,10,0,1,False,Minimum,Transition state,False
AlphaNet AD,129,18,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,130,13,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,131,9,0,1,False,Minimum,Transition state,False
