model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
EquiformerV2 AD with Hessian training,35070,0,14,0.0074986759573221,0.0612353198230266
EquiformerV2 AD with Hessian training,2284,1,13,0.0114827612414956,0.0508103743195533
EquiformerV2 AD with Hessian training,13332,2,13,0.0068827182985842,0.0591776184737682
EquiformerV2 AD with Hessian training,14281,3,11,0.0181792359799146,0.0767751783132553
EquiformerV2 AD with Hessian training,46110,4,15,0.0115205328911542,0.0335473641753196
EquiformerV2 AD with Hessian training,33249,5,17,0.0076245632953941,0.0261149741709232
EquiformerV2 AD with Hessian training,35938,6,14,0.0028309498447924,0.0172982290387153
EquiformerV2 AD with Hessian training,47043,7,15,0.0025442941114306,0.0204800777137279
EquiformerV2 AD with Hessian training,25642,8,14,0.0070185717195272,0.0295538268983364
EquiformerV2 AD with Hessian training,35177,9,10,0.005562238395214,0.1176477000117302
EquiformerV2 AD with Hessian training,50102,10,19,0.0032037135679274,0.0133823519572615
EquiformerV2 AD with Hessian training,2674,11,14,0.0082506071776151,0.0297407452017068
EquiformerV2 AD with Hessian training,34598,12,17,0.0104634147137403,0.0313642136752605
EquiformerV2 AD with Hessian training,12843,13,19,0.0048360275104641,0.0212092380970716
EquiformerV2 AD with Hessian training,1375,14,14,0.0032324930652976,0.0191224738955497
EquiformerV2 AD with Hessian training,42274,15,11,0.0165731366723775,0.078030951321125
EquiformerV2 AD with Hessian training,11899,16,14,0.0126151740550994,0.0516440011560916
EquiformerV2 AD with Hessian training,24768,17,12,0.0331252440810203,0.0954831689596176
EquiformerV2 AD with Hessian training,25701,18,11,0.0194567199796438,0.170433908700943
EquiformerV2 AD with Hessian training,17250,19,15,0.0103734927251935,0.0353398360311985
EquiformerV2 AD with Hessian training,26833,20,10,0.0089019322767853,0.0602689385414123
EquiformerV2 AD with Hessian training,12656,21,14,0.0102677913382649,0.0571344345808029
EquiformerV2 AD with Hessian training,4221,22,21,0.0119889341294765,0.0245254188776016
EquiformerV2 AD with Hessian training,16177,23,12,0.0051652886904776,0.1261664181947708
EquiformerV2 AD with Hessian training,25283,24,15,0.003152692457661,0.024229273200035
EquiformerV2 AD with Hessian training,39339,25,14,0.0079862168058753,0.0316308811306953
EquiformerV2 AD with Hessian training,9739,26,10,0.0309819430112838,0.1779377162456512
EquiformerV2 AD with Hessian training,41691,27,18,0.0035600133705884,0.0149844344705343
EquiformerV2 AD with Hessian training,42843,28,14,0.0050813602283596,0.0182893276214599
EquiformerV2 AD with Hessian training,17903,29,15,0.018818661570549,0.0659829229116439
EquiformerV2 AD with Hessian training,48588,30,12,0.0111280875280499,0.0537059158086776
EquiformerV2 AD with Hessian training,30815,31,12,0.0049180360510945,0.0315382443368434
EquiformerV2 AD with Hessian training,29115,32,18,0.0045037637464702,0.0189418159425258
EquiformerV2 AD with Hessian training,40,33,11,0.0077175917103886,0.0585474520921707
EquiformerV2 AD with Hessian training,32597,34,15,0.0039576259441673,0.0183861702680587
EquiformerV2 AD with Hessian training,16626,35,9,0.0222735367715358,0.3168184757232666
EquiformerV2 AD with Hessian training,37271,36,12,0.0158880110830068,0.0563515312969684
EquiformerV2 AD with Hessian training,29570,37,17,0.0054781730286777,0.021722313016653
EquiformerV2 AD with Hessian training,26756,38,16,0.0041499584913253,0.0185904633253812
EquiformerV2 AD with Hessian training,27834,39,14,0.023116922006011,0.0871094688773155
EquiformerV2 AD with Hessian training,522,40,16,0.0078074946068227,0.0344878584146499
EquiformerV2 AD with Hessian training,45251,41,14,0.0085062142461538,0.0360910594463348
EquiformerV2 AD with Hessian training,13633,42,12,0.0049281041137874,0.0247631724923849
EquiformerV2 AD with Hessian training,17617,43,12,0.0383274443447589,0.1375065594911575
EquiformerV2 AD with Hessian training,42551,44,13,0.0037573776207864,0.0271291770040988
EquiformerV2 AD with Hessian training,17297,45,14,0.0064053307287395,0.0263570994138717
EquiformerV2 AD with Hessian training,44139,46,14,0.0053047905676066,0.0474092364311218
EquiformerV2 AD with Hessian training,9584,47,17,0.004291103221476,0.0180430486798286
EquiformerV2 AD with Hessian training,10389,48,15,0.0039322534576058,0.0208547413349151
EquiformerV2 AD with Hessian training,11231,49,15,0.0057546417228877,0.0273588802665472
EquiformerV2 AD with Hessian training,40666,50,15,0.0082977069541811,0.0613552443683147
EquiformerV2 AD with Hessian training,32583,51,11,0.0257719289511442,0.0912370458245277
EquiformerV2 AD with Hessian training,20294,52,15,0.0137968752533197,0.0654377341270446
EquiformerV2 AD with Hessian training,30061,53,16,0.012156369164586,0.0386290773749351
EquiformerV2 AD with Hessian training,16990,54,14,0.0041337902657687,0.019924309104681
EquiformerV2 AD with Hessian training,42360,55,16,0.0479961708188056,0.1613632440567016
EquiformerV2 AD with Hessian training,24047,56,14,0.0050451275892555,0.0224435869604349
EquiformerV2 AD with Hessian training,16190,57,11,0.0062332195229828,0.3358221650123596
EquiformerV2 AD with Hessian training,15628,58,15,0.0123640960082411,0.0396843142807483
EquiformerV2 AD with Hessian training,26057,59,11,0.0139298075810074,0.0727364867925643
EquiformerV2 AD with Hessian training,1838,60,19,0.0210933703929185,0.0461520515382289
EquiformerV2 AD with Hessian training,48003,61,15,0.0233638137578964,0.0555025711655616
EquiformerV2 AD with Hessian training,17598,62,13,0.0189620312303304,0.0818013250827789
EquiformerV2 AD with Hessian training,21961,63,16,0.0084534883499145,0.0251290276646614
EquiformerV2 AD with Hessian training,2974,64,12,0.0373014360666275,0.1089566051959991
EquiformerV2 AD with Hessian training,49367,65,11,0.0125648146495223,0.0718119665980339
EquiformerV2 AD with Hessian training,40887,66,11,0.010574365966022,0.0736104995012283
EquiformerV2 AD with Hessian training,1995,67,9,0.0069531137123703,0.142146959900856
EquiformerV2 AD with Hessian training,25175,68,15,0.0517661646008491,0.1257753372192382
EquiformerV2 AD with Hessian training,28105,69,10,0.0162932537496089,0.2638077139854431
EquiformerV2 AD with Hessian training,12579,70,16,0.0297181904315948,0.0526342578232288
EquiformerV2 AD with Hessian training,50014,71,12,0.0119121428579092,0.0516576841473579
EquiformerV2 AD with Hessian training,13360,72,19,0.0061179087497293,0.0272569544613361
EquiformerV2 AD with Hessian training,33776,73,17,0.0027722013182938,0.0130987921729683
EquiformerV2 AD with Hessian training,36882,74,11,0.011356046423316,0.0755275040864944
EquiformerV2 AD with Hessian training,10607,75,12,0.0147850709035992,0.0575267672538757
EquiformerV2 AD with Hessian training,2111,76,14,0.0673541650176048,0.1187964379787445
EquiformerV2 AD with Hessian training,6687,77,11,0.0095627401024103,0.0668885856866836
EquiformerV2 AD with Hessian training,16328,78,15,0.0034094636794179,0.0157178454101085
EquiformerV2 AD with Hessian training,22215,79,14,0.0091261239722371,0.0511310063302516
EquiformerV2 AD with Hessian training,11994,80,12,0.0081816660240292,0.0673678815364837
EquiformerV2 AD with Hessian training,37342,81,16,0.0030383269768208,0.0130477463826537
EquiformerV2 AD with Hessian training,43966,82,10,0.0134864980354905,0.0938118323683738
EquiformerV2 AD with Hessian training,46769,83,16,0.0051685720682144,0.0292250160127878
EquiformerV2 AD with Hessian training,36826,84,19,0.0027970226947218,0.0110722975805401
EquiformerV2 AD with Hessian training,11804,85,19,0.0039261206984519,0.0151775162667036
EquiformerV2 AD with Hessian training,28681,86,10,0.0164611916989088,0.5017605423927307
EquiformerV2 AD with Hessian training,43485,87,16,0.0137357059866189,0.0534213259816169
EquiformerV2 AD with Hessian training,47511,88,15,0.008136935532093,0.051990482956171
EquiformerV2 AD with Hessian training,5267,89,9,0.0232736617326736,0.269163429737091
EquiformerV2 AD with Hessian training,39361,90,14,0.0036561042070388,0.0608064569532871
EquiformerV2 AD with Hessian training,19372,91,13,0.0172822438180446,0.0757269561290741
EquiformerV2 AD with Hessian training,1949,92,16,0.0026038100477308,0.0141020715236663
EquiformerV2 AD with Hessian training,9702,93,17,0.0066724340431392,0.024932125583291
EquiformerV2 AD with Hessian training,15485,94,11,0.0063827843405306,0.0432540141046047
EquiformerV2 AD with Hessian training,21838,95,17,0.0110729467123746,0.0318968519568443
EquiformerV2 AD with Hessian training,43645,96,16,0.0120553327724337,0.0405953712761402
EquiformerV2 AD with Hessian training,13327,97,14,0.0451263152062892,0.0857025310397148
EquiformerV2 AD with Hessian training,22789,98,15,0.0034692110493779,0.0492035821080207
EquiformerV2 AD with Hessian training,15413,99,11,0.0079204551875591,0.0545058846473693
EquiformerV2 AD with Hessian training,28010,100,15,0.0177276581525802,0.0455565676093101
