model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
HIP,35070,0,14,0.0039696544408798,0.0104753486812114
HIP,2284,1,13,0.0044468236155807,0.0258729811757802
HIP,13332,2,13,0.0038426571991294,0.0303938183933496
HIP,14281,3,11,0.0120940562337636,0.0250328481197357
HIP,46110,4,15,0.0076920986175537,0.0146897854283452
HIP,33249,5,17,0.0040506049990653,0.0114346230402588
HIP,35938,6,14,0.0006465285550802,0.0041761570610105
HIP,47043,7,15,0.0005686802323907,0.0448960103094577
HIP,25642,8,14,0.003186713438481,0.0097957393154501
HIP,35177,9,10,0.0020137117244303,0.0084258979186415
HIP,50102,10,19,0.0012606027303263,0.0617375932633876
HIP,2674,11,14,0.0061925891786813,0.0105146095156669
HIP,34598,12,17,0.005532672163099,0.0123556135222315
HIP,12843,13,19,0.0022361297160387,0.0078849783167243
HIP,1375,14,14,0.0008732794667594,0.0036159723531454
HIP,42274,15,11,0.0058291293680667,0.0206321775913238
HIP,11899,16,14,0.01188734639436,0.0267577562481164
HIP,24768,17,12,0.0250746514648199,0.0506247766315937
HIP,25701,18,11,0.0061040078289806,0.0260990131646394
HIP,17250,19,15,0.0044259233400225,0.0115354834124445
HIP,26833,20,10,0.0054607442580163,0.017939181998372
HIP,12656,21,14,0.0041275019757449,0.0175924375653266
HIP,4221,22,21,0.0063681360334157,0.0101791815832257
HIP,16177,23,12,0.0028483076021075,0.0100828502327203
HIP,25283,24,15,0.0010132056195288,0.0030571052338927
HIP,39339,25,14,0.0031231536995619,0.0089844400063157
HIP,9739,26,10,0.012016681022942,0.0356981493532657
HIP,41691,27,18,0.0012264964170753,0.004015170969069
HIP,42843,28,14,0.0010245009325444,0.0045072566717863
HIP,17903,29,15,0.008283520117402,0.0249665938317775
HIP,48588,30,12,0.0028327770996838,0.0130557250231504
HIP,30815,31,12,0.001491513219662,0.0053219706751406
HIP,29115,32,18,0.0021926742047071,0.0062842080369591
HIP,40,33,11,0.0031119703780859,0.0182385258376598
HIP,32597,34,15,0.0009000896243378,0.0029541186522692
HIP,16626,35,9,0.0041273063980042,0.0142012136057019
HIP,37271,36,12,0.0037166767287999,0.0155504485592246
HIP,29570,37,17,0.0028472319245338,0.0083100125193595
HIP,26756,38,16,0.0021567996591329,0.0056953183375298
HIP,27834,39,14,0.0203698221594095,0.049557875841856
HIP,522,40,16,0.0066695427522063,0.0135810943320393
HIP,45251,41,14,0.0028733646031469,0.0103320041671395
HIP,13633,42,12,0.0010878994362428,0.0043788286857306
HIP,17617,43,12,0.0263096801936626,0.0631201714277267
HIP,42551,44,13,0.0005795080214738,0.0051059019751846
HIP,17297,45,14,0.0027408977039158,0.0084414836019277
HIP,44139,46,14,0.0033319301437586,0.0090292878448963
HIP,9584,47,17,0.0007892980938777,0.0037717486266046
HIP,10389,48,15,0.0013385209022089,0.0044561671093106
HIP,11231,49,15,0.0024383091367781,0.0138500900939106
HIP,40666,50,15,0.0026854039169847,0.0087001202628016
HIP,32583,51,11,0.0248019993305206,0.0571121834218502
HIP,20294,52,15,0.0088477171957492,0.0214843638241291
HIP,30061,53,16,0.0031290722545236,0.0104156816378235
HIP,16990,54,14,0.0026311380788683,0.0067655066959559
HIP,42360,55,16,0.02980937063694,0.0656243711709976
HIP,24047,56,14,0.0015245884424075,0.015707628801465
HIP,16190,57,11,0.0015313137555494,0.0133596770465374
HIP,15628,58,15,0.0076606613583862,0.0151278916746377
HIP,26057,59,11,0.0095788398757576,0.0210613757371902
HIP,1838,60,19,0.0110070528462529,0.0237891189754009
HIP,48003,61,15,0.0121030649170279,0.0231672190129756
HIP,17598,62,13,0.0133521584793925,0.0306431110948324
HIP,21961,63,16,0.003490038216114,0.0108864558860659
HIP,2974,64,12,0.0252084080129861,0.0540048591792583
HIP,49367,65,11,0.0065571805462241,0.0353927761316299
HIP,40887,66,11,0.0051838723011314,0.0173682570457458
HIP,1995,67,9,0.0012864156160503,0.0076152752153575
HIP,25175,68,15,0.0439385995268821,0.0900806114077568
HIP,28105,69,10,0.0053775967098772,0.018289852887392
HIP,12579,70,16,0.0132803386077284,0.0299281738698482
HIP,50014,71,12,0.0061518433503806,0.0141709959134459
HIP,13360,72,19,0.0042818682268261,0.041710864752531
HIP,33776,73,17,0.0007625468424521,0.0043662856332957
HIP,36882,74,11,0.004748304374516,0.0173860862851142
HIP,10607,75,12,0.0073302653618156,0.0169734042137861
HIP,2111,76,14,0.0272906776517629,0.0787093490362167
HIP,6687,77,11,0.0027926419861614,0.0126574225723743
HIP,16328,78,15,0.0013512385776266,0.0038589152973145
HIP,22215,79,14,0.003293409012258,0.0114224087446928
HIP,11994,80,12,0.0043039149604737,0.0156882815062999
HIP,37342,81,16,0.0015573388664051,0.0046353181824088
HIP,43966,82,10,0.0040595028549432,0.0549863800406456
HIP,46769,83,16,0.0013577211648225,0.008355033583939
HIP,36826,84,19,0.0007341933087445,0.0078955078497529
HIP,11804,85,19,0.0024602026678621,0.0046540279872715
HIP,28681,86,10,0.002364246873185,0.0133244264870882
HIP,43485,87,16,0.0062185241840779,0.0233027078211307
HIP,47511,88,15,0.0034291241317987,0.0150929922237992
HIP,5267,89,9,0.0089543890208005,0.0394424051046371
HIP,39361,90,14,0.0011589736677706,0.0087487818673253
HIP,19372,91,13,0.0104573220014572,0.0280198771506547
HIP,1949,92,16,0.0010934777092188,0.0122121227905154
HIP,9702,93,17,0.0018569929525256,0.0096051506698131
HIP,15485,94,11,0.003866302780807,0.0140224890783429
HIP,21838,95,17,0.0059165642596781,0.0128009049221873
HIP,43645,96,16,0.0033325874246656,0.0117553379386663
HIP,13327,97,14,0.0337140634655952,0.0543067269027233
HIP,22789,98,15,0.0010148051660507,0.0055979564785957
HIP,15413,99,11,0.0046404539607465,0.0149253448471426
HIP,28010,100,15,0.0132237439975142,0.0218782629817724
HIP,15698,101,12,0.0012886576587334,0.0060615325346589
HIP,38361,102,13,0.0147693529725074,0.0349131040275096
HIP,20249,103,15,0.0032838706392794,0.0151169821619987
HIP,18821,104,8,0.0238744728267192,0.0803696736693382
HIP,39354,105,15,0.012892092578113,0.0246538296341896
HIP,3025,106,14,0.018327247351408,0.0412105470895767
HIP,7123,107,15,0.0038720471784472,0.0098843909800052
HIP,9049,108,14,0.0054189530201256,0.0140945604071021
HIP,7802,109,15,0.0479687340557575,0.0822512656450271
HIP,36977,110,12,0.0030810225289314,0.0102661717683076
HIP,18993,111,12,0.0006200068164616,0.0032628551125526
HIP,39091,112,14,0.00486880261451,0.0143468277528882
HIP,35420,113,10,0.014677564613521,0.0379095897078514
HIP,27944,114,14,0.0043974360451102,0.0111229764297604
HIP,20270,115,12,0.0045704636722803,0.0126801244914531
HIP,12324,116,8,0.0012951900716871,0.0123751498758792
HIP,39286,117,14,0.0075372783467173,0.0207494311034679
HIP,35559,118,12,0.0041106543503701,0.0092222746461629
HIP,2087,119,14,0.0100737204775214,0.0179245974868536
HIP,29519,120,17,0.0040855146944522,0.0080953203141689
HIP,14840,121,16,0.0051712202839553,0.0145306969061493
HIP,46667,122,11,0.1047568321228027,0.2198913097381591
HIP,10469,123,13,0.0012623727088794,0.0038090681191533
HIP,23184,124,13,0.0017967036692425,0.0069967713207006
HIP,2251,125,10,0.0009463071473874,0.0061054374091327
HIP,2493,126,10,0.0030329225119203,0.0141548672690987
HIP,31105,127,16,0.0006901471642777,0.0026735581923276
HIP,20311,128,13,0.001811894821003,0.0064431745558977
HIP,35660,129,18,0.0017034247284755,0.0087813911959528
HIP,46637,130,11,0.0480091162025928,0.0784872472286224
HIP,41937,131,13,0.0011996531393378,0.0077626891434192
HIP,17348,132,13,0.0308252424001693,0.0941821560263633
HIP,44741,133,10,0.0411516539752483,0.0762151330709457
HIP,20410,134,12,0.0008021328249014,0.004354425240308
HIP,42370,135,16,0.0016732430085539,0.0046454020775854
HIP,22400,136,17,0.0009091260144487,0.006945779081434
HIP,21917,137,16,0.0128849633038043,0.0247681383043527
HIP,31296,138,18,0.0022276388481259,0.0093849720433354
HIP,11515,139,17,0.0109371952712535,0.0227662604302167
HIP,14723,140,10,0.0084970472380518,0.0278272330760955
HIP,38694,141,13,0.0009561784681864,0.004694836679846
HIP,10731,142,21,0.0013891664566472,0.0678881853818893
HIP,44701,143,14,0.0142801282927393,0.0495503507554531
HIP,40579,144,12,0.0019614605698734,0.0069583184085786
HIP,39319,145,13,0.0028679633978754,0.0117669673636555
HIP,10382,146,14,0.0038369938265532,0.01459994725883
HIP,30800,147,12,0.0013037859462201,0.0030193093698471
HIP,50052,148,15,0.0034728427417576,0.0134911183267831
HIP,5686,149,13,0.002455687848851,0.0118889948353171
HIP,48550,150,16,0.0102977845817804,0.0239181648939847
HIP,33962,151,10,0.0518053509294986,0.1172770485281944
HIP,10924,152,19,0.0007786163478158,0.0026175021193921
HIP,1129,153,13,0.0082876197993755,0.0207677148282527
HIP,41116,154,19,0.0018546868814155,0.0070974202826619
HIP,4589,155,16,0.0013021513586863,0.0070286327973008
HIP,1410,156,13,0.0055497013963758,0.0236519612371921
HIP,3607,157,17,0.0062006311491131,0.0214598700404167
HIP,18810,158,11,0.0020067254081368,0.0065522924996912
HIP,12622,159,12,0.0104941185563802,0.0306181497871875
HIP,24050,160,19,0.0015510510420426,0.0050641130656003
HIP,39502,161,11,0.0103924823924899,0.0232413541525602
HIP,21985,162,11,0.0235941559076309,0.0742183402180671
HIP,38182,163,12,0.0007825912907719,0.0118546579033136
HIP,27797,164,17,0.012126819230616,0.0232650861144065
HIP,43778,165,16,0.0013421004405245,0.0078626060858368
HIP,29497,166,14,0.0105784200131893,0.0218351334333419
HIP,26366,167,14,0.0036256855819374,0.0118143670260906
HIP,42414,168,12,0.0147895514965057,0.0347537919878959
HIP,37769,169,13,0.0068389866501092,0.0183828491717576
HIP,25791,170,17,0.0035555639769881,0.0084912488237023
HIP,29429,171,11,0.0053335861302912,0.0119295567274093
HIP,27678,172,11,0.0020865008700639,0.0309733375906944
HIP,24975,173,16,0.0053235138766467,0.0106660975143313
HIP,31191,174,15,0.0129905231297016,0.085681214928627
HIP,42950,175,14,0.0070549095980823,0.0156327579170465
HIP,12290,176,13,0.002736611990258,0.0118882898241281
HIP,39798,177,13,0.0046807941980659,0.0308322198688983
HIP,38512,178,16,0.0057682208716869,0.0123670073226094
HIP,22016,179,16,0.0014262944459915,0.0041667344048619
HIP,21896,180,16,0.0007652775384485,0.0093145286664366
HIP,5892,181,17,0.0074932975694537,0.01375930942595
HIP,34711,182,13,0.0047741285525262,0.014619949273765
HIP,35764,183,14,0.0033653939608484,0.0121439397335052
HIP,27724,184,16,0.0021719099022448,0.0641018003225326
HIP,31310,185,16,0.0051127383485436,0.0121141094714403
HIP,5165,186,12,0.0011806541588157,0.0063623515889048
HIP,2441,187,12,0.0156112182885408,0.0341155566275119
HIP,48282,188,17,0.0059446883387863,0.0173075702041387
HIP,34553,189,14,0.0017357352189719,0.0105408066883683
HIP,3806,190,14,0.0052883909083902,0.0158371478319168
HIP,22661,191,12,0.0111087774857878,0.0265480261296033
HIP,21336,192,13,0.00740218302235,0.01967603713274
HIP,44803,193,12,0.0037320901174098,0.0096850898116827
HIP,9796,194,9,0.0074796574190258,0.0276262946426868
HIP,20121,195,16,0.0065552592277526,0.0135494209825992
HIP,28069,196,12,0.0010492162546142,0.0055929142981767
HIP,31496,197,10,0.0160677470266819,0.0334563478827476
HIP,30100,198,17,0.0014590750215575,0.0062862089835107
HIP,44223,199,10,0.0139807136729359,0.0367430932819843
HIP,21266,200,19,0.0022957019973546,0.0084525989368557
HIP,28136,201,17,0.0049194977618753,0.0167678389698267
HIP,10788,202,14,0.0019481716444715,0.0067897685803473
HIP,6574,203,17,0.0056655993685126,0.0128406314179301
HIP,35823,204,14,0.004685525316745,0.0105352299287915
HIP,22791,205,19,0.0032242028973996,0.0115312105044722
HIP,24571,206,11,0.0005824356921948,0.0016551298322156
HIP,41122,207,12,0.0022375499829649,0.0090928385034203
HIP,9277,208,15,0.006286802701652,0.0177093613892793
HIP,19815,209,17,0.0153131866827607,0.0184199884533882
HIP,46254,210,13,0.0381656140089035,0.0588663443922996
HIP,49804,211,14,0.0425498150289058,0.0717685520648956
HIP,30888,212,19,0.0033692589495331,0.0078629413619637
HIP,4021,213,14,0.0195154789835214,0.0356353037059307
HIP,39058,214,14,0.0008211497915908,0.0039765471592545
HIP,6401,215,16,0.0065762917511165,0.0130022596567869
HIP,41975,216,16,0.0025516273453831,0.0057122311554849
HIP,23628,217,14,0.008842010051012,0.0192321166396141
HIP,38645,218,14,0.0017541921697556,0.0070573380216956
HIP,3434,219,12,0.0066153188236057,0.0255675930529832
HIP,34070,220,13,0.0030531382653862,0.0077685308642685
HIP,4818,221,15,0.0070882807485759,0.0223465953022241
HIP,32655,222,8,0.0025807698257267,0.0141015546396374
HIP,40231,223,9,0.0014345811214298,0.0079248258844017
HIP,14377,224,13,0.0040788021869957,0.0295318961143493
HIP,38901,225,18,0.0007604079437442,0.0025341270957142
HIP,25188,226,18,0.0084224743768572,0.0110311480239033
HIP,9803,227,14,0.0075610550120472,0.0180388670414686
HIP,41132,228,12,0.0270919818431139,0.0567752569913864
HIP,39752,229,11,0.0048906705342233,0.0239372495561838
HIP,40269,230,11,0.0017158362315967,0.0069918599911034
HIP,3049,231,16,0.0007464261725544,0.0166621468961238
HIP,7139,232,14,0.0083333635702729,0.033849611878395
HIP,18665,233,17,0.0069331168197095,0.0149934096261858
HIP,4403,234,14,0.032642263919115,0.0479543656110763
HIP,20507,235,16,0.0026046761777251,0.0056672403588891
HIP,6553,236,13,0.0105456905439496,0.0212927386164665
HIP,7533,237,13,0.0093278912827372,0.0209765471518039
HIP,18484,238,15,0.0089313630014657,0.0149959400296211
HIP,47667,239,15,0.0073964116163551,0.02563420496881
HIP,37201,240,15,0.0079420637339353,0.0219128150492906
HIP,15721,241,12,0.0134602710604667,0.031071176752448
HIP,46771,242,14,0.0021860518027096,0.0246945302933454
HIP,12377,243,19,0.0018624202348291,0.0054768435657024
HIP,19546,244,16,0.0009450484067201,0.0033610323444008
HIP,41943,245,14,0.0059086461551487,0.0079768542200326
HIP,33736,246,10,0.0034067204687744,0.0098868925124406
HIP,8651,247,14,0.005518777295947,0.0126266004517674
HIP,42912,248,10,0.0347896367311477,0.0778668895363807
HIP,44452,249,12,0.0030939718708395,0.0081251487135887
HIP,27605,250,17,0.0346894972026348,0.0396141447126865
HIP,9159,251,9,0.0430037267506122,0.1536572575569152
HIP,36079,252,14,0.0025453513953834,0.007441284134984
HIP,32724,253,15,0.0059845317155122,0.0146666895598173
HIP,46888,254,6,0.0126113342121243,0.0484300926327705
HIP,35418,255,14,0.0011985865421593,0.0052301567047834
HIP,12510,256,14,0.0019318663980811,0.0070894216187298
HIP,36077,257,14,0.0038777494337409,0.0114388801157474
HIP,31905,258,9,0.0011743808863684,0.0078419996425509
HIP,18866,259,14,0.0033498145639896,0.0086225382983684
HIP,19316,260,12,0.0042542270384728,0.0093037215992808
HIP,29376,261,14,0.0082304589450359,0.0256598684936761
HIP,20088,262,15,0.0231314692646265,0.0481703020632267
HIP,29899,263,19,0.0027707933913916,0.0111253047361969
HIP,14866,264,16,0.0145947774872183,0.0222187675535678
HIP,21643,265,12,0.0054543963633477,0.0152730997651815
HIP,25707,266,12,0.0058991587720811,0.0154865970835089
HIP,50184,267,15,0.0051267091184854,0.0111918477341532
HIP,45146,268,13,0.0011039420496672,0.0052940608002245
HIP,37482,269,14,0.0118827344849705,0.0283107236027717
HIP,41729,270,13,0.006624428089708,0.0178481638431549
HIP,40260,271,15,0.0024717121850699,0.0087798843160271
HIP,37291,272,10,0.0048367036506533,0.0129035059362649
HIP,15291,273,14,0.0122663863003253,0.0265957191586494
HIP,10146,274,19,0.0033200499601662,0.0066458061337471
HIP,47868,275,14,0.005543177947402,0.0180956609547138
HIP,35428,276,12,0.0008593445527367,0.0114028370007872
HIP,35617,277,11,0.0147496396675705,0.0264171827584505
HIP,4344,278,12,0.0021773476619273,0.0497786551713943
HIP,23317,279,15,0.0053436220623552,0.0127265052869915
HIP,22383,280,16,0.0036924215964972,0.0112347323447465
HIP,18790,281,14,0.0064979610033333,0.0213375836610794
HIP,27521,282,14,0.0052119940519332,0.0125077813863754
HIP,22325,283,12,0.0213074497878551,0.06244632974267
HIP,11933,284,12,0.0316395126283168,0.0722628086805343
HIP,5754,285,13,0.0077313729561865,0.0225676577538251
HIP,318,286,16,0.0007135471096262,0.0033965988550335
HIP,21743,287,12,0.010383952409029,0.0337478965520858
HIP,26792,288,14,0.0031166723929345,0.0090285222977399
HIP,19044,289,14,0.0056220637634396,0.013007016852498
HIP,42848,290,14,0.0021641931962221,0.0076991529203951
HIP,32284,291,15,0.0032663855236023,0.0085094813257455
HIP,21628,292,16,0.0047802054323256,0.0119863115251064
HIP,9798,293,12,0.0533689744770526,0.1366723924875259
HIP,50297,294,13,0.0261523332446813,0.0525628291070461
HIP,17574,295,14,0.0123391235247254,0.0268427412956953
HIP,2917,296,13,0.0312512777745723,0.063235342502594
HIP,16151,297,17,0.0005992522928863,0.0052740313112735
HIP,50646,298,11,0.0015023755840957,0.0056342217139899
HIP,40081,299,18,0.0011100207921117,0.0058512263931334
HIP,37180,300,15,0.0488780364394187,0.0507852509617805
HIP,48701,301,13,0.0013114697067067,0.0411225967109203
HIP,27290,302,13,0.0071630510501563,0.0191928017884492
HIP,13294,303,16,0.0025857179425656,0.0054021016694605
HIP,20005,304,16,0.0009755167993716,0.0035527923610061
HIP,27301,305,12,0.035980112850666,0.0649660006165504
HIP,5253,306,14,0.0114031573757529,0.0397689118981361
HIP,28813,307,12,0.0068674911744892,0.0204412695020437
HIP,37139,308,12,0.0120194572955369,0.0250981245189905
HIP,18392,309,12,0.0315454192459583,0.0392253212630748
HIP,34349,310,17,0.00541357928887,0.0119206896051764
HIP,13482,311,10,0.0098243188112974,0.025679538026452
HIP,8411,312,16,0.0033642889466136,0.0092836339026689
HIP,13671,313,15,0.0019781026057899,0.0062084593810141
HIP,21572,314,11,0.0214382484555244,0.0893955677747726
HIP,32950,315,14,0.0026079078670591,0.0095153795555233
HIP,30742,316,12,0.0324353985488414,0.0781182870268821
HIP,21557,317,11,0.0202395711094141,0.0571026355028152
HIP,5272,318,18,0.0075980159454047,0.0149333430454134
HIP,16500,319,16,0.0033439858816564,0.0060616927221417
HIP,34519,320,13,0.0066659720614552,0.0158332251012325
HIP,16609,321,16,0.007181332912296,0.0149540472775697
HIP,24107,322,13,0.0155559414997696,0.0377635471522808
HIP,12848,323,17,0.0011539960978552,0.0098539469763636
HIP,33025,324,16,0.0078999437391757,0.020866185426712
HIP,41052,325,16,0.0069937743246555,0.0131020145490765
HIP,40156,326,17,0.0053279190324246,0.0130286328494548
HIP,12028,327,14,0.0292338617146015,0.048390507698059
HIP,31111,328,10,0.0129934148862957,0.0464733652770519
HIP,9350,329,14,0.0070956093259155,0.0160569306463003
HIP,42432,330,11,0.0076758898794651,0.0249498076736927
HIP,3156,331,14,0.0037330433260649,0.0092295799404382
HIP,25431,332,14,0.0038095284253358,0.006117068696767
HIP,16147,333,10,0.0100371893495321,0.0254054348915815
HIP,2619,334,10,0.0250521879643201,0.082217626273632
HIP,27595,335,11,0.0124979028478264,0.156078889966011
HIP,17000,336,14,0.044896338135004,0.0640299767255783
HIP,16371,337,11,0.0017879633232951,0.0073326816782355
HIP,40725,338,15,0.0067907376214861,0.021684031933546
HIP,35087,339,14,0.0402358062565326,0.0840803757309913
HIP,26150,340,19,0.0019226785516366,0.0055896844714879
HIP,7250,341,17,0.0360113903880119,0.0741806998848915
HIP,36700,342,14,0.0409783385694026,0.0634760409593582
HIP,13355,343,12,0.0008617772837169,0.0052917269058525
HIP,47258,344,16,0.0055293217301368,0.0133327264338731
HIP,25735,345,17,0.0055651878938078,0.0074741099961102
HIP,49326,346,10,0.0724336057901382,0.0935463979840278
HIP,20823,347,14,0.0074530388228595,0.0197074189782142
HIP,28411,348,12,0.0114055601879954,0.0211368408054113
HIP,26391,349,15,0.0115598626434803,0.0262868665158748
HIP,21935,350,9,0.036136195063591,0.0904172137379646
HIP,26506,351,12,0.0158784631639719,0.034186877310276
HIP,39504,352,12,0.0035992425400763,0.0154639203101396
HIP,4047,353,18,0.0284281391650438,0.0313501358032226
HIP,46503,354,17,0.0117532256990671,0.018035739660263
HIP,38422,355,11,0.0061566680669784,0.0236598495393991
HIP,38245,356,21,0.0010522851953282,0.0680028721690177
HIP,32300,357,14,0.0015463760355487,0.0068431957624852
HIP,12580,358,15,0.0087935142219066,0.024759529158473
HIP,38058,359,14,0.005382657982409,0.0112541280686855
HIP,25443,360,14,0.0040500601753592,0.0110235065221786
HIP,17919,361,12,0.0055823451839387,0.0154043659567832
HIP,12214,362,16,0.0014850031584501,0.0052414191886782
HIP,50577,363,17,0.0031791750807315,0.0104066440835595
HIP,15218,364,16,0.0013951448490843,0.0062982058152556
HIP,35135,365,18,0.0056530977599322,0.0221297312527894
HIP,11981,366,11,0.0067507303319871,0.0255347937345504
HIP,32254,367,14,0.0014016523491591,0.0056462008506059
HIP,3970,368,13,0.0073839426040649,0.0201198533177375
HIP,27898,369,19,0.0010509379208087,0.0046229185536503
HIP,40919,370,14,0.0046620140783488,0.0190471578389406
HIP,34499,371,16,0.0021749641746282,0.004454577807337
HIP,19165,372,12,0.0011168004712089,0.0061240722425282
HIP,15104,373,12,0.022887822240591,0.038413431495428
HIP,13620,374,14,0.0036207034718245,0.0250029657036066
HIP,14580,375,12,0.0010324710747227,0.0039960676804184
HIP,37675,376,10,0.0863394439220428,0.2295152097940445
HIP,37162,377,11,0.0088893435895442,0.0231892149895429
HIP,6349,378,9,0.006403231061995,0.0232994835823774
HIP,550,379,15,0.0046686246059834,0.0141005180776119
HIP,47435,380,13,0.0029871726874262,0.0087458249181509
HIP,1138,381,14,0.0202955547720193,0.0455717667937278
HIP,32545,382,14,0.0110074542462825,0.0390177220106124
HIP,46685,383,14,0.0066364747472107,0.0156708303838968
HIP,12068,384,14,0.0086411284282803,0.0227024536579847
HIP,10872,385,16,0.0012441829312592,0.0068553248420357
HIP,19298,386,12,0.0037333676591515,0.0137909604236483
HIP,466,387,16,0.0015125279314815,0.0049438872374594
HIP,12548,388,16,0.001983227673918,0.0048996736295521
HIP,42935,389,15,0.0118568949401378,0.0189339760690927
HIP,48468,390,12,0.035409040749073,0.0805504471063613
HIP,6501,391,13,0.0079641761258244,0.0148020992055535
HIP,22679,392,13,0.0087427692487835,0.0376110672950744
HIP,25569,393,11,0.0044506140984594,0.0110457837581634
HIP,41746,394,15,0.0018166522495448,0.0060250805690884
HIP,1767,395,14,0.0120320590212941,0.0225855000317096
HIP,23283,396,17,0.0028586632106453,0.0395617745816707
HIP,5337,397,12,0.0023518961388617,0.0068996101617813
HIP,26849,398,10,0.0707957968115806,0.1034396737813949
HIP,8149,399,15,0.0066688116639852,0.0193130504339933
HIP,34503,400,13,0.0086810532957315,0.0212566927075386
HIP,14040,401,10,0.0114749064669013,0.0219655856490135
HIP,12292,402,10,0.0072632301598787,0.0164327807724475
HIP,38968,403,19,0.0022713667713105,0.005277064628899
HIP,35147,404,15,0.0111922612413764,0.0224887542426586
HIP,5545,405,15,0.000914211908821,0.0055580618791282
HIP,48111,406,19,0.0219698417931795,0.0363507382571697
HIP,38491,407,16,0.0043582255020737,0.0108039481565356
HIP,27911,408,15,0.0071350298821926,0.0200562346726655
HIP,19736,409,11,0.0199528113007545,0.0458196885883808
HIP,11614,410,15,0.0019070132402703,0.0057832398451864
HIP,14898,411,11,0.0021580427419394,0.0085747577250003
HIP,34457,412,15,0.0059894458390772,0.0134722236543893
HIP,34359,413,5,0.0029383786022663,0.0228478889912366
HIP,20344,414,14,0.0038591627962887,0.011862170882523
HIP,29950,415,17,0.0069543593563139,0.0133883571252226
HIP,5304,416,19,0.0015615439042448,0.0139757776632905
HIP,6016,417,18,0.0012574213324114,0.0070674843154847
HIP,31265,418,17,0.0032402521464973,0.0088517889380455
HIP,24383,419,12,0.0106664020568132,0.0355485044419765
HIP,26765,420,14,0.0090487739071249,0.027573112398386
HIP,49041,421,12,0.0012350026518106,0.0050663747824728
HIP,47105,422,17,0.0127675794064998,0.0214432924985885
HIP,36496,423,16,0.0037933138664811,0.0142433363944292
HIP,27575,424,12,0.0009227984701283,0.0048067085444927
HIP,17978,425,14,0.0108912205323576,0.0449265725910663
HIP,44306,426,16,0.0039586564525961,0.0154975056648254
HIP,249,427,14,0.002036013174802,0.0094808638095855
HIP,48172,428,15,0.0229859091341495,0.0393897034227848
HIP,44835,429,11,0.000973404967226,0.0052607199177145
HIP,9718,430,17,0.002709056250751,0.0177058987319469
HIP,29987,431,13,0.0046470398083329,0.0111621925607323
HIP,9632,432,16,0.005294463597238,0.0114229274913668
HIP,26527,433,21,0.0014341296628117,0.0364203453063964
HIP,30203,434,14,0.0040713581256568,0.0089586013928055
HIP,1266,435,14,0.0063743642531335,0.0228343065828084
HIP,19291,436,12,0.0022373974788933,0.0073269810527563
HIP,31827,437,19,0.0049847257323563,0.0094633875414729
HIP,9036,438,14,0.0042489734478294,0.0143796680495142
HIP,34667,439,13,0.0125511065125465,0.0341375283896923
HIP,38172,440,14,0.0012776113580912,0.0046088476665318
HIP,32730,441,14,0.0047311214730143,0.0195432342588901
HIP,49636,442,15,0.0071266680024564,0.016037318855524
HIP,3569,443,13,0.0008875890052877,0.0066861920058727
HIP,37703,444,14,0.0020572110079228,0.1096061170101165
HIP,39639,445,13,0.0026477647479623,0.0252047013491392
HIP,5666,446,16,0.0031612075399607,0.0131909223273396
HIP,49331,447,17,0.0016605079872533,0.0088406829163432
HIP,35962,448,15,0.0044347029179334,0.0113263987004756
HIP,44507,449,15,0.0025564138777554,0.0080858375877141
HIP,404,450,15,0.0039603570476174,0.0168984308838844
HIP,18766,451,11,0.0131878787651658,0.0445000380277633
HIP,40377,452,15,0.0079802479594945,0.0158139523118734
HIP,40955,453,14,0.0077085550874471,0.0245605185627937
HIP,25372,454,14,0.006175544578582,0.0143427457660436
HIP,3241,455,12,0.0092854918912053,0.0185951869934797
HIP,9261,456,15,0.0084847062826156,0.0246617551892995
HIP,25159,457,19,0.000879798491951,0.0058334604837
HIP,3814,458,17,0.0034066434018313,0.0085040796548128
HIP,3888,459,14,0.0011849584989249,0.0103179570287466
HIP,21853,460,11,0.0015278676291927,0.0053608240559697
HIP,46291,461,15,0.0058129397220909,0.0123860668390989
HIP,42411,462,14,0.0380467250943183,0.0405451878905296
HIP,45573,463,14,0.0085427053272724,0.0125697376206517
HIP,45007,464,13,0.0045154662802815,0.0170803312212228
HIP,44190,465,15,0.0060671847313642,0.0148434862494468
HIP,26015,466,14,0.0057450919412076,0.012926229275763
HIP,46416,467,17,0.0008082910208031,0.0034229215234518
HIP,3816,468,9,0.0015717535279691,0.0082895010709762
HIP,29297,469,14,0.0071955099701881,0.0179315451532602
HIP,21412,470,13,0.0434942692518234,0.0644909366965293
HIP,44092,471,13,0.003252153750509,0.0100570674985647
HIP,2906,472,12,0.0082603376358747,0.0184063147753477
HIP,45392,473,16,0.0321888923645019,0.0426387600600719
HIP,19722,474,14,0.0012730917660519,0.0066275866702198
HIP,32796,475,14,0.0122756268829107,0.0228968132287263
HIP,28172,476,18,0.017698548734188,0.0278257932513952
HIP,12770,477,19,0.0007632711785845,0.0026678463909775
HIP,7340,478,10,0.0106802536174654,0.0260359458625316
HIP,5998,479,9,0.0186751075088977,0.0777928307652473
