model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
Energy-force-only EquiformerV2 AD,35070,0,14,0.0122619112953543,2.135237693786621
Energy-force-only EquiformerV2 AD,2284,1,13,0.0214469339698553,1.9570457935333248
Energy-force-only EquiformerV2 AD,13332,2,13,0.0090327737852931,2.754317045211792
Energy-force-only EquiformerV2 AD,14281,3,11,0.0235351640731096,3.3895251750946045
Energy-force-only EquiformerV2 AD,46110,4,15,0.0172682255506515,1.8443082571029663
Energy-force-only EquiformerV2 AD,33249,5,17,0.0084249442443251,1.802103996276856
Energy-force-only EquiformerV2 AD,35938,6,14,0.003388077719137,2.083019256591797
Energy-force-only EquiformerV2 AD,47043,7,15,0.0055308905430138,2.114204168319702
Energy-force-only EquiformerV2 AD,25642,8,14,0.0094741377979516,1.7278177738189695
Energy-force-only EquiformerV2 AD,35177,9,10,0.0098410556092858,3.871335744857788
Energy-force-only EquiformerV2 AD,50102,10,19,0.00485719460994,1.4597773551940918
Energy-force-only EquiformerV2 AD,2674,11,14,0.012963461689651,2.277855396270752
Energy-force-only EquiformerV2 AD,34598,12,17,0.0190766006708145,1.2639710903167725
Energy-force-only EquiformerV2 AD,12843,13,19,0.0098092034459114,1.2902156114578247
Energy-force-only EquiformerV2 AD,1375,14,14,0.0034501766785979,1.9285262823104856
Energy-force-only EquiformerV2 AD,42274,15,11,0.0210809502750635,2.660212278366089
Energy-force-only EquiformerV2 AD,11899,16,14,0.0163371618837118,2.2293477058410645
Energy-force-only EquiformerV2 AD,24768,17,12,0.0346526019275188,3.318730115890503
Energy-force-only EquiformerV2 AD,25701,18,11,0.0115796569734811,3.849663496017456
Energy-force-only EquiformerV2 AD,17250,19,15,0.0065955794416368,2.065737247467041
Energy-force-only EquiformerV2 AD,26833,20,10,0.0215734057128429,2.2327752113342285
Energy-force-only EquiformerV2 AD,12656,21,14,0.0102346446365118,2.4569694995880127
Energy-force-only EquiformerV2 AD,4221,22,21,0.0232970621436834,1.0762420892715454
Energy-force-only EquiformerV2 AD,16177,23,12,0.0081792222335934,2.936208963394165
Energy-force-only EquiformerV2 AD,25283,24,15,0.0075208507478237,2.0174553394317627
Energy-force-only EquiformerV2 AD,39339,25,14,0.0112488670274615,1.8758171796798704
Energy-force-only EquiformerV2 AD,9739,26,10,0.0111240269616246,4.19660234451294
Energy-force-only EquiformerV2 AD,41691,27,18,0.0044628712348639,1.466962456703186
Energy-force-only EquiformerV2 AD,42843,28,14,0.0066904490813612,1.827115535736084
Energy-force-only EquiformerV2 AD,17903,29,15,0.0105657875537872,2.289386749267578
Energy-force-only EquiformerV2 AD,48588,30,12,0.0177047979086637,2.373688220977783
Energy-force-only EquiformerV2 AD,30815,31,12,0.0230748355388641,1.421341896057129
Energy-force-only EquiformerV2 AD,29115,32,18,0.0132531458511948,1.6461312770843506
Energy-force-only EquiformerV2 AD,40,33,11,0.0070497319102287,3.847154855728149
Energy-force-only EquiformerV2 AD,32597,34,15,0.0069741951301693,1.7403675317764282
Energy-force-only EquiformerV2 AD,16626,35,9,0.0233584959059953,2.912075519561768
Energy-force-only EquiformerV2 AD,37271,36,12,0.0160791520029306,1.872747778892517
Energy-force-only EquiformerV2 AD,29570,37,17,0.0051418561488389,1.7227883338928225
Energy-force-only EquiformerV2 AD,26756,38,16,0.0122804623097181,1.540510654449463
Energy-force-only EquiformerV2 AD,27834,39,14,0.0078458916395902,2.5377705097198486
Energy-force-only EquiformerV2 AD,522,40,16,0.008852151222527,1.777270793914795
Energy-force-only EquiformerV2 AD,45251,41,14,0.0140674822032451,2.0424516201019287
Energy-force-only EquiformerV2 AD,13633,42,12,0.0058529893867671,2.177044153213501
Energy-force-only EquiformerV2 AD,17617,43,12,0.042656946927309,2.986346244812012
Energy-force-only EquiformerV2 AD,42551,44,13,0.0057397694326937,2.830881834030152
Energy-force-only EquiformerV2 AD,17297,45,14,0.0080107171088457,1.7289233207702637
Energy-force-only EquiformerV2 AD,44139,46,14,0.0055574588477611,2.304331064224243
Energy-force-only EquiformerV2 AD,9584,47,17,0.0125133199617266,1.193659782409668
Energy-force-only EquiformerV2 AD,10389,48,15,0.0117049841210246,0.9028589129447936
Energy-force-only EquiformerV2 AD,11231,49,15,0.0062794806435704,1.8724117279052728
Energy-force-only EquiformerV2 AD,40666,50,15,0.0151807600632309,2.03987455368042
Energy-force-only EquiformerV2 AD,32583,51,11,0.0330796502530574,3.0432794094085693
Energy-force-only EquiformerV2 AD,20294,52,15,0.0312492828816175,1.6344982385635376
Energy-force-only EquiformerV2 AD,30061,53,16,0.0053377598524093,1.7347066402435305
Energy-force-only EquiformerV2 AD,16990,54,14,0.0067087947390973,1.6737542152404783
Energy-force-only EquiformerV2 AD,42360,55,16,0.05239924415946,2.269286870956421
Energy-force-only EquiformerV2 AD,24047,56,14,0.0073537919670343,2.131917953491211
Energy-force-only EquiformerV2 AD,16190,57,11,0.0070774592459201,3.651979923248291
Energy-force-only EquiformerV2 AD,15628,58,15,0.0250875484198331,1.029886245727539
Energy-force-only EquiformerV2 AD,26057,59,11,0.0328073650598526,2.6108145713806152
Energy-force-only EquiformerV2 AD,1838,60,19,0.0523462928831577,0.6367645859718323
Energy-force-only EquiformerV2 AD,48003,61,15,0.0451540760695934,0.9061659574508668
Energy-force-only EquiformerV2 AD,17598,62,13,0.0376405417919158,3.406609058380127
Energy-force-only EquiformerV2 AD,21961,63,16,0.0056094727478921,2.202582836151123
Energy-force-only EquiformerV2 AD,2974,64,12,0.0142518552020192,3.465895414352417
Energy-force-only EquiformerV2 AD,49367,65,11,0.0325143411755561,3.204464197158813
Energy-force-only EquiformerV2 AD,40887,66,11,0.018626295030117,2.7886276245117188
Energy-force-only EquiformerV2 AD,1995,67,9,0.0132541600614786,3.9251413345336914
Energy-force-only EquiformerV2 AD,25175,68,15,0.0186772421002388,2.5900673866271973
Energy-force-only EquiformerV2 AD,28105,69,10,0.0225927270948886,3.408446788787842
Energy-force-only EquiformerV2 AD,12579,70,16,0.0404322259128093,1.2010952234268188
Energy-force-only EquiformerV2 AD,50014,71,12,0.0113272182643413,2.6494300365448
Energy-force-only EquiformerV2 AD,13360,72,19,0.018640711903572,1.283636212348938
Energy-force-only EquiformerV2 AD,33776,73,17,0.0039601661264896,1.4884995222091677
Energy-force-only EquiformerV2 AD,36882,74,11,0.0213004909455776,2.2658071517944336
Energy-force-only EquiformerV2 AD,10607,75,12,0.0102825248613953,2.76941180229187
Energy-force-only EquiformerV2 AD,2111,76,14,0.0118197379633784,2.725250005722046
Energy-force-only EquiformerV2 AD,6687,77,11,0.0082441894337534,3.021963119506836
Energy-force-only EquiformerV2 AD,16328,78,15,0.0086498744785785,1.4560562372207642
Energy-force-only EquiformerV2 AD,22215,79,14,0.0044605517759919,2.1368937492370605
Energy-force-only EquiformerV2 AD,11994,80,12,0.0227621551603078,2.716359853744507
Energy-force-only EquiformerV2 AD,37342,81,16,0.0040093916468322,1.621395707130432
Energy-force-only EquiformerV2 AD,43966,82,10,0.0216360259801149,3.419518232345581
Energy-force-only EquiformerV2 AD,46769,83,16,0.0090916929766535,1.669996976852417
Energy-force-only EquiformerV2 AD,36826,84,19,0.0102476188912987,0.8688839673995972
Energy-force-only EquiformerV2 AD,11804,85,19,0.0072674532420933,0.9821162223815918
Energy-force-only EquiformerV2 AD,28681,86,10,0.0112070683389902,4.201541423797607
Energy-force-only EquiformerV2 AD,43485,87,16,0.0096276793628931,2.1175689697265625
Energy-force-only EquiformerV2 AD,47511,88,15,0.0082406010478734,2.0680506229400635
Energy-force-only EquiformerV2 AD,5267,89,9,0.0719138905405998,3.705390214920044
Energy-force-only EquiformerV2 AD,39361,90,14,0.0057813874445855,2.1284267902374268
Energy-force-only EquiformerV2 AD,19372,91,13,0.022783800959587,3.039231538772583
Energy-force-only EquiformerV2 AD,1949,92,16,0.0119508057832717,0.766593873500824
Energy-force-only EquiformerV2 AD,9702,93,17,0.0077482336200773,1.735116481781006
Energy-force-only EquiformerV2 AD,15485,94,11,0.0174039062112569,2.940303325653076
Energy-force-only EquiformerV2 AD,21838,95,17,0.0269028581678867,1.2951383590698242
Energy-force-only EquiformerV2 AD,43645,96,16,0.0175661612302064,1.9925185441970823
Energy-force-only EquiformerV2 AD,13327,97,14,0.0309136118739843,2.463209629058838
Energy-force-only EquiformerV2 AD,22789,98,15,0.0040020607411861,2.1028530597686768
Energy-force-only EquiformerV2 AD,15413,99,11,0.0217364486306905,1.866559982299805
Energy-force-only EquiformerV2 AD,28010,100,15,0.0185250286012887,1.901518940925598
Energy-force-only EquiformerV2 AD,15698,101,12,0.0196397677063941,1.4451439380645752
Energy-force-only EquiformerV2 AD,38361,102,13,0.0735489949584007,2.350178003311157
Energy-force-only EquiformerV2 AD,20249,103,15,0.0089904023334383,2.4011824131011963
Energy-force-only EquiformerV2 AD,18821,104,8,0.0187374968081712,4.518362522125244
Energy-force-only EquiformerV2 AD,39354,105,15,0.03729934617877,1.9872009754180908
Energy-force-only EquiformerV2 AD,3025,106,14,0.0174188483506441,2.4246826171875
Energy-force-only EquiformerV2 AD,7123,107,15,0.0093216588720679,1.8738449811935425
Energy-force-only EquiformerV2 AD,9049,108,14,0.0206020455807447,2.395066738128662
Energy-force-only EquiformerV2 AD,7802,109,15,0.0648108422756195,2.820251226425171
Energy-force-only EquiformerV2 AD,36977,110,12,0.0041382545605301,2.8246634006500244
Energy-force-only EquiformerV2 AD,18993,111,12,0.0080540813505649,3.0295839309692383
Energy-force-only EquiformerV2 AD,39091,112,14,0.0075608119368553,2.4598491191864014
Energy-force-only EquiformerV2 AD,35420,113,10,0.0193075351417064,3.382057905197144
Energy-force-only EquiformerV2 AD,27944,114,14,0.0191487669944763,1.3591046333312988
Energy-force-only EquiformerV2 AD,20270,115,12,0.0188808105885982,2.007201910018921
Energy-force-only EquiformerV2 AD,12324,116,8,0.0123190088197588,3.71394944190979
Energy-force-only EquiformerV2 AD,39286,117,14,0.0151899429038167,2.433832883834839
Energy-force-only EquiformerV2 AD,35559,118,12,0.0311971642076969,2.213201999664306
Energy-force-only EquiformerV2 AD,2087,119,14,0.0300801713019609,2.0343732833862305
Energy-force-only EquiformerV2 AD,29519,120,17,0.012031246908009,1.1011059284210205
Energy-force-only EquiformerV2 AD,14840,121,16,0.0433759056031703,0.9018999934196472
Energy-force-only EquiformerV2 AD,46667,122,11,0.1173094287514686,3.298323154449463
Energy-force-only EquiformerV2 AD,10469,123,13,0.0069170296192169,2.315413475036621
Energy-force-only EquiformerV2 AD,23184,124,13,0.0112591199576854,2.274886131286621
Energy-force-only EquiformerV2 AD,2251,125,10,0.0183312110602855,2.843045949935913
Energy-force-only EquiformerV2 AD,2493,126,10,0.0280015803873538,3.019624948501587
Energy-force-only EquiformerV2 AD,31105,127,16,0.0029144715517759,1.6770708560943604
Energy-force-only EquiformerV2 AD,20311,128,13,0.0079719657078385,2.219645023345948
Energy-force-only EquiformerV2 AD,35660,129,18,0.0099825570359826,1.0800851583480835
Energy-force-only EquiformerV2 AD,46637,130,11,0.0109160933643579,2.899674654006958
Energy-force-only EquiformerV2 AD,41937,131,13,0.0059257973916828,2.670900583267212
Energy-force-only EquiformerV2 AD,17348,132,13,0.0514489151537418,3.000446319580078
Energy-force-only EquiformerV2 AD,44741,133,10,0.0045425705611705,4.037253856658936
Energy-force-only EquiformerV2 AD,20410,134,12,0.0116317374631762,2.295682907104492
Energy-force-only EquiformerV2 AD,42370,135,16,0.007387357763946,1.3022096157073977
Energy-force-only EquiformerV2 AD,22400,136,17,0.0079877767711877,1.4599634408950806
Energy-force-only EquiformerV2 AD,21917,137,16,0.0413971170783042,1.876671314239502
Energy-force-only EquiformerV2 AD,31296,138,18,0.0033113448880612,1.835845112800598
Energy-force-only EquiformerV2 AD,11515,139,17,0.0263723935931921,1.507786750793457
