method,batch_size,replicate_index,time_milliseconds,time_per_sample_milliseconds,peak_memory_gigabytes
EquiformerV2 AD (direct force),1,0,632.195068359375,632.195068359375,6.91820032e-07
EquiformerV2 AD (direct force),1,1,468.7124328613281,468.7124328613281,5.85286656e-07
EquiformerV2 AD (direct force),1,2,549.0675048828125,549.0675048828125,6.52811264e-07
EquiformerV2 AD (direct force),1,3,847.1888427734375,847.1888427734375,7.68327168e-07
EquiformerV2 AD (direct force),1,4,504.7500915527344,504.7500915527344,6.20298752e-07
EquiformerV2 AD (direct force),1,5,434.7238464355469,434.7238464355469,5.46556416e-07
EquiformerV2 AD (direct force),1,6,465.5541687011719,465.5541687011719,5.85286656e-07
EquiformerV2 AD (direct force),1,7,506.6608581542969,506.6608581542969,6.149099519999999e-07
EquiformerV2 AD (direct force),1,8,629.0009765625,629.0009765625,6.86372352e-07
EquiformerV2 AD (direct force),1,9,443.446533203125,443.446533203125,5.53463808e-07
EquiformerV2 AD (direct force),2,0,1613.413330078125,806.7066650390625,9.052047360000001e-07
EquiformerV2 AD (direct force),2,1,1413.8746337890625,706.9373168945312,8.55900672e-07
EquiformerV2 AD (direct force),2,2,1996.7784423828125,998.3892211914062,9.790233600000001e-07
EquiformerV2 AD (direct force),2,3,1737.5252685546875,868.7626342773438,9.04420352e-07
EquiformerV2 AD (direct force),2,4,1599.1336669921875,799.5668334960938,8.9851136e-07
EquiformerV2 AD (direct force),2,5,713.7423095703125,356.87115478515625,6.44113408e-07
EquiformerV2 AD (direct force),2,6,1630.780517578125,815.3902587890625,8.95642112e-07
EquiformerV2 AD (direct force),2,7,2093.845458984375,1046.9227294921875,1.004101632e-06
EquiformerV2 AD (direct force),2,8,2586.25634765625,1293.128173828125,1.1146557439999999e-06
EquiformerV2 AD (direct force),2,9,1560.628173828125,780.3140869140625,8.884910079999999e-07
EquiformerV2 AD (direct force),3,0,1656.040283203125,552.013427734375,8.54457344e-07
EquiformerV2 AD (direct force),3,1,2801.598388671875,933.8661295572916,1.067559936e-06
EquiformerV2 AD (direct force),3,2,2610.009033203125,870.0030110677084,1.0373038079999998e-06
EquiformerV2 AD (direct force),3,3,2726.035400390625,908.678466796875,1.0378280959999999e-06
EquiformerV2 AD (direct force),3,4,3308.859375,1102.953125,1.152286208e-06
EquiformerV2 AD (direct force),3,5,3366.729736328125,1122.2432454427083,1.165317632e-06
EquiformerV2 AD (direct force),3,6,3675.3408203125,1225.1136067708333,1.223791104e-06
EquiformerV2 AD (direct force),3,7,4930.0205078125,1643.3401692708333,1.381264384e-06
