molecule_index,optimization_method,converged,optimization_step_count,wall_time_seconds
0,RFO with HIP Hessian (MSE),True,4,0.3159603900276124
0,RFO with HIP Hessian (MAE),True,5,0.3867491749697365
0,RFO with HIP Hessian (MAE+Sub),True,3,0.2462149699567817
1,RFO with HIP Hessian (MSE),True,5,0.3800371229881421
1,RFO with HIP Hessian (MAE),True,8,0.5842231850256212
1,RFO with HIP Hessian (MAE+Sub),True,13,0.911036066012457
2,RFO with HIP Hessian (MSE),True,4,0.3137192929862067
2,RFO with HIP Hessian (MAE),True,8,0.586071924015414
2,RFO with HIP Hessian (MAE+Sub),True,3,0.2475489470525644
3,RFO with HIP Hessian (MSE),True,8,0.58281489595538
3,RFO with HIP Hessian (MAE),True,9,0.6500213660183363
3,RFO with HIP Hessian (MAE+Sub),True,6,0.4533330439589917
4,RFO with HIP Hessian (MSE),True,12,0.8553393220063299
4,RFO with HIP Hessian (MAE),True,7,0.5196290250169113
4,RFO with HIP Hessian (MAE+Sub),True,4,0.3208290269831195
5,RFO with HIP Hessian (MSE),True,7,0.5244943979778327
5,RFO with HIP Hessian (MAE),True,9,0.6697784200077876
5,RFO with HIP Hessian (MAE+Sub),True,13,0.9459075090126134
6,RFO with HIP Hessian (MSE),True,4,0.3213015969959087
6,RFO with HIP Hessian (MAE),True,5,0.3878724219975993
6,RFO with HIP Hessian (MAE+Sub),True,4,0.3178409819956869
7,RFO with HIP Hessian (MSE),True,4,0.3183648289996199
7,RFO with HIP Hessian (MAE),True,4,0.3183243829989806
7,RFO with HIP Hessian (MAE+Sub),True,5,0.3839265829883516
8,RFO with HIP Hessian (MSE),True,5,0.3849757789866999
8,RFO with HIP Hessian (MAE),True,5,0.3869906030013226
8,RFO with HIP Hessian (MAE+Sub),True,11,0.8026950680068694
9,RFO with HIP Hessian (MSE),True,3,0.2523546000011265
9,RFO with HIP Hessian (MAE),True,5,0.5206223009736277
9,RFO with HIP Hessian (MAE+Sub),True,4,0.3156870860257186
10,RFO with HIP Hessian (MSE),True,5,0.3817963000037707
10,RFO with HIP Hessian (MAE),True,6,0.4477481179637834
10,RFO with HIP Hessian (MAE+Sub),True,3,0.2526341750053689
11,RFO with HIP Hessian (MSE),True,7,0.525360236002598
11,RFO with HIP Hessian (MAE),True,5,0.3802212860318832
11,RFO with HIP Hessian (MAE+Sub),True,5,0.3820556160062551
12,RFO with HIP Hessian (MSE),True,4,0.3121012710034847
12,RFO with HIP Hessian (MAE),True,4,0.3173233560519293
12,RFO with HIP Hessian (MAE+Sub),True,8,0.5814924470032565
13,RFO with HIP Hessian (MSE),True,4,0.3124263870413415
13,RFO with HIP Hessian (MAE),True,6,0.4523505250108428
13,RFO with HIP Hessian (MAE+Sub),True,5,0.381704505009111
14,RFO with HIP Hessian (MSE),True,5,0.4269485429977067
14,RFO with HIP Hessian (MAE),True,5,0.4227486880263313
14,RFO with HIP Hessian (MAE+Sub),True,5,0.4150380640057847
15,RFO with HIP Hessian (MSE),True,5,0.4144993890076875
15,RFO with HIP Hessian (MAE),True,16,1.2147774979821406
15,RFO with HIP Hessian (MAE+Sub),True,6,0.4946335139684379
16,RFO with HIP Hessian (MSE),True,21,1.614959527971223
16,RFO with HIP Hessian (MAE),True,3,0.272494465985801
16,RFO with HIP Hessian (MAE+Sub),True,14,1.0894008650211615
17,RFO with HIP Hessian (MSE),True,5,0.4251899539958685
17,RFO with HIP Hessian (MAE),True,20,1.5401403630385175
17,RFO with HIP Hessian (MAE+Sub),True,11,0.8663062999839894
18,RFO with HIP Hessian (MSE),True,3,0.2749416079604998
18,RFO with HIP Hessian (MAE),True,11,0.8679084850009531
18,RFO with HIP Hessian (MAE+Sub),True,4,0.352625772007741
19,RFO with HIP Hessian (MSE),True,6,0.4947751759900711
19,RFO with HIP Hessian (MAE),True,5,0.4211634970270097
19,RFO with HIP Hessian (MAE+Sub),True,3,0.2705130379763432
20,RFO with HIP Hessian (MSE),True,5,0.4246523970505222
20,RFO with HIP Hessian (MAE),True,6,0.4994932499830611
20,RFO with HIP Hessian (MAE+Sub),True,4,0.3496425079647451
21,RFO with HIP Hessian (MSE),True,5,0.4242367739789188
21,RFO with HIP Hessian (MAE),True,15,1.1654617139720358
21,RFO with HIP Hessian (MAE+Sub),True,4,0.3488521539838984
22,RFO with HIP Hessian (MSE),True,6,0.495466121006757
22,RFO with HIP Hessian (MAE),True,3,0.2779994989978149
22,RFO with HIP Hessian (MAE+Sub),True,9,0.710548878996633
23,RFO with HIP Hessian (MSE),True,6,0.4882110169855878
23,RFO with HIP Hessian (MAE),True,4,0.3402287120115943
23,RFO with HIP Hessian (MAE+Sub),True,9,0.7093312829965726
24,RFO with HIP Hessian (MSE),True,8,0.633434175979346
24,RFO with HIP Hessian (MAE),True,10,0.7867862149723805
24,RFO with HIP Hessian (MAE+Sub),True,13,1.0045211439719424
25,RFO with HIP Hessian (MSE),True,36,2.7156681420165114
25,RFO with HIP Hessian (MAE),True,12,0.9453612730139866
25,RFO with HIP Hessian (MAE+Sub),True,121,9.057963823026512
26,RFO with HIP Hessian (MSE),True,93,7.126470527029596
26,RFO with HIP Hessian (MAE),True,13,1.0127229869831351
26,RFO with HIP Hessian (MAE+Sub),True,13,1.0096948699792847
27,RFO with HIP Hessian (MSE),False,149,11.116551839048045
27,RFO with HIP Hessian (MAE),True,59,4.43340681900736
27,RFO with HIP Hessian (MAE+Sub),True,62,4.662065518961754
28,RFO with HIP Hessian (MSE),True,68,5.117975570028648
28,RFO with HIP Hessian (MAE),True,147,10.946515309042296
28,RFO with HIP Hessian (MAE+Sub),False,149,11.275433772010729
29,RFO with HIP Hessian (MSE),True,3,0.2888873320189304
29,RFO with HIP Hessian (MAE),True,3,0.2914229669841006
29,RFO with HIP Hessian (MAE+Sub),True,3,0.2895048150094226
30,RFO with HIP Hessian (MSE),True,3,0.2918664470198564
30,RFO with HIP Hessian (MAE),True,3,0.2925503060105257
30,RFO with HIP Hessian (MAE+Sub),True,3,0.2916381600080058
31,RFO with HIP Hessian (MSE),True,3,0.2894012840115465
31,RFO with HIP Hessian (MAE),True,4,0.3658558379975147
31,RFO with HIP Hessian (MAE+Sub),True,3,0.2883506140206009
32,RFO with HIP Hessian (MSE),True,3,0.287750307994429
32,RFO with HIP Hessian (MAE),True,3,0.2884224280132912
32,RFO with HIP Hessian (MAE+Sub),True,3,0.2900701600010507
33,RFO with HIP Hessian (MSE),True,3,0.2886827019974589
33,RFO with HIP Hessian (MAE),True,3,0.2893956079497002
33,RFO with HIP Hessian (MAE+Sub),True,3,0.2895494929980486
34,RFO with HIP Hessian (MSE),True,3,0.2878050620201975
34,RFO with HIP Hessian (MAE),True,3,0.2871762149734422
34,RFO with HIP Hessian (MAE+Sub),True,3,0.2883092300035059
35,RFO with HIP Hessian (MSE),True,3,0.2848048960440792
35,RFO with HIP Hessian (MAE),True,3,0.289706350013148
35,RFO with HIP Hessian (MAE+Sub),True,3,0.2883392529911361
36,RFO with HIP Hessian (MSE),True,4,0.3634351890068501
36,RFO with HIP Hessian (MAE),True,4,0.3634637699578888
36,RFO with HIP Hessian (MAE+Sub),True,3,0.2858560070162639
37,RFO with HIP Hessian (MSE),True,4,0.368177819007542
37,RFO with HIP Hessian (MAE),True,4,0.3692934910068288
37,RFO with HIP Hessian (MAE+Sub),True,4,0.3991979180136695
38,RFO with HIP Hessian (MSE),True,4,0.405795179947745
38,RFO with HIP Hessian (MAE),True,4,0.4163788369623944
38,RFO with HIP Hessian (MAE+Sub),True,4,0.4083636890281923
39,RFO with HIP Hessian (MSE),True,5,0.499755063035991
39,RFO with HIP Hessian (MAE),True,3,0.3225654009729624
39,RFO with HIP Hessian (MAE+Sub),True,4,0.4011659930110909
40,RFO with HIP Hessian (MSE),True,5,0.4623461439623497
40,RFO with HIP Hessian (MAE),True,5,0.4433009920176118
40,RFO with HIP Hessian (MAE+Sub),True,5,0.4422543429536745
41,RFO with HIP Hessian (MSE),True,5,0.4438342360081151
41,RFO with HIP Hessian (MAE),True,3,0.2875997889786958
41,RFO with HIP Hessian (MAE+Sub),True,4,0.3663025120040402
42,RFO with HIP Hessian (MSE),True,3,0.2865266780136153
42,RFO with HIP Hessian (MAE),True,4,0.3654531390056945
42,RFO with HIP Hessian (MAE+Sub),True,3,0.2872727329959161
43,RFO with HIP Hessian (MSE),True,4,0.3669137569959275
43,RFO with HIP Hessian (MAE),True,4,0.3648346429690718
43,RFO with HIP Hessian (MAE+Sub),True,6,0.5339707540115342
44,RFO with HIP Hessian (MSE),True,3,0.2909474340267479
44,RFO with HIP Hessian (MAE),True,3,0.2925673090503551
44,RFO with HIP Hessian (MAE+Sub),True,3,0.289748637995217
45,RFO with HIP Hessian (MSE),True,5,0.4498493070132099
45,RFO with HIP Hessian (MAE),True,5,0.44733442296274
45,RFO with HIP Hessian (MAE+Sub),True,4,0.3692663519759662
46,RFO with HIP Hessian (MSE),True,5,0.4476760799880139
46,RFO with HIP Hessian (MAE),True,5,0.4556575829628855
46,RFO with HIP Hessian (MAE+Sub),True,3,0.2951582529931329
47,RFO with HIP Hessian (MSE),True,3,0.2912943830015138
47,RFO with HIP Hessian (MAE),True,4,0.3668987519922666
47,RFO with HIP Hessian (MAE+Sub),True,3,0.2894820019719191
48,RFO with HIP Hessian (MSE),True,3,0.29303058097139
48,RFO with HIP Hessian (MAE),True,3,0.296521490032319
48,RFO with HIP Hessian (MAE+Sub),True,3,0.290831615042407
49,RFO with HIP Hessian (MSE),True,4,0.3676386179868132
49,RFO with HIP Hessian (MAE),True,3,0.2888453920022584
49,RFO with HIP Hessian (MAE+Sub),True,3,0.2892392169451341
50,RFO with HIP Hessian (MSE),True,3,0.2907987260259688
50,RFO with HIP Hessian (MAE),True,3,0.286796886997763
50,RFO with HIP Hessian (MAE+Sub),True,3,0.2887122430256568
51,RFO with HIP Hessian (MSE),True,5,0.449887424998451
51,RFO with HIP Hessian (MAE),True,4,0.3707499599549919
51,RFO with HIP Hessian (MAE+Sub),True,5,0.4466626759967766
52,RFO with HIP Hessian (MSE),True,4,0.3708887050161138
52,RFO with HIP Hessian (MAE),True,4,0.3707753299968317
52,RFO with HIP Hessian (MAE+Sub),True,4,0.3694523009471595
53,RFO with HIP Hessian (MSE),True,3,0.2907431979547255
53,RFO with HIP Hessian (MAE),True,3,0.2921451160218566
53,RFO with HIP Hessian (MAE+Sub),True,3,0.2930801330367103
54,RFO with HIP Hessian (MSE),True,3,0.2933965959819034
54,RFO with HIP Hessian (MAE),True,3,0.2898082790197804
54,RFO with HIP Hessian (MAE+Sub),True,3,0.2912600120180286
55,RFO with HIP Hessian (MSE),True,4,0.3695649820147082
55,RFO with HIP Hessian (MAE),True,3,0.2909476190106943
55,RFO with HIP Hessian (MAE+Sub),True,3,0.2914093969739042
56,RFO with HIP Hessian (MSE),True,5,0.4487180800060741
56,RFO with HIP Hessian (MAE),True,5,0.447713655012194
56,RFO with HIP Hessian (MAE+Sub),True,5,0.4453741220058873
57,RFO with HIP Hessian (MSE),True,5,0.4191877610282972
57,RFO with HIP Hessian (MAE),True,4,0.343897522019688
57,RFO with HIP Hessian (MAE+Sub),True,3,0.2713449650327675
58,RFO with HIP Hessian (MSE),True,5,0.4239487879676744
58,RFO with HIP Hessian (MAE),True,3,0.2751671120058745
58,RFO with HIP Hessian (MAE+Sub),True,6,0.5001753729884513
59,RFO with HIP Hessian (MSE),True,21,1.5983568609808572
59,RFO with HIP Hessian (MAE),True,8,0.6398624429712072
59,RFO with HIP Hessian (MAE+Sub),True,7,0.5652933999663219
60,RFO with HIP Hessian (MSE),True,5,0.4206036379910074
60,RFO with HIP Hessian (MAE),True,8,0.6427552360109985
60,RFO with HIP Hessian (MAE+Sub),True,9,0.862567025993485
61,RFO with HIP Hessian (MSE),True,7,0.5580862580100074
61,RFO with HIP Hessian (MAE),True,3,0.2656801429693587
61,RFO with HIP Hessian (MAE+Sub),True,5,0.4136603189981542
62,RFO with HIP Hessian (MSE),True,15,1.1463952290359885
62,RFO with HIP Hessian (MAE),True,4,0.343539374996908
62,RFO with HIP Hessian (MAE+Sub),True,5,0.4212230300181545
63,RFO with HIP Hessian (MSE),True,4,0.3471593360300176
63,RFO with HIP Hessian (MAE),True,21,1.6033792670350522
63,RFO with HIP Hessian (MAE+Sub),True,4,0.3488928769947961
64,RFO with HIP Hessian (MSE),True,7,0.5880778129794635
64,RFO with HIP Hessian (MAE),True,8,0.6597991590388119
64,RFO with HIP Hessian (MAE+Sub),True,6,0.4975533940014429
65,RFO with HIP Hessian (MSE),True,6,0.5306940379668958
65,RFO with HIP Hessian (MAE),True,6,0.5176813720026985
65,RFO with HIP Hessian (MAE+Sub),True,7,0.5989756750059314
66,RFO with HIP Hessian (MSE),True,5,0.4451408329769037
