sample_index,reaction_identifier,model,loss_function,hessian_method,reaction_delta_zpe_eV,dft_reaction_delta_zpe_eV,absolute_reaction_delta_zpe_error_eV
0,rxn2091,HIP,MSE,Direct prediction,-0.1309690484138375,-0.13463587327964,0.0036668248658024
0,rxn2091,HIP,MAE,Direct prediction,-0.134771478297595,-0.13463587327964,0.000135605017955
0,rxn2091,HIP,MAE+Sub,Direct prediction,-0.1353542884095979,-0.13463587327964,0.0007184151299579
1,rxn2092,HIP,MSE,Direct prediction,-0.3136330259170889,-0.3086587867764808,0.0049742391406081
1,rxn2092,HIP,MAE,Direct prediction,-0.3127373407204227,-0.3086587867764808,0.0040785539439418
1,rxn2092,HIP,MAE+Sub,Direct prediction,-0.3135804615960125,-0.3086587867764808,0.0049216748195316
2,rxn2093,HIP,MSE,Direct prediction,-0.1216640007847706,-0.1195792335545671,0.0020847672302035
2,rxn2093,HIP,MAE,Direct prediction,-0.121001844308523,-0.1195792335545671,0.0014226107539558
2,rxn2093,HIP,MAE+Sub,Direct prediction,-0.1230523272629782,-0.1195792335545671,0.003473093708411
3,rxn2545,HIP,MSE,Direct prediction,-0.228790209682129,-0.2275980157676671,0.0011921939144619
3,rxn2545,HIP,MAE,Direct prediction,-0.230961445040867,-0.2275980157676671,0.0033634292731998
3,rxn2545,HIP,MAE+Sub,Direct prediction,-0.2301667821098643,-0.2275980157676671,0.0025687663421971
4,rxn2546,HIP,MSE,Direct prediction,-0.1094431714733206,-0.1097441454621459,0.0003009739888253
4,rxn2546,HIP,MAE,Direct prediction,-0.1082356946720062,-0.1097441454621459,0.0015084507901397
4,rxn2546,HIP,MAE+Sub,Direct prediction,-0.1087267406150018,-0.1097441454621459,0.001017404847144
5,rxn2547,HIP,MSE,Direct prediction,-0.1214899739761012,-0.1225368322793454,0.0010468583032441
5,rxn2547,HIP,MAE,Direct prediction,-0.1232591017986763,-0.1225368322793454,0.0007222695193309
5,rxn2547,HIP,MAE+Sub,Direct prediction,-0.1225288262388406,-0.1225368322793454,8.00604050477105e-06
6,rxn3121,HIP,MSE,Direct prediction,-0.1077789466257976,-0.107486198596381,0.0002927480294165
6,rxn3121,HIP,MAE,Direct prediction,-0.1071271019056225,-0.107486198596381,0.0003590966907585
6,rxn3121,HIP,MAE+Sub,Direct prediction,-0.1075925050343149,-0.107486198596381,0.0001063064379338
7,rxn3122,HIP,MSE,Direct prediction,-0.1345816324010227,-0.1381432240108093,0.0035615916097866
7,rxn3122,HIP,MAE,Direct prediction,-0.1384181849697148,-0.1381432240108093,0.0002749609589054
7,rxn3122,HIP,MAE+Sub,Direct prediction,-0.136860770552315,-0.1381432240108093,0.0012824534584943
8,rxn3123,HIP,MSE,Direct prediction,-0.1278570799904081,-0.1287924321327604,0.0009353521423522
8,rxn3123,HIP,MAE,Direct prediction,-0.1272291460414285,-0.1287924321327604,0.0015632860913319
8,rxn3123,HIP,MAE+Sub,Direct prediction,-0.1283615698762767,-0.1287924321327604,0.0004308622564836
9,rxn3124,HIP,MSE,Direct prediction,-0.0963829415367314,-0.0981424302080211,0.0017594886712897
