model,loss_function,hessian_method,sample_index,number_of_atoms,dft_negative_mode_count,predicted_negative_mode_count,exact_negative_mode_count_match,dft_stationary_point_class,predicted_stationary_point_class,three_class_match,dft_is_first_order_transition_state,predicted_is_first_order_transition_state
HIP,MSE,Direct prediction,0,16,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,1,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,2,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,3,18,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,4,16,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,5,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,6,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,7,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,8,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,9,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,10,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,11,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,12,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,13,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,14,10,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,15,18,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,16,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,17,10,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,18,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,19,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,20,15,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,21,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,22,15,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,23,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,24,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,25,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,26,14,0,1,False,Minimum,Transition state,False,False,True
