model,loss_function,reaction_identifier,gsm_converged,rfo_converged,transition_state_success,rfo_converged_and_transition_state_success
HIP,MSE,rxn9,True,True,True,True
HIP,MSE,rxn26,True,True,True,True
HIP,MSE,rxn31,True,True,True,True
HIP,MSE,rxn39,True,True,True,True
HIP,MSE,rxn53,True,False,False,False
HIP,MSE,rxn57,True,True,True,True
HIP,MSE,rxn59,True,True,True,True
HIP,MSE,rxn61,True,True,True,True
HIP,MSE,rxn64,True,True,True,True
HIP,MSE,rxn66,True,True,True,True
HIP,MSE,rxn72,True,True,True,True
HIP,MSE,rxn74,True,True,True,True
HIP,MSE,rxn78,True,True,True,True
HIP,MSE,rxn79,True,True,True,True
HIP,MSE,rxn102,True,True,True,True
HIP,MSE,rxn123,True,True,True,True
HIP,MSE,rxn124,True,True,True,True
HIP,MSE,rxn143,True,True,True,True
HIP,MSE,rxn144,True,False,True,False
HIP,MSE,rxn148,True,True,True,True
HIP,MSE,rxn160,True,True,True,True
HIP,MSE,rxn164,True,False,True,False
HIP,MSE,rxn165,False,False,False,False
HIP,MSE,rxn170,True,True,True,True
HIP,MSE,rxn196,False,False,False,False
HIP,MSE,rxn199,True,True,True,True
HIP,MSE,rxn207,False,False,False,False
HIP,MSE,rxn209,False,False,False,False
HIP,MSE,rxn220,True,True,True,True
HIP,MSE,rxn233,True,True,True,True
HIP,MSE,rxn235,True,True,True,True
HIP,MSE,rxn263,True,True,True,True
HIP,MSE,rxn282,True,False,False,False
HIP,MSE,rxn288,True,True,True,True
HIP,MSE,rxn293,True,False,False,False
HIP,MSE,rxn296,True,True,True,True
HIP,MSE,rxn298,False,False,False,False
HIP,MSE,rxn313,True,False,False,False
HIP,MSE,rxn320,True,False,False,False
HIP,MSE,rxn326,True,True,True,True
HIP,MSE,rxn333,True,True,True,True
HIP,MSE,rxn336,True,True,True,True
HIP,MSE,rxn346,True,False,False,False
HIP,MSE,rxn348,False,False,False,False
HIP,MSE,rxn356,True,True,True,True
HIP,MSE,rxn388,True,True,True,True
HIP,MSE,rxn397,True,True,True,True
HIP,MSE,rxn398,True,True,True,True
HIP,MSE,rxn403,True,True,True,True
HIP,MSE,rxn408,True,True,True,True
HIP,MSE,rxn411,True,True,True,True
HIP,MSE,rxn416,True,True,True,True
HIP,MSE,rxn417,True,True,True,True
HIP,MSE,rxn432,True,True,True,True
HIP,MSE,rxn436,True,True,True,True
HIP,MSE,rxn442,False,False,False,False
HIP,MSE,rxn447,True,True,True,True
HIP,MSE,rxn459,True,True,True,True
HIP,MSE,rxn464,True,True,True,True
HIP,MSE,rxn475,True,False,False,False
HIP,MSE,rxn479,True,False,False,False
HIP,MSE,rxn487,True,True,True,True
HIP,MSE,rxn511,True,False,False,False
HIP,MSE,rxn522,True,True,True,True
HIP,MSE,rxn526,True,True,True,True
HIP,MSE,rxn532,True,True,True,True
HIP,MSE,rxn541,True,False,False,False
HIP,MSE,rxn548,True,True,True,True
HIP,MSE,rxn575,True,True,True,True
HIP,MSE,rxn591,True,False,False,False
HIP,MSE,rxn593,False,False,False,False
HIP,MSE,rxn596,True,False,False,False
HIP,MSE,rxn600,True,True,True,True
HIP,MSE,rxn602,True,True,True,True
HIP,MSE,rxn604,True,True,True,True
HIP,MSE,rxn618,True,False,True,False
HIP,MSE,rxn662,True,True,True,True
HIP,MSE,rxn670,True,True,True,True
HIP,MSE,rxn677,True,True,True,True
HIP,MSE,rxn678,True,True,True,True
HIP,MSE,rxn697,True,True,True,True
HIP,MSE,rxn707,True,True,True,True
HIP,MSE,rxn720,True,True,True,True
HIP,MSE,rxn760,True,False,True,False
HIP,MSE,rxn780,True,True,True,True
HIP,MSE,rxn792,True,True,True,True
HIP,MSE,rxn793,True,True,True,True
HIP,MSE,rxn811,True,True,True,True
HIP,MSE,rxn843,True,True,True,True
HIP,MSE,rxn846,True,True,True,True
HIP,MSE,rxn867,True,True,True,True
HIP,MSE,rxn873,True,False,False,False
HIP,MSE,rxn874,True,False,False,False
HIP,MSE,rxn900,True,True,True,True
HIP,MSE,rxn914,True,True,True,True
HIP,MSE,rxn935,True,True,True,True
HIP,MSE,rxn942,True,True,True,True
HIP,MSE,rxn956,True,False,True,False
HIP,MSE,rxn957,True,True,True,True
HIP,MSE,rxn958,True,False,False,False
HIP,MSE,rxn966,False,False,False,False
HIP,MSE,rxn969,True,True,True,True
HIP,MSE,rxn981,False,False,False,False
HIP,MSE,rxn1024,True,True,True,True
HIP,MSE,rxn1041,True,True,True,True
HIP,MSE,rxn1047,True,False,False,False
HIP,MSE,rxn1048,False,False,False,False
HIP,MSE,rxn1050,True,True,True,True
HIP,MSE,rxn1058,True,True,True,True
HIP,MSE,rxn1076,True,True,True,True
HIP,MSE,rxn1077,True,False,False,False
HIP,MSE,rxn1079,True,True,True,True
HIP,MSE,rxn1081,True,True,True,True
HIP,MSE,rxn1086,True,False,True,False
HIP,MSE,rxn1148,False,False,False,False
HIP,MSE,rxn1175,False,False,False,False
HIP,MSE,rxn1185,True,False,False,False
HIP,MSE,rxn1204,True,True,True,True
HIP,MSE,rxn1208,True,True,True,True
HIP,MSE,rxn1214,True,True,True,True
HIP,MSE,rxn1216,True,True,True,True
HIP,MSE,rxn1218,True,True,True,True
HIP,MSE,rxn1220,True,True,True,True
