sample_index,reaction_identifier,geometry,model,loss_function,hessian_method,zpe_eV,dft_zpe_eV,absolute_zpe_error_eV
0,rxn2091,reactant,HIP,MSE,Direct prediction,1.298866417954018,1.2988299688650224,3.644908899547161e-05
0,rxn2091,product,HIP,MSE,Direct prediction,1.1678973695401804,1.1641940955853824,0.00370327395479797
0,rxn2091,reactant,HIP,MAE,Direct prediction,1.298865687605235,1.2988299688650224,3.5718740212464795e-05
0,rxn2091,product,HIP,MAE,Direct prediction,1.1640942093076398,1.1641940955853824,9.988627774260017e-05
0,rxn2091,reactant,HIP,MAE+Sub,Direct prediction,1.2993910261912776,1.2988299688650224,0.00056105732625511
0,rxn2091,product,HIP,MAE+Sub,Direct prediction,1.1640367377816796,1.1641940955853824,0.00015735780370285113
1,rxn2092,reactant,HIP,MSE,Direct prediction,1.2988538089492083,1.2988299683358475,2.3840613360803786e-05
1,rxn2092,product,HIP,MSE,Direct prediction,0.9852207830321196,0.9901711815593668,0.004950398527247213
1,rxn2092,reactant,HIP,MAE,Direct prediction,1.2988622768597573,1.2988299683358475,3.2308523909785336e-05
1,rxn2092,product,HIP,MAE,Direct prediction,0.9861249361393346,0.9901711815593668,0.00404624542003218
1,rxn2092,reactant,HIP,MAE+Sub,Direct prediction,1.2993253501302706,1.2988299683358475,0.0004953817944230998
1,rxn2092,product,HIP,MAE+Sub,Direct prediction,0.985744888534258,0.9901711815593668,0.004426293025108774
2,rxn2093,reactant,HIP,MSE,Direct prediction,1.298852739473479,1.2988299688650224,2.2770608456568198e-05
2,rxn2093,product,HIP,MSE,Direct prediction,1.1771887386887083,1.179250735310455,0.0020619966217467756
2,rxn2093,reactant,HIP,MAE,Direct prediction,1.298870919215231,1.2988299688650224,4.095035020856841e-05
2,rxn2093,product,HIP,MAE,Direct prediction,1.177869074906708,1.179250735310455,0.001381660403747098
2,rxn2093,reactant,HIP,MAE+Sub,Direct prediction,1.299414441495533,1.2988299688650224,0.0005844726305106462
2,rxn2093,product,HIP,MAE+Sub,Direct prediction,1.1763621142325549,1.179250735310455,0.002888621077900222
3,rxn2545,reactant,HIP,MSE,Direct prediction,1.285021434983738,1.2850064122454952,1.5022738242942424e-05
3,rxn2545,product,HIP,MSE,Direct prediction,1.056231225301609,1.057408396477828,0.0011771711762189607
3,rxn2545,reactant,HIP,MAE,Direct prediction,1.2850649251248394,1.2850064122454952,5.8512879344219115e-05
3,rxn2545,product,HIP,MAE,Direct prediction,1.0541034800839724,1.057408396477828,0.0033049163938556614
3,rxn2545,reactant,HIP,MAE+Sub,Direct prediction,1.284810762581723,1.2850064122454952,0.00019564966377205728
3,rxn2545,product,HIP,MAE+Sub,Direct prediction,1.054643980471859,1.057408396477828,0.002764416005968995
4,rxn2546,reactant,HIP,MSE,Direct prediction,1.2850304194209188,1.2850064122663805,2.4007154538319142e-05
4,rxn2546,product,HIP,MSE,Direct prediction,1.1755872479475982,1.1752622668042343,0.0003249811433638783
4,rxn2546,reactant,HIP,MAE,Direct prediction,1.2850716185999034,1.2850064122663805,6.520633352291583e-05
4,rxn2546,product,HIP,MAE,Direct prediction,1.1768359239278972,1.1752622668042343,0.0015736571236628638
4,rxn2546,reactant,HIP,MAE+Sub,Direct prediction,1.284808840264166,1.2850064122663805,0.00019757200221448556
4,rxn2546,product,HIP,MAE+Sub,Direct prediction,1.176082099649164,1.1752622668042343,0.0008198328449298131
5,rxn2547,reactant,HIP,MSE,Direct prediction,1.285033751358799,1.2850064122454952,2.733911330388139e-05
5,rxn2547,product,HIP,MSE,Direct prediction,1.1635437773826978,1.1624695799661495,0.0010741974165482393
5,rxn2547,reactant,HIP,MAE,Direct prediction,1.285075364936723,1.2850064122454952,6.895269122786374e-05
5,rxn2547,product,HIP,MAE,Direct prediction,1.1618162631380466,1.1624695799661495,0.0006533168281028789
5,rxn2547,reactant,HIP,MAE+Sub,Direct prediction,1.2848077294293332,1.2850064122454952,0.00019868281616197692
5,rxn2547,product,HIP,MAE+Sub,Direct prediction,1.1622789031904923,1.1624695799661495,0.00019067677565720587
6,rxn3121,reactant,HIP,MSE,Direct prediction,1.304181279640553,1.3042512951010363,7.00154604833525e-05
6,rxn3121,product,HIP,MSE,Direct prediction,1.1964023330147553,1.1967650965046557,0.0003627634899003862
6,rxn3121,reactant,HIP,MAE,Direct prediction,1.3042090801548476,1.3042512951010363,4.2214946188723346e-05
6,rxn3121,product,HIP,MAE,Direct prediction,1.197081978249225,1.1967650965046557,0.0003168817445693417
6,rxn3121,reactant,HIP,MAE+Sub,Direct prediction,1.3044326234792043,1.3042512951010363,0.00018132837816797753
6,rxn3121,product,HIP,MAE+Sub,Direct prediction,1.1968401184448896,1.1967650965046557,7.502194023389919e-05
7,rxn3122,reactant,HIP,MSE,Direct prediction,1.304175798605644,1.3042512950797138,7.549647406990267e-05
7,rxn3122,product,HIP,MSE,Direct prediction,1.1695941662046214,1.1661080710689045,0.00348609513571696
7,rxn3122,reactant,HIP,MAE,Direct prediction,1.3042154623282796,1.3042512950797138,3.583275143426157e-05
7,rxn3122,product,HIP,MAE,Direct prediction,1.1657972773585648,1.1661080710689045,0.0003107937103397074
7,rxn3122,reactant,HIP,MAE+Sub,Direct prediction,1.304422848681243,1.3042512950797138,0.0001715536015292063
7,rxn3122,product,HIP,MAE+Sub,Direct prediction,1.167562078128928,1.1661080710689045,0.001454007060023521
8,rxn3123,reactant,HIP,MSE,Direct prediction,1.3041863183432278,1.3042512950797138,6.497673648597768e-05
8,rxn3123,product,HIP,MSE,Direct prediction,1.1763292383528197,1.1754588629469531,0.0008703754058665414
8,rxn3123,reactant,HIP,MAE,Direct prediction,1.3042218225249242,1.3042512950797138,2.9472554789577998e-05
8,rxn3123,product,HIP,MAE,Direct prediction,1.1769926764834957,1.1754588629469531,0.0015338135365425831
8,rxn3123,reactant,HIP,MAE+Sub,Direct prediction,1.3044358723389615,1.3042512950797138,0.00018457725924769797
8,rxn3123,product,HIP,MAE+Sub,Direct prediction,1.1760743024626847,1.1754588629469531,0.0006154395157316195
9,rxn3124,reactant,HIP,MSE,Direct prediction,1.3041874484284683,1.3042512950797138,6.38466512454805e-05
9,rxn3124,product,HIP,MSE,Direct prediction,1.207804506891737,1.2061088648716929,0.0016956420200440192
9,rxn3124,reactant,HIP,MAE,Direct prediction,1.3042101153360253,1.3042512950797138,4.117974368855748e-05
9,rxn3124,product,HIP,MAE,Direct prediction,1.206237804233616,1.2061088648716929,0.00012893936192304167
9,rxn3124,reactant,HIP,MAE+Sub,Direct prediction,1.3044102408100446,1.3042512950797138,0.00015894573033081727
9,rxn3124,product,HIP,MAE+Sub,Direct prediction,1.2055747514864543,1.2061088648716929,0.000534113385238566
