sample_idx,natoms,time,memory,energy_error,energy_error_per_atom,forces_error,hessian_error,asymmetry_error,true_asymmetry_error,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,2224.333984375,1366.513152,12656.5576171875,421.8852844238281,0.46343693137168884,0.7375755906105042,0.28482022881507874,5.288182819640497e-06,14.507804870605469,8,0,0,0,1,10,0,0,0,1,0,"tensor(6.3675, dtype=torch.float64)","tensor(1.4797, dtype=torch.float64)","tensor(1.3996, dtype=torch.float64)","tensor(0.1205, dtype=torch.float64)","tensor(0.0156, dtype=torch.float64)",1071.7356723616751,
1,22,1324.015625,1551.170048,10946.29296875,497.55877685546875,0.37400639057159424,0.7416924834251404,0.44943538308143616,2.7629250325844623e-05,9.18032169342041,3,0,0,0,1,6,0,0,0,1,0,"tensor(3.6611, dtype=torch.float64)","tensor(0.5999, dtype=torch.float64)","tensor(0.8040, dtype=torch.float64)","tensor(0.1644, dtype=torch.float64)","tensor(0.0334, dtype=torch.float64)",928.6018821476321,
2,17,733.3191528320312,1216.46848,8364.216796875,492.01275634765625,0.38152822852134705,0.8840937614440918,0.49107956886291504,4.8154412070289254e-05,7.4464592933654785,3,0,0,0,1,3,0,0,0,1,1,"tensor(3.2500, dtype=torch.float64)","tensor(0.2987, dtype=torch.float64)","tensor(0.0338, dtype=torch.float64)","tensor(0.6550, dtype=torch.float64)","tensor(0.1883, dtype=torch.float64)",306.2027516055293,
3,26,1649.310546875,1297.71008,11012.4052734375,423.5540771484375,0.3799823522567749,0.8287372589111328,0.3760721683502197,1.6137091733980924e-05,14.310246467590332,8,0,0,0,1,8,0,0,0,1,1,"tensor(5.9598, dtype=torch.float64)","tensor(2.2707, dtype=torch.float64)","tensor(0.2291, dtype=torch.float64)","tensor(0.0018, dtype=torch.float64)","tensor(0.2132, dtype=torch.float64)",355.97662205636453,
4,17,747.5435791015625,1245.053952,12437.4462890625,731.614501953125,0.8882431387901306,1.2352911233901978,0.7297942638397217,6.393260264303535e-05,11.435548782348633,2,0,0,1,0,6,0,0,0,1,0,"tensor(4.6371, dtype=torch.float64)","tensor(0.6842, dtype=torch.float64)","tensor(0.5171, dtype=torch.float64)","tensor(0.4711, dtype=torch.float64)","tensor(0.1175, dtype=torch.float64)",804.5616054932234,
5,19,921.5150146484375,1107.63008,8401.0576171875,442.1609191894531,0.6411092877388,1.0378869771957397,0.6098688840866089,5.4573207307839766e-05,10.970264434814453,5,0,0,0,1,7,0,0,0,1,0,"tensor(4.9502, dtype=torch.float64)","tensor(0.1944, dtype=torch.float64)","tensor(0.3663, dtype=torch.float64)","tensor(0.8432, dtype=torch.float64)","tensor(0.1114, dtype=torch.float64)",680.0978089653539,
6,19,905.6041259765625,1165.073408,9322.4716796875,490.6564025878906,0.570105791091919,1.050022840499878,0.47631505131721497,9.040585609909613e-06,13.080821990966797,4,0,0,0,1,6,0,0,0,1,0,"tensor(5.8103, dtype=torch.float64)","tensor(1.1283, dtype=torch.float64)","tensor(0.4849, dtype=torch.float64)","tensor(0.1695, dtype=torch.float64)","tensor(0.0299, dtype=torch.float64)",1880.0262766825745,
7,18,798.7537841796875,1122.457088,10315.751953125,573.0973510742188,0.6980061531066895,1.2122077941894531,0.561410129070282,2.0224943000357598e-05,11.877479553222656,3,0,0,0,1,7,0,0,0,1,0,"tensor(5.2095, dtype=torch.float64)","tensor(1.1443, dtype=torch.float64)","tensor(0.2274, dtype=torch.float64)","tensor(0.3263, dtype=torch.float64)","tensor(0.2448, dtype=torch.float64)",1700.026783707433,
8,18,791.604248046875,1084.54144,11973.8173828125,665.2120971679688,0.6303199529647827,1.2718613147735596,0.7753039002418518,3.451583324931562e-05,11.558958053588867,3,0,0,0,1,4,0,0,0,1,0,"tensor(3.7819, dtype=torch.float64)","tensor(0.2813, dtype=torch.float64)","tensor(0.0200, dtype=torch.float64)","tensor(0.0219, dtype=torch.float64)","tensor(0.0530, dtype=torch.float64)",271.41580039390993,
9,17,683.378662109375,1049.965056,8471.7265625,498.33685302734375,0.48702794313430786,1.0787376165390015,0.5463252067565918,2.4979570298455656e-05,11.159412384033203,3,0,0,0,1,8,0,0,0,1,0,"tensor(4.4982, dtype=torch.float64)","tensor(0.4791, dtype=torch.float64)","tensor(0.4494, dtype=torch.float64)","tensor(0.3218, dtype=torch.float64)","tensor(0.0034, dtype=torch.float64)",2653.7751480961406,
