sample_idx,natoms,time,memory,energy_error,energy_error_per_atom,forces_error,hessian_error,asymmetry_error,true_asymmetry_error,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,2223.230712890625,1366.493184,12626.4541015625,420.8818359375,0.37812891602516174,1.166463851928711,1.303331971168518,5.288182819640497e-06,14.131998062133789,8,0,0,0,1,22,0,0,0,1,0,"tensor(4.2189, dtype=torch.float64)","tensor(3.3856, dtype=torch.float64)","tensor(4.7253, dtype=torch.float64)","tensor(0.8798, dtype=torch.float64)","tensor(0.0579, dtype=torch.float64)",,
1,22,1374.1605224609375,1551.15008,10926.14453125,496.6429443359375,0.39507952332496643,1.2626826763153076,1.5559197664260864,2.7629250325844623e-05,6.622834205627441,3,0,0,0,1,8,0,0,0,1,0,"tensor(2.6295, dtype=torch.float64)","tensor(0.0775, dtype=torch.float64)","tensor(0.3857, dtype=torch.float64)","tensor(0.7460, dtype=torch.float64)","tensor(0.0527, dtype=torch.float64)",2155.0227630288405,
2,17,766.7015380859375,1216.448512,8346.8193359375,490.9893798828125,0.3793644905090332,1.6547579765319824,2.0354976654052734,4.8154412070289254e-05,7.7288079261779785,3,0,0,0,1,8,0,0,0,1,0,"tensor(2.7518, dtype=torch.float64)","tensor(0.7107, dtype=torch.float64)","tensor(0.6883, dtype=torch.float64)","tensor(0.6862, dtype=torch.float64)","tensor(0.5872, dtype=torch.float64)",2995.9745793399893,
3,26,1643.0888671875,1297.690112,10983.986328125,422.4610290527344,0.2114318460226059,1.2652802467346191,1.3581323623657227,1.6137091733980924e-05,13.795653343200684,8,0,0,0,1,18,0,0,0,1,0,"tensor(4.0024, dtype=torch.float64)","tensor(0.6756, dtype=torch.float64)","tensor(1.7546, dtype=torch.float64)","tensor(0.8279, dtype=torch.float64)","tensor(0.3910, dtype=torch.float64)",,
4,17,754.4971923828125,1245.033984,12408.818359375,729.9304809570312,0.38268521428108215,1.6473466157913208,1.821455717086792,6.393260264303535e-05,7.9462690353393555,2,0,0,1,0,8,0,0,0,1,0,"tensor(2.8793, dtype=torch.float64)","tensor(0.2856, dtype=torch.float64)","tensor(0.2548, dtype=torch.float64)","tensor(0.3018, dtype=torch.float64)","tensor(0.1454, dtype=torch.float64)",2483.4133543701723,
5,19,909.5454711914062,1107.610112,8374.4111328125,440.75848388671875,0.3728537857532501,1.4094738960266113,1.683257818222046,5.4573207307839766e-05,7.392142295837402,5,0,0,0,1,8,0,0,0,1,0,"tensor(2.9805, dtype=torch.float64)","tensor(1.2891, dtype=torch.float64)","tensor(0.4867, dtype=torch.float64)","tensor(0.8377, dtype=torch.float64)","tensor(0.0563, dtype=torch.float64)",2357.0565114133265,
6,19,907.9398193359375,1165.05344,9294.6376953125,489.19146728515625,0.3537690043449402,1.8334254026412964,1.9161056280136108,9.040585609909613e-06,14.188467025756836,4,0,0,0,1,14,0,0,0,1,0,"tensor(4.7726, dtype=torch.float64)","tensor(2.1018, dtype=torch.float64)","tensor(1.6842, dtype=torch.float64)","tensor(0.1017, dtype=torch.float64)","tensor(0.0725, dtype=torch.float64)",,
7,18,791.8377075195312,1122.43712,10282.890625,571.271728515625,0.4469362795352936,1.6824570894241333,1.6156407594680786,2.0224943000357598e-05,10.11528491973877,3,0,0,0,1,9,0,0,0,1,0,"tensor(3.7256, dtype=torch.float64)","tensor(0.1912, dtype=torch.float64)","tensor(0.2773, dtype=torch.float64)","tensor(0.7768, dtype=torch.float64)","tensor(0.0568, dtype=torch.float64)",,
8,18,788.8025512695312,1084.521472,11951.4150390625,663.967529296875,0.298239529132843,1.3526880741119385,1.303923487663269,3.451583324931562e-05,9.236169815063477,3,0,0,0,1,8,0,0,0,1,0,"tensor(2.7704, dtype=torch.float64)","tensor(0.0397, dtype=torch.float64)","tensor(0.0300, dtype=torch.float64)","tensor(0.0771, dtype=torch.float64)","tensor(0.4533, dtype=torch.float64)",2095.28732101531,
9,17,676.7103271484375,1049.945088,8451.7744140625,497.1632080078125,0.3796106278896332,1.4780960083007812,1.631648063659668,2.4979570298455656e-05,7.333323955535889,3,0,0,0,1,10,0,0,0,1,0,"tensor(2.7264, dtype=torch.float64)","tensor(1.2193, dtype=torch.float64)","tensor(0.8412, dtype=torch.float64)","tensor(0.5543, dtype=torch.float64)","tensor(0.0305, dtype=torch.float64)",,
10,18,836.375244140625,1084.566016,8921.6806640625,495.64892578125,0.2918318808078766,1.4767810106277466,1.4932807683944702,1.6238285752478987e-05,9.022956848144531,3,0,0,0,1,10,0,0,0,1,0,"tensor(2.9398, dtype=torch.float64)","tensor(0.7509, dtype=torch.float64)","tensor(0.4413, dtype=torch.float64)","tensor(0.1478, dtype=torch.float64)","tensor(0.1867, dtype=torch.float64)",,
11,16,626.042724609375,1042.076672,12385.380859375,774.0863037109375,0.4067166745662689,2.1770436763763428,2.23293399810791,0.00015020983119029552,10.485126495361328,3,0,0,0,1,8,0,0,0,1,0,"tensor(3.9565, dtype=torch.float64)","tensor(3.6263, dtype=torch.float64)","tensor(0.6106, dtype=torch.float64)","tensor(0.9115, dtype=torch.float64)","tensor(0.1430, dtype=torch.float64)",2574.3635386159335,
12,14,568.326171875,908.137984,9762.240234375,697.3029174804688,0.4399801194667816,7.722008228302002,11.852984428405762,6.798732647439465e-05,18.444595336914062,2,0,0,1,0,10,0,0,0,1,0,"tensor(6.8159, dtype=torch.float64)","tensor(42.7912, dtype=torch.float64)","tensor(2.7149, dtype=torch.float64)","tensor(0.5374, dtype=torch.float64)","tensor(0.1689, dtype=torch.float64)",,
13,12,484.0611877441406,786.484736,8262.1650390625,688.5137939453125,0.32480114698410034,1.3830021619796753,1.1448999643325806,4.218440517433919e-05,7.908579349517822,3,0,0,0,1,6,0,0,0,1,0,"tensor(2.6026, dtype=torch.float64)","tensor(0.8667, dtype=torch.float64)","tensor(0.0752, dtype=torch.float64)","tensor(0.0230, dtype=torch.float64)","tensor(0.3401, dtype=torch.float64)",2653.263098250666,
14,21,1151.8597412109375,1037.789184,10444.7998046875,497.3714294433594,0.3967263102531433,1.6322033405303955,2.023577928543091,8.61528951645596e-06,8.554007530212402,2,0,0,1,0,11,0,0,0,1,0,"tensor(3.0833, dtype=torch.float64)","tensor(2.4718, dtype=torch.float64)","tensor(0.8801, dtype=torch.float64)","tensor(0.0478, dtype=torch.float64)","tensor(0.0944, dtype=torch.float64)",,
15,17,666.89501953125,1117.135872,11747.939453125,691.0552368164062,0.42886629700660706,2.446768283843994,2.366915702819824,5.1103110308758914e-05,16.46408462524414,4,0,0,0,1,12,0,0,0,1,0,"tensor(4.5590, dtype=torch.float64)","tensor(2.0950, dtype=torch.float64)","tensor(1.5241, dtype=torch.float64)","tensor(0.1240, dtype=torch.float64)","tensor(0.0670, dtype=torch.float64)",,
16,20,946.3019409179688,1079.649792,12914.0,645.7000122070312,0.5514588356018066,1.5144273042678833,1.839475154876709,2.2850521418149583e-05,7.222588062286377,6,0,0,0,1,13,0,0,0,1,0,"tensor(3.5927, dtype=torch.float64)","tensor(8.0231, dtype=torch.float64)","tensor(0.5581, dtype=torch.float64)","tensor(0.3537, dtype=torch.float64)","tensor(0.3636, dtype=torch.float64)",,
17,27,1762.1513671875,1378.320896,12024.4326171875,445.349365234375,0.34756889939308167,1.1404412984848022,1.329400897026062,9.08245419850573e-06,9.32649040222168,5,0,0,0,1,18,0,0,0,1,0,"tensor(3.0954, dtype=torch.float64)","tensor(0.7887, dtype=torch.float64)","tensor(0.8244, dtype=torch.float64)","tensor(0.0447, dtype=torch.float64)","tensor(0.4424, dtype=torch.float64)",,
18,23,1402.2266845703125,1479.950848,11492.3095703125,499.6656494140625,0.3135557472705841,1.2349894046783447,1.4661086797714233,1.2137914382037707e-05,6.731502056121826,5,0,0,0,1,9,0,0,0,1,0,"tensor(3.3112, dtype=torch.float64)","tensor(1.4252, dtype=torch.float64)","tensor(0.4045, dtype=torch.float64)","tensor(0.7393, dtype=torch.float64)","tensor(0.3173, dtype=torch.float64)",2712.317917153499,
19,22,1218.6112060546875,1357.63456,14509.55859375,659.525390625,0.4042748510837555,1.471969723701477,1.5435491800308228,3.070354796363972e-05,11.474968910217285,3,0,0,0,1,12,0,0,0,1,0,"tensor(3.0909, dtype=torch.float64)","tensor(0.9946, dtype=torch.float64)","tensor(0.9340, dtype=torch.float64)","tensor(0.0977, dtype=torch.float64)","tensor(0.0037, dtype=torch.float64)",3010.3588836934555,
20,18,864.8850708007812,1209.618944,8816.3603515625,489.79779052734375,0.3810947835445404,1.628592610359192,1.973808765411377,1.572149085404817e-05,7.579745769500732,2,0,0,1,0,8,0,0,0,1,0,"tensor(3.3488, dtype=torch.float64)","tensor(0.7033, dtype=torch.float64)","tensor(0.5917, dtype=torch.float64)","tensor(0.1203, dtype=torch.float64)","tensor(0.1222, dtype=torch.float64)",3318.8616900466213,
21,16,633.8262939453125,1038.53056,9916.765625,619.7978515625,0.5173327326774597,1.5397003889083862,1.9322395324707031,0.0001493035233579576,6.201568126678467,6,0,0,0,1,9,0,0,0,1,0,"tensor(2.4634, dtype=torch.float64)","tensor(1.7467, dtype=torch.float64)","tensor(0.6182, dtype=torch.float64)","tensor(0.1974, dtype=torch.float64)","tensor(0.0335, dtype=torch.float64)",2598.205567491251,
22,14,552.2749633789062,903.279616,12885.7978515625,920.4141845703125,0.42018941044807434,1.8522074222564697,1.6378066539764404,7.61206028982997e-05,10.06075668334961,0,1,0,0,0,5,0,0,0,1,0,"tensor(2.3722, dtype=torch.float64)","tensor(0.1142, dtype=torch.float64)","tensor(0.0922, dtype=torch.float64)","tensor(0.2564, dtype=torch.float64)","tensor(0.5276, dtype=torch.float64)",,
