sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,67.21228790283203,575.901184,12607.63671875,420.25457763671875,0.1641952097415924,0.05722340568900108,0.0,5.288182819640497e-06,0.1838686317205429,8,0,0,0,1,9,0,0,0,1,0,0.09456660480845759,0.33187205478432924,0.04703608837087769,0.992978068447828,0.6845735840287596,185.30633237403114,
1,22,97.06700897216797,471.323136,10897.5673828125,495.343994140625,0.07853550463914871,0.06211864948272705,0.0,2.7629250325844623e-05,0.1394105702638626,3,0,0,0,1,3,0,0,0,1,1,0.03753996937792547,0.17913010467722668,0.013189819729024277,0.9916608313250835,0.9901583239412499,109.64469480922749,
2,17,55.420928955078125,420.23424,8323.0751953125,489.5926513671875,0.052789606153964996,0.05585369095206261,0.0,4.8154412070289254e-05,0.09920698404312134,3,0,0,0,1,4,0,0,0,1,0,0.03586515049850451,0.032693326290670344,0.006955144467243657,0.9877842261060193,0.7967344078755922,54.501445697503684,
3,26,65.75849914550781,518.880768,10964.607421875,421.7156982421875,0.03316285088658333,0.025853656232357025,0.0,1.6137091733980924e-05,0.06638375669717789,8,0,0,0,1,8,0,0,0,1,1,0.038153958593691,0.2675797142293641,0.009493298275537548,0.9984806318410613,0.8583612316325939,189.8130646276329,
4,17,62.844993591308594,420.261376,12381.9931640625,728.3525390625,0.03149225190281868,0.049229275435209274,0.0,6.393260264303535e-05,0.10650130361318588,2,0,0,1,0,2,0,0,1,0,1,0.03481975549296294,0.02818683670391725,0.04790626819232782,0.0932750003044031,0.07880060360996585,105.63152418282121,
5,19,53.89823913574219,439.655936,8356.5478515625,439.81829833984375,0.05445694550871849,0.061267729848623276,0.0,5.4573207307839766e-05,0.162952721118927,5,0,0,0,1,5,0,0,0,1,1,0.04483669010209211,0.10998621477127313,0.05724018341781678,0.9969320765610378,0.9931722226284345,213.8901413380552,
6,19,46.96403121948242,439.666176,9263.6015625,487.5579833984375,0.03928626328706741,0.0384715311229229,0.0,9.040585609909613e-06,0.09089510142803192,4,0,0,0,1,3,0,0,0,1,0,0.04878341787997687,0.03617598003362561,0.011086224330605791,0.9748112327428691,0.670968409916199,191.61218443521074,
7,18,46.860286712646484,427.698176,10265.7041015625,570.31689453125,0.06835401803255081,0.06041151285171509,0.0,2.0224943000357598e-05,0.11680355668067932,3,0,0,0,1,3,0,0,0,1,1,0.047844039803972414,0.012090681444893558,0.07894901568728913,0.9899856258774147,0.9369190051867193,88.5001633785828,
8,18,46.283775329589844,427.692032,11945.1962890625,663.6220092773438,0.021604696288704872,0.03452853485941887,0.0,3.451583324931562e-05,0.0713733360171318,3,0,0,0,1,3,0,0,0,1,1,0.019857272826018877,0.023691574469918597,0.00491459443556716,0.9563573377052283,0.9548111777826932,60.91632192568119,
9,17,44.34022521972656,420.209152,8426.5,495.6764831542969,0.09538905322551727,0.09731827676296234,0.0,2.4979570298455656e-05,0.19665680825710297,3,0,0,0,1,4,0,0,0,1,0,0.06050418721390797,0.13012011293951523,0.0954629614874265,0.9506745552247158,0.6826689611190837,258.97087423067086,
