sample_idx,natoms,energy_error,forces_error,hessian_error,hessian_mre,asymmetry_error,true_asymmetry_error,eigval_mae,eigval1_mae,eigval2_mae,eigvec1_mae,eigvec2_mae,eigvec1_cos,eigvec2_cos,time,memory,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_mae_eckart,eigvec2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart
0,30,12605.455078125,0.1899458765983581,0.1303731948137283,38.583683013916016,0.0,5.288182819640497e-06,0.5092710256576538,1.6601552963256836,4.655837535858154,0.041912768036127,0.1143461689352989,0.8646637797355652,0.0646013468503952,53.515262603759766,837.033472,8,0,0,0,1,9,0,0,0,1,0,0.2194,1.0437,0.2051,0.0224,0.1106,0.9604,0.0697
1,22,10896.4248046875,0.0726286992430687,0.0583710186183452,1.852475881576538,0.0,2.7629250325844623e-05,0.1950236558914184,0.58306884765625,0.3128286600112915,0.0164042394608259,0.1600585430860519,0.975446343421936,0.8747915029525757,79.9078369140625,706.559488,3,0,0,0,1,4,0,0,0,1,0,0.0382,0.2011,0.0855,0.1339,0.1652,0.9865,0.9807
2,17,8322.755859375,0.0298865139484405,0.0507796891033649,1.6133750677108765,0.0,4.815441207028925e-05,0.14022296667099,1.6899968385696411,0.0188649892807006,0.1829365789890289,0.1876311302185058,0.950497269630432,0.5875045657157898,56.96428680419922,619.341312,3,0,0,0,1,3,0,0,0,1,1,0.0415,0.1459,0.0147,0.028,0.2074,0.9707,0.931
3,26,10963.13671875,0.0236643142998218,0.0367610566318035,15.259215354919434,0.0,1.6137091733980924e-05,0.1991935819387436,1.409386396408081,0.6318871974945068,0.0119827864691615,0.1193764805793762,0.9889707565307616,0.0822343528270721,54.70320129394531,769.459712,8,0,0,0,1,7,0,0,0,1,0,0.0746,0.8887,0.1962,0.0058,0.1286,0.9979,0.0812
4,17,12381.6494140625,0.0290086381137371,0.0423073656857013,2.79201889038086,0.0,6.393260264303535e-05,0.0922669917345047,0.0162813961505889,0.0340414345264434,0.0790384486317634,0.0762739107012748,0.7128733396530151,0.7291794419288635,56.24505615234375,620.30848,2,0,0,1,0,2,0,0,1,0,1,0.0281,0.044,0.0271,0.0266,0.0315,0.9719,0.9528
5,19,8355.7060546875,0.0491283312439918,0.052152045071125,2.6422438621521,0.0,5.4573207307839766e-05,0.1421642303466797,0.0865864753723144,0.019962191581726,0.0110231041908264,0.1339350640773773,0.9936674237251282,0.9582446813583374,49.849342346191406,650.320384,5,0,0,0,1,5,0,0,0,1,1,0.0314,0.0031,0.0141,0.0099,0.1345,0.9955,0.9969
6,19,9262.7880859375,0.0336624644696712,0.0347494781017303,2.1323742866516118,0.0,9.040585609909613e-06,0.0958640351891517,0.1424314975738525,0.1033311188220977,0.1889724433422088,0.0915336459875106,0.5625767707824707,0.6042616367340088,43.13190460205078,650.94912,4,0,0,0,1,3,0,0,0,1,0,0.0514,0.0587,0.0047,0.0507,0.0656,0.7927,0.7444
7,18,10265.2861328125,0.0395232737064361,0.060338694602251,1.1970584392547607,0.0,2.02249430003576e-05,0.1420304477214813,0.2465503215789795,0.0390641689300537,0.0138233285397291,0.0873239114880561,0.9916285276412964,0.6931973695755005,41.80905532836914,636.205056,3,0,0,0,1,2,0,0,1,0,0,0.0358,0.1302,0.1127,0.1832,0.1863,0.9926,0.9055
8,18,11945.7080078125,0.0166756119579076,0.0250452347099781,2.384888172149658,0.0,3.451583324931562e-05,0.0470053255558013,0.0675842761993408,0.0326320528984069,0.1876780539751052,0.1175122410058975,0.6088832020759583,0.2303419113159179,40.92748641967773,635.869184,3,0,0,0,1,2,0,0,1,0,0,0.0101,0.0017,0.0043,0.0119,0.1558,0.9894,0.9876
9,17,8425.93359375,0.0914103388786315,0.1507066935300827,2.1236746311187744,0.0,2.4979570298455656e-05,0.4249169826507568,0.0147621631622314,0.3908603191375732,0.0870190560817718,0.1300649940967559,0.6902669072151184,0.2637723088264465,40.568641662597656,617.19296,3,0,0,0,1,3,0,0,0,1,1,0.0839,0.0435,0.0309,0.0705,0.1359,0.8197,0.3633
