sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,17,3853.697509765625,2459.684864,1011.626953125,59.507469177246094,129.8095245361328,1286.3294677734375,0.00020115946244914085,0.0,17210.376953125,0,1,0,0,0,32,0,0,0,1,0,7531.219158692634,65558.35575467405,56523.6752714051,5.164794734632784e-05,0.0011946960059927882,,
1,15,3817.970947265625,2370.963968,2789.2587890625,185.95059204101562,175.08372497558594,2189.42822265625,0.00026954285567626357,0.0,23361.029296875,0,1,0,0,0,28,0,0,0,1,0,8048.596624815908,55740.6295720103,46298.78095213692,0.003513423214818026,0.0002353720763951829,,
2,17,4308.25341796875,2411.323392,1139.740234375,67.04354095458984,210.79722595214844,1602.3170166015625,0.00024120429588947445,0.0,17041.044921875,0,1,0,0,0,28,0,0,0,1,0,6412.0527228642295,46345.6710272674,40660.539885059974,0.00019163275357308648,0.019411002094748844,,
3,22,5589.3046875,3168.546304,1698.8623046875,77.22101593017578,97.79808044433594,658.4170532226562,0.00010627644951455295,0.0,9768.263671875,0,1,0,0,0,42,0,0,0,1,0,2752.3773014918747,18855.76404535465,11233.738488056892,0.000581956498440935,0.005460521957013607,666.2732053836951,3108.7188881119923
4,15,3826.0849609375,2801.573888,2854.236328125,190.2824249267578,201.98658752441406,1916.3270263671875,0.00026903057005256414,0.0,20414.89453125,0,1,0,0,0,24,0,0,0,1,0,9359.041460833432,60690.79203787298,58025.828465764615,9.489937642062629e-05,0.0009076397356925451,,
5,16,4071.07275390625,2266.74176,1803.3203125,112.70751953125,75.8816146850586,1010.3728637695312,0.00018628290854394436,0.0,10804.3779296875,0,1,0,0,0,25,0,0,0,1,0,5595.543499930539,43558.278227771334,37445.79936081552,0.00044041742314919474,0.0034205950909194094,1309.0935647234269,591.2483919781257
6,10,2580.2802734375,1747.460608,8494.3310546875,849.43310546875,529.05029296875,8322.7666015625,0.0012444107560440898,0.0,74418.546875,0,1,0,0,0,12,0,0,0,1,0,40968.02105959865,391947.69930118177,368148.68816096545,8.342617347799341e-05,0.012761725273164083,,
7,16,4081.923583984375,1867.500544,2028.40234375,126.775146484375,165.01243591308594,1667.2100830078125,0.0002799590874928981,0.0,16600.79296875,0,1,0,0,0,26,0,0,0,1,0,8855.070809347033,67960.1792985248,55882.75292485434,0.0008701137105612058,0.0020188061067672528,,
8,20,5113.435546875,2876.51328,676.1513671875,33.80756759643555,55.255245208740234,357.8957824707031,6.943083280930296e-05,0.0,4728.78662109375,0,1,0,0,0,35,0,0,0,1,0,2052.5935391515104,13677.564319435263,11900.332432478437,0.003368389074814543,0.0015192857188749877,947.2399430726405,3227.4765690928566
9,25,6399.62060546875,3842.99008,2948.57421875,117.94296264648438,66.88778686523438,314.9706115722656,7.83029172453098e-05,0.0,4810.17041015625,0,1,0,0,0,45,0,0,0,1,0,1757.2317352082696,10090.33092555917,9270.69966778735,1.923971289312376e-05,0.0018957471051641028,833.5991517582081,1611.4083441863434
10,16,4108.27392578125,3123.256832,1826.5087890625,114.15679931640625,263.18896484375,2055.809814453125,0.00023952739138621837,0.0,20751.90625,0,1,0,0,0,29,0,0,0,1,0,11982.925693876028,102811.28713369995,97249.95923754203,9.957134879214763e-05,0.0004910111353763694,,
11,20,5119.79296875,2769.782272,840.326171875,42.01630783081055,69.49951171875,628.0665283203125,0.00011255628487560898,0.0,8054.09814453125,0,1,0,0,0,42,0,0,0,1,0,3573.5355263954525,24883.73677128547,20099.159142058947,0.001107630564081273,5.966859890889353e-05,,
12,21,5373.6259765625,3252.264448,1186.29296875,56.490142822265625,68.9383316040039,483.8774719238281,8.219885785365477e-05,0.0,6911.2333984375,0,1,0,0,0,30,0,0,0,1,0,2578.1308157669764,17410.229724731187,16316.258854614145,4.039200876543303e-05,0.001157922454273097,,
13,21,5374.4423828125,3420.184576,1204.7431640625,57.36872482299805,66.46855163574219,339.5146484375,7.277776603586972e-05,0.0,4823.564453125,0,1,0,0,0,28,0,0,0,1,0,2056.483776415166,15439.593642651862,9661.22799869041,0.0019229063528792556,0.0010145470176412819,,
14,22,5637.65087890625,3695.275008,1719.947265625,78.1794204711914,78.65023803710938,474.5325927734375,9.060658339876682e-05,0.0,6145.130859375,0,1,0,0,0,37,0,0,0,1,0,3701.419254582565,40147.04006462154,20012.902229886426,1.736599731858718e-05,0.013164669251950506,,
15,16,4131.50146484375,3042.949632,1822.298828125,113.8936767578125,170.03111267089844,1585.9459228515625,0.0002656608121469617,0.0,17465.95703125,0,1,0,0,0,27,0,0,0,1,0,8042.370442498301,67491.1979302098,48038.94230216469,0.003449620683859976,0.0019791987312505043,,
16,15,3873.032958984375,2194.851328,2549.1943359375,169.94630432128906,177.6754150390625,2155.695068359375,0.0003174370795022696,0.0,20132.267578125,0,1,0,0,0,26,0,0,0,1,0,5044.509792601832,42185.81839967995,28693.996092681442,0.000120966997286448,4.269018271857439e-05,486.31571571246377,2619.6896343131107
17,14,3610.71728515625,1958.006784,2907.6845703125,207.69175720214844,156.60479736328125,1308.426513671875,0.00018566548533271998,0.0,14276.037109375,0,1,0,0,0,27,0,0,0,1,0,8017.793416279114,94805.17323269931,54209.864473809845,0.000353114249021836,0.0025295367947945346,2273.518677642928,163.05668154599448
18,14,3612.76220703125,1955.424256,3782.4677734375,270.17626953125,231.41094970703125,2240.94677734375,0.0003519085294101387,0.0,22085.560546875,0,1,0,0,0,20,0,0,0,1,0,8941.794913512404,69998.10486898183,60668.951879283144,0.0011665212621854212,0.0020117883254107214,166.48354305598014,1838.2460433069473
19,23,5919.2119140625,2671.277568,2043.162109375,88.83313751220703,68.19902038574219,355.1826477050781,5.415217310655862e-05,0.0,6252.708984375,0,1,0,0,0,49,0,0,0,1,0,2946.8349513835883,24313.866873038834,20324.37568220167,0.0008139009846515263,0.0020176031309130926,,
20,18,4626.2001953125,2989.937152,267.0166015625,14.834256172180176,122.63138580322266,735.070068359375,0.0001106455601984635,0.0,9714.98046875,0,1,0,0,0,33,0,0,0,1,0,3837.277710109372,45109.166673878826,28406.518988341635,0.0013730607285257108,0.00019952629915774567,801.7489424227158,1424.2181928362163
21,17,4376.3564453125,2658.286592,978.2099609375,57.54176330566406,118.16773223876953,926.9891357421875,0.00015277997590601444,0.0,11614.724609375,0,1,0,0,0,33,0,0,0,1,0,6170.072319894422,57632.01054753967,35008.73669707075,0.0034922174634839966,0.001086840023219373,2271.7390015719,182.96528082069221
22,22,5641.71875,3243.516416,1709.7734375,77.71697998046875,54.834136962890625,382.3295593261719,8.279971370939165e-05,0.0,5429.59375,0,1,0,0,0,39,0,0,0,1,0,2528.909871836733,22316.726636277566,9960.71631728845,0.0011153614329143663,0.022432614663553063,,
23,15,3870.48291015625,2904.599552,2565.3818359375,171.0254669189453,164.89747619628906,1578.9345703125,0.0002334034361410886,0.0,13852.9599609375,0,1,0,0,0,23,0,0,0,1,0,4422.688672618674,40877.230852635665,31767.4772921277,0.0012792483927525355,0.0010813190581725543,,
24,17,4363.48486328125,2342.788096,1009.0732421875,59.35725021362305,100.5127944946289,1133.8472900390625,0.00015633452858310193,0.0,13905.46875,0,1,0,0,0,25,0,0,0,1,0,5469.828329784253,36840.82982843163,33868.349629566976,0.0004856770450617637,0.0010972144623441794,733.9775612655833,2754.5929029428135
25,17,4370.52001953125,2499.124736,1078.9541015625,63.46788787841797,195.9037322998047,1349.473876953125,0.00018377068045083433,0.0,15125.765625,0,1,0,0,0,27,0,0,0,1,0,8805.988196245333,77685.1429038898,54564.109282745216,1.1028590124737003e-05,0.002587549042370227,,
26,14,3607.3701171875,2232.770048,3759.2607421875,268.5186462402344,224.79847717285156,2281.307373046875,0.00032579278922639787,0.0,21656.435546875,0,1,0,0,0,24,0,0,0,1,0,8060.619540543564,67251.32204761091,55207.23798534123,0.0013982770540978962,0.004070634065894307,978.3630504979378,3067.1286850752267
27,23,5893.44287109375,2971.124736,1843.400390625,80.14784240722656,53.47425079345703,355.8797302246094,5.071920531918295e-05,0.0,5333.94189453125,0,1,0,0,0,45,0,0,0,1,0,2023.0219130488592,12965.828853073748,11758.456995543327,0.0012733945875873717,0.002376572926722678,396.34704382209793,2844.197164688673
28,21,5367.13671875,3666.75456,1165.8701171875,55.51762390136719,58.95661926269531,456.050048828125,7.79855836299248e-05,0.0,6431.31396484375,0,1,0,0,0,41,0,0,0,1,0,3192.339880582859,22569.977744643696,21842.82076283813,0.0029410125647766974,0.01618862392041065,1398.0412710993317,1085.943913897214
29,21,5362.037109375,3602.476544,1217.115234375,57.95787048339844,63.69414138793945,430.8647155761719,8.448471635347232e-05,0.0,5589.38330078125,0,1,0,0,0,40,0,0,0,1,0,2257.500400612554,16360.123824843302,14112.503362013247,0.0019277641934834118,0.006950583463980354,,
30,16,4089.787841796875,2933.047296,1600.912109375,100.0570068359375,104.44842529296875,1273.782958984375,0.00020195181423332542,0.0,14197.1357421875,0,1,0,0,0,30,0,0,0,1,0,7519.388490239087,54598.88132392742,35486.6695289054,0.0034992439860442037,0.0067464778972132905,184.59460411894815,2611.919887528962
31,19,4915.45849609375,2424.859136,314.248046875,16.539371490478516,100.65847778320312,661.0010375976562,0.0001155867867055349,0.0,9341.783203125,0,1,0,0,0,31,0,0,0,1,0,4563.897079395592,37660.21429105658,36448.40898400198,4.517819078941887e-05,0.0004020896316673378,625.005922271696,1627.2404310712218
32,13,3363.4638671875,2068.681728,4627.6064453125,355.9697265625,117.56036376953125,2237.954345703125,0.00022140640066936612,0.0,22442.630859375,0,1,0,0,0,20,0,0,0,1,0,6124.925268872174,46766.94339713789,35866.203870562495,0.00012851069199512621,2.311021375313478e-05,555.0335566039183,1895.9661623671914
33,22,5633.07666015625,2949.946368,1733.1572265625,78.77987670898438,47.1728515625,338.7139892578125,7.252130308188498e-05,0.0,4402.208984375,0,1,0,0,0,42,0,0,0,1,0,2110.0406213653337,14218.461702346052,10735.823222554878,0.012814557443687397,0.0011210292634434259,,
34,18,4718.98583984375,3326.4768,303.8544921875,16.88080596923828,123.31673431396484,771.0869140625,0.0001383846829412505,0.0,9371.0234375,0,1,0,0,0,34,0,0,0,1,0,4447.2225270449635,59838.604707863014,26680.550476957553,0.00022605371266751044,0.000989271071009292,,
35,16,4131.2822265625,2615.914496,1794.7275390625,112.17047119140625,114.62675476074219,1251.421875,0.0001553187903482467,0.0,13397.537109375,0,1,0,0,0,25,0,0,0,1,0,5377.934703274022,37578.35132336529,33154.576595637154,0.0022001710457117025,0.0016650134205536933,537.3809592337609,1334.8107058175112
