sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,17,3760.903564453125,2423.872512,865.44921875,50.90877914428711,0.27973172068595886,4.508929252624512,0.0010033230064436793,0.0,36.37921142578125,0,1,0,0,0,16,0,0,0,1,0,25.174868800731105,270.4158945917866,252.6639294586655,0.001875833795475873,0.0018366350357478523,646.4498822344442,1415.8309985838887
1,15,3749.294921875,2340.97408,2528.4560546875,168.56375122070312,0.9064933061599731,10.477405548095703,0.011401809751987457,0.0,85.15851593017578,0,1,0,0,0,17,0,0,0,1,0,53.07040885936946,393.5220950510479,193.96721428533618,0.006466187843454575,0.004221332948485666,806.3028203337886,1425.6023397016181
2,17,4242.05810546875,2386.05568,921.828125,54.22518539428711,0.48168933391571045,5.33371639251709,0.00334577402099967,0.0,41.55915832519531,0,1,0,0,0,15,0,0,0,1,0,38.655043485303864,361.42516864792464,165.47851355579297,0.0016817579842489036,0.051016871301087674,666.6318720519685,1109.9675160942932
3,22,5491.91845703125,3134.495744,1618.99609375,73.59073638916016,0.17621350288391113,1.574324131011963,0.00031973107252269983,0.0,11.610548973083496,0,1,0,0,0,16,0,0,0,1,0,8.762231293607941,35.12096797895179,27.840854648797155,0.05410788152855148,0.0059438759092793735,767.8557095395022,901.6525668224364
4,15,3782.968994140625,2775.561216,2555.685546875,170.37904357910156,0.760960042476654,4.61727237701416,0.004548539407551289,0.0,32.873138427734375,0,1,0,0,0,18,0,0,0,1,0,17.66811290776589,260.6101167908326,83.53379402736294,0.014952664269808277,0.01154049658708587,816.4742033684207,1037.0595634754864
5,16,4011.901611328125,2233.892352,1686.9169921875,105.43231201171875,0.35219550132751465,4.6602983474731445,0.0011708649108186364,0.0,26.74086570739746,0,1,0,0,0,14,0,0,0,1,0,22.745735793937087,54.95139696092289,52.466943098467524,0.0018676206456899203,0.012096483913132824,438.28243470979544,1069.6678197368383
6,10,2539.484130859375,1707.702272,8349.4658203125,834.9465942382812,1.3800173997879028,21.682533264160156,0.0009466201881878078,0.0,180.33509826660156,0,1,0,0,0,8,0,0,0,1,0,95.59018627715606,216.55650192212514,45.814609310630594,0.0002838758990291873,0.09657846195749284,489.5669901651441,1584.8797121438968
7,16,4015.1005859375,1829.71392,1765.568359375,110.3480224609375,0.7127377390861511,11.755626678466797,0.004312724806368351,0.0,114.8763427734375,0,1,0,0,0,13,0,0,0,1,0,83.22035334860331,645.1591203275176,276.7947593132563,0.052032519470554345,0.07262856058101547,629.9486465466514,1228.5599760784592
8,20,5009.6650390625,2834.578944,622.1552734375,31.107763290405273,0.22995778918266296,3.0660624504089355,0.0003797553654294461,0.0,27.35012435913086,0,1,0,0,0,18,0,0,0,1,0,19.613193822339152,167.7200739306305,84.67640108859791,6.019238755346559e-05,0.09529700767310384,664.7310862488138,1183.0534312214243
9,25,6246.49755859375,3806.114304,2809.216796875,112.36866760253906,0.24737659096717834,3.4111924171447754,0.0007917924085631967,0.0,41.543704986572266,0,1,0,0,0,27,0,0,0,1,0,27.97960072958869,692.692802166368,290.14344414194346,0.0003215791497319445,0.013575436149085508,984.8592188927161,884.787899910667
10,16,4026.2685546875,3098.381312,1683.8818359375,105.24261474609375,0.391765832901001,5.911362648010254,0.003143677255138755,0.0,46.494667053222656,0,1,0,0,0,13,0,0,0,1,0,37.37519601304316,54.41681360525123,39.21270618675586,0.005304780483412017,0.14712339689677667,506.71782547571405,1018.8307348712326
