sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,18,4008.57763671875,2563.1872,67.0048828125,3.7224934101104736,0.06155647337436676,0.8977170586585999,1.7739554891704756e-07,0.0,13.091046333312988,0,1,0,0,0,5,0,0,0,1,0,3.0107030832757093,0.4062947794724827,0.42985119178115017,0.054731756662546205,0.0046519879756882,1256.8307061767393,343.9534103603989
1,20,4980.63623046875,3035.748352,1016.6591796875,50.83295822143555,0.05274006724357605,0.8018738031387329,1.8312729821445828e-07,0.0,13.214376449584961,0,1,0,0,0,8,0,0,0,1,0,3.476258139277254,0.44033722519043295,0.2424249680299197,0.010397239167945257,0.0773369512010876,1400.920119357819,216.8394341097384
2,15,3774.81640625,2548.52864,2325.181640625,155.01211547851562,0.09564577043056488,1.3656316995620728,2.6958329613080423e-07,0.0,15.899091720581055,0,1,0,0,0,6,0,0,0,1,0,4.080835022866135,0.5158440457060712,0.4555575943500203,0.10200284486282997,0.010622386827473115,1333.573780076314,462.79060455961235
3,19,4749.68798828125,2627.588608,533.0791015625,28.056795120239258,0.031036624684929848,0.7679757475852966,1.7168737542760937e-07,0.0,12.536641120910645,0,1,0,0,0,4,0,0,0,1,0,2.975242031082482,0.14053071098107478,0.4476446351197237,0.0674944990785821,0.13650980670831417,1260.0839761466261,181.66821969196423
4,18,4516.732421875,2873.00864,101.0546875,5.614149570465088,0.04166042432188988,0.7418152689933777,2.1044652953605691e-07,0.0,9.338834762573242,0,1,0,0,0,6,0,0,0,1,0,2.8548171574993475,0.5501404443478141,0.206453586216632,0.022566145349337645,0.2915564362990756,1251.3938954046587,255.2474858617283
5,21,5401.9833984375,3098.529792,1398.416015625,66.59123992919922,0.047931522130966187,0.7123714685440063,1.450837032734853e-07,0.0,12.66950511932373,0,1,0,0,0,4,0,0,0,1,0,3.385455066084959,0.24874693009927606,0.2612823185489228,0.012621465465517942,0.0671526714508173,1304.6292043096976,127.92081538380238
6,15,3742.629638671875,2585.856,2262.025390625,150.80169677734375,0.07750736176967621,1.2579190731048584,3.2496103585799574e-07,0.0,11.559839248657227,0,1,0,0,0,10,0,0,0,1,0,3.8864889871958517,2.837212919624459,0.49248229330289484,0.01694836011497169,0.11077543917214291,1143.3964801157158,520.0834098146472
7,20,5016.02587890625,2661.526528,1153.962890625,57.69814682006836,0.04365749657154083,0.7258520722389221,1.69304414043836e-07,0.0,11.89551067352295,0,1,0,0,0,7,0,0,0,1,0,3.418796526295281,0.2537679929463207,0.2617478474751357,0.08774086305830407,0.14835376555568616,1351.9087372707895,209.97071512935696
8,19,4775.931640625,3087.891456,632.0654296875,33.2666015625,0.03690551593899727,0.7340184450149536,1.7822611653173226e-07,0.0,11.163731575012207,0,1,0,0,0,6,0,0,0,1,0,2.86189539547575,0.39705931941975325,0.21271165155326105,0.1604218303815057,0.11082870624445773,1204.3603843891656,139.6842690351252
9,20,5010.232421875,3146.823168,1014.3935546875,50.71967697143555,0.03418770805001259,0.7339401841163635,1.7721380629609484e-07,0.0,12.57540512084961,0,1,0,0,0,7,0,0,0,1,0,3.4874574383959267,0.4029908473383469,0.34226319661641613,0.014475510849742333,0.26280089952949537,1378.699271177158,204.4634329038324
10,22,5517.7734375,3564.66432,1887.1025390625,85.77738952636719,0.04146673530340195,0.67399662733078,1.1333612803809956e-07,0.0,13.371989250183105,0,1,0,0,0,8,0,0,0,1,0,4.122940619796896,0.2465967481203275,0.14882564409843715,0.055580498506448944,0.09338445563319701,1416.772998456107,131.62275152139782
11,15,3927.321533203125,2798.919168,2329.021484375,155.2681121826172,0.055834826081991196,1.3721879720687866,2.2879996208757802e-07,0.0,17.664138793945312,0,1,0,0,0,7,0,0,0,1,0,3.980184908714315,0.8203473386154706,0.3216334063135019,0.0007437382753085952,0.000597130665165535,1227.1094455301118,482.4082086353121
12,17,4266.28515625,2377.017856,640.9970703125,37.705711364746094,0.04364616051316261,0.8379976153373718,1.9917516169698501e-07,0.0,9.643816947937012,0,1,0,0,0,5,0,0,0,1,0,3.3263749365370345,0.8902762295859712,0.32515234730990394,0.010416736046120867,0.18719726001610054,1252.3917617319157,221.4691688539987
