sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,16,3689.72802734375,2292.2752,1843.42578125,115.214111328125,106.95817565917969,1159.791015625,0.00017677956202533096,0.0,11980.3974609375,0,1,0,0,0,28,0,0,0,1,0,5200.5303048133455,33647.34786640781,28672.520986605225,0.00027480943422998616,0.010313961559960502,1768.8331536841317,318.7941179146112
1,19,4854.27880859375,2716.84864,255.4833984375,13.446495056152344,58.469417572021484,385.8257141113281,6.891927478136495e-05,0.0,4973.232421875,0,1,0,0,0,36,0,0,0,1,0,2251.0443832524743,13641.833487923126,12297.077576178912,0.018412384137938997,0.0009044894281868276,1288.4156680785868,1985.817147278331
2,17,4382.92138671875,2723.774464,1160.07421875,68.23966217041016,103.91757202148438,1026.448974609375,0.00015323386469390243,0.0,11154.0146484375,0,1,0,0,0,26,0,0,0,1,0,5810.0357677338725,35446.752248389465,32802.31598482266,0.0016834132124351475,0.004630310780290102,270.685603578401,2318.0965708723224
3,21,5389.068359375,3031.318016,1177.2919921875,56.0615234375,38.9252815246582,261.90411376953125,6.213328742887825e-05,0.0,3631.063232421875,0,1,0,0,0,43,0,0,0,1,0,1865.7777155713075,17262.63824177496,14437.139947442389,0.0026563659660435585,0.0059118536539448895,2087.046693408366,394.1647253184083
4,17,4391.5927734375,2984.836096,1135.1416015625,66.77303314208984,133.451171875,1084.3245849609375,0.00018067691416945308,0.0,12058.2822265625,0,1,0,0,0,31,0,0,0,1,0,6511.708654751229,53485.163584053626,32500.978951769495,0.002211482254696376,0.00019688701065249947,,
5,23,5916.60546875,3388.756992,1955.439453125,85.01911163330078,50.91880416870117,280.70672607421875,6.940646562725306e-05,0.0,3866.60791015625,0,1,0,0,0,37,0,0,0,1,0,2028.7556875533705,13477.452244110871,11150.252515183587,0.00593728731515299,0.007120090594858033,1868.6338034068503,281.15057183003046
6,18,4643.8359375,3376.5632,380.8837890625,21.16021156311035,85.04642486572266,722.731201171875,0.00013763338210992515,0.0,8805.6162109375,0,1,0,0,0,34,0,0,0,1,0,4235.058405335504,28610.93819946879,21932.40361248315,0.0038036435718237505,0.0029596899715105453,,
7,19,4896.65673828125,2963.044352,243.3330078125,12.807000160217285,81.48731994628906,488.1751708984375,0.00010990214650519192,0.0,5931.47314453125,0,1,0,0,0,36,0,0,0,1,0,3066.2830420110417,18629.573443492525,15927.131903588679,0.00035259508204691335,0.005308684971904565,,
8,23,6047.0048828125,3653.798912,1970.9775390625,85.6946792602539,35.089046478271484,240.1283721923828,4.346882633399218e-05,0.0,3542.128662109375,0,1,0,0,0,49,0,0,0,1,0,1968.8691618035457,14374.230279291465,8307.465752505073,0.017428883776358713,0.004705103358602816,,
9,19,4917.244140625,3567.52896,255.435546875,13.443976402282715,52.434730529785156,444.3157043457031,7.080085197230801e-05,0.0,5643.630859375,0,1,0,0,0,37,0,0,0,1,0,2514.5269474569654,13821.817732868585,12673.886400335083,0.003577609919165184,0.0036560483192640885,232.53422100155967,2479.8212482025206
10,19,4897.3740234375,2965.646336,268.927734375,14.154091835021973,129.74789428710938,945.0,0.00015186882228590548,0.0,12320.3935546875,0,1,0,0,0,37,0,0,0,1,0,5796.263337429068,28625.82447688443,24758.986444719845,0.0027110613461897304,0.001509740217521812,,
11,19,4904.73681640625,3005.645824,274.654296875,14.455489158630371,98.89271545410156,710.4088134765625,0.00014102431305218488,0.0,8629.220703125,0,1,0,0,0,36,0,0,0,1,0,4592.219247427349,31564.649535676574,26297.07196251402,0.015138981204627453,0.00396724352503873,1132.2546066050147,1273.9148517651709
12,16,4145.9697265625,2611.776512,1672.5048828125,104.53155517578125,105.45000457763672,1017.3375854492188,0.00017322387429885566,0.0,10441.1845703125,0,1,0,0,0,26,0,0,0,1,0,5061.407077878435,29181.859793366126,27308.971406393593,0.002143292973102444,0.00014750004532138733,1339.9699189630446,2097.1605932166467
13,19,4896.892578125,2723.641856,214.439453125,11.286287307739258,56.639984130859375,321.42401123046875,5.820538353873417e-05,0.0,3971.113525390625,0,1,0,0,0,33,0,0,0,1,0,1780.7453556366704,15888.367553356029,9859.451294127732,0.0009942662596345783,0.004168486404912443,,
14,23,5942.45263671875,3538.6624,1961.787109375,85.29508972167969,43.82400894165039,308.95013427734375,4.544963303487748e-05,0.0,4764.849609375,0,1,0,0,0,41,0,0,0,1,0,2485.0176011879425,11643.389890197923,8656.536069034677,0.0039317188220119245,8.611060174239238e-05,,
15,22,5683.12353515625,3697.138688,1667.875,75.8125,40.74137878417969,351.7090148925781,5.8253182942280546e-05,0.0,5725.49169921875,0,1,0,0,0,36,0,0,0,1,0,3207.3959510687914,20899.957794437567,20409.52881043061,0.0009781945213324927,0.0029535419406282303,585.2245039556296,1699.594297553207
16,19,4913.90234375,3280.618496,265.078125,13.9514799118042,63.59131622314453,609.130126953125,9.506843343842775e-05,0.0,7974.59423828125,0,1,0,0,0,32,0,0,0,1,0,4091.5588415516722,28525.350894529023,18595.333836583097,0.002785262364181189,0.005291454326251208,253.47263952150115,2481.8661126612783
17,21,5417.138671875,3352.119296,1178.11328125,56.10063171386719,47.461021423339844,404.1894226074219,8.67381677380763e-05,0.0,4945.98681640625,0,1,0,0,0,35,0,0,0,1,0,2485.310154130426,20281.157440300714,19704.767389030996,0.00039350651135586223,0.00033319586615800437,,
18,23,5855.31201171875,3905.34144,1968.19921875,85.57388305664062,28.327350616455078,238.74835205078125,5.859182419953868e-05,0.0,3272.16259765625,0,1,0,0,0,36,0,0,0,1,0,1674.7247060380173,20688.969926854883,5118.3047697426155,0.00036392394651970326,0.06432247403943415,,
19,17,4313.5966796875,3135.28832,940.9658203125,55.350929260253906,72.34014129638672,923.31787109375,0.00021277047926560044,0.0,9111.529296875,0,1,0,0,0,35,0,0,0,1,0,4245.599001019103,26368.50601195048,23150.209483248458,0.0025429185034111512,0.002027739438587934,,
20,16,4148.56005859375,2339.798528,1859.103515625,116.1939697265625,86.55455780029297,1020.4481201171875,0.00015046732733026147,0.0,10420.833984375,0,1,0,0,0,29,0,0,0,1,0,4893.845389547158,52794.48073535438,32750.583835060344,0.0005503452354151672,0.0006032394185107523,,
21,19,4923.818359375,2758.28992,258.0,13.578947067260742,56.01970672607422,512.8869018554688,7.695225212955847e-05,0.0,6034.71240234375,0,1,0,0,0,34,0,0,0,1,0,3329.4719129765476,24973.4992800328,18644.540073738062,0.004417081919367627,0.0019503197299166348,1113.5280433079142,3432.8255671335874
22,20,5161.447265625,3278.915072,837.958984375,41.89794921875,63.29902267456055,515.6815185546875,8.286716183647513e-05,0.0,6309.22412109375,0,1,0,0,0,36,0,0,0,1,0,3546.091375344419,21932.83553234789,19868.55090392129,0.00057970504013026,0.0015690795005179128,1215.2075794486673,3572.028924859742
23,19,4914.92529296875,3190.160896,243.98046875,12.84107780456543,64.02399444580078,560.6793212890625,0.00010166851279791445,0.0,7018.2099609375,0,1,0,0,0,35,0,0,0,1,0,3266.137739917443,24978.680730735152,18914.870980315733,0.0024883327718486156,0.0015619731429437587,,
24,23,5933.81787109375,3652.353024,1965.55078125,85.45873260498047,30.78457260131836,264.7969055175781,4.6816283429507166e-05,0.0,3942.967529296875,0,1,0,0,0,48,0,0,0,1,0,1910.7604965000887,12980.137626657577,12260.785895418358,0.0022887166677994127,0.010052863933460714,,
25,18,4662.048828125,3349.288448,315.9560546875,17.55311393737793,71.72515869140625,498.1317138671875,8.375279139727354e-05,0.0,6301.3212890625,0,1,0,0,0,31,0,0,0,1,0,3589.2842733994185,22766.503457207607,16411.69549801757,0.00028185721068091363,0.00035346309777216367,1080.457151264852,1344.427291681495
26,23,5936.4599609375,3307.485184,1954.7587890625,84.98951721191406,31.061325073242188,259.4028625488281,3.572801506379619e-05,0.0,3998.059814453125,0,1,0,0,0,43,0,0,0,1,0,2129.718452396752,18082.492611020254,8936.81049620866,0.0010922602378842586,0.03417805552898165,561.0683188354342,2906.467106113212
27,23,5938.95458984375,3826.189824,2135.791015625,92.86048126220703,42.58525085449219,372.3097229003906,7.652851491002366e-05,0.0,5092.634765625,0,1,0,0,0,41,0,0,0,1,0,2775.4900008860445,26425.714048184996,18290.703174096227,0.00023583485881304832,0.0012165889968193538,89.82982575051528,2405.6661374843916
28,23,5953.7490234375,3975.49568,1768.11328125,76.8744888305664,27.691303253173828,187.2227325439453,4.450930282473564e-05,0.0,2654.82958984375,0,1,0,0,0,38,0,0,0,1,0,1288.369698278207,5257.4438184356195,5109.513315859942,0.0016832686998230345,0.013697072939006905,1241.2292815053681,1697.669417134266
29,16,4153.85888671875,3099.684352,1904.7373046875,119.04608154296875,190.353271484375,1556.6519775390625,0.0002485008735675365,0.0,15386.830078125,0,1,0,0,0,25,0,0,0,1,0,7507.980333035257,98588.26593630925,38891.62156831508,0.00030952060607588455,0.0010511170166175449,1396.8746975743302,3484.2899749014077
30,16,4147.47412109375,2322.028544,1850.2080078125,115.63800048828125,83.07344055175781,830.242431640625,0.0001455210440326482,0.0,8947.91796875,0,1,0,0,0,26,0,0,0,1,0,4779.424250658867,35826.948720109795,27071.15535697389,0.0007982717670396849,0.0002833400893776754,402.2001820390269,2642.8017865536526
31,16,4285.47705078125,2286.084608,1875.591796875,117.2244873046875,98.00029754638672,873.5104370117188,0.00012514750414993614,0.0,10111.2998046875,0,1,0,0,0,26,0,0,0,1,0,5755.26100957702,47197.98926136567,34666.391157473125,0.0018472505643675795,6.469233355847499e-05,666.6567972460405,2646.8936904045045
32,20,5169.12109375,2684.862464,766.9228515625,38.34614181518555,70.11976623535156,405.4286193847656,9.379061521030962e-05,0.0,5634.0185546875,0,1,0,0,0,40,0,0,0,1,0,2975.2586937539204,39172.190922862384,21771.457571656876,0.00022255361808593,0.004967508949334128,1363.6726279146856,1110.5466369370242
33,23,5933.01708984375,3644.47232,1647.48828125,71.62992858886719,30.98711395263672,253.49310302734375,5.480869367602281e-05,0.0,3685.184814453125,0,1,0,0,0,40,0,0,0,1,0,1973.1344702687793,11203.501365429905,10378.588115211965,0.003699758453474193,0.002023109601322126,889.8823877498221,3328.5621922226724
34,21,5422.57568359375,3759.360512,1289.3623046875,61.3982048034668,57.00084686279297,459.0672912597656,7.926479884190485e-05,0.0,6390.81689453125,0,1,0,0,0,42,0,0,0,1,0,3573.0847180382475,20779.898737891985,20503.828013860708,0.001812862587997132,0.0009745087054215951,,
35,20,5174.51806640625,3357.010944,754.818359375,37.74091720581055,57.675167083740234,557.106689453125,8.94216209417209e-05,0.0,7141.1982421875,0,1,0,0,0,38,0,0,0,1,0,4396.249711100127,24935.652560593986,24224.527156836662,0.000488941934419028,0.0019082048831044196,,
36,23,5938.91552734375,3769.483264,1957.001953125,85.08704376220703,28.035383224487305,261.9349060058594,4.525069016381167e-05,0.0,3818.311767578125,0,1,0,0,0,45,0,0,0,1,0,2042.7354123655552,11464.701634127197,9447.164171078372,0.00030416221576072544,0.007342912921562708,,
37,20,5177.66455078125,3752.41984,767.9716796875,38.39858627319336,61.34001541137695,368.97216796875,7.608591113239527e-05,0.0,4814.58251953125,0,1,0,0,0,39,0,0,0,1,0,2302.3340773965037,20629.05531134494,18071.487360624014,0.0012735999272947968,0.010583015108469943,1288.098266206425,1162.5400021159137
38,16,4150.1943359375,2849.030144,1827.998046875,114.2498779296875,83.51527404785156,810.5986938476562,0.00015560444444417953,0.0,8241.501953125,0,1,0,0,0,23,0,0,0,1,0,3852.2051859413264,24387.70162000154,23114.35636978028,0.003442315461899735,0.002033505047323851,916.3170563649467,1009.0596573352307
39,22,5674.3642578125,3130.430464,1671.2958984375,75.9679946899414,52.19355773925781,386.0876159667969,5.9687881730496883e-05,0.0,5551.64892578125,0,1,0,0,0,40,0,0,0,1,0,2842.80371990807,18602.521913858716,18003.05167059851,0.0058969553839021485,0.002144578862281102,,
40,15,3887.68798828125,2838.935552,2845.67578125,189.71173095703125,110.193603515625,1763.3856201171875,0.0002583012683317065,0.0,18564.595703125,0,1,0,0,0,24,0,0,0,1,0,7317.174244360119,40753.426356231146,25041.872120224303,0.0034080973298747375,0.012680620054190492,255.980433555716,1712.791195738651
41,18,4562.236328125,2512.928768,425.4697265625,23.63720703125,125.22332763671875,1001.8515014648438,0.00019420454918872565,0.0,11264.7265625,0,1,0,0,0,30,0,0,0,1,0,5101.9247621893355,25323.177224777217,23168.719393044936,0.0018613286478960656,0.0031944466658583616,984.251185837631,3267.0841149723824
42,15,3846.60205078125,2382.587904,2252.0009765625,150.13340759277344,96.4345703125,1202.938720703125,0.00021855125669389963,0.0,11938.2421875,0,1,0,0,0,28,0,0,0,1,0,7324.172754350956,44919.35704478047,38275.8081278036,0.00017340908080104578,0.001257508015501077,,
43,22,5615.23876953125,2680.690176,1816.619140625,82.57360076904297,74.20639038085938,575.3638916015625,9.763104026205838e-05,0.0,8533.759765625,0,1,0,0,0,38,0,0,0,1,0,5124.049609275783,93434.04117305645,34366.99015975857,0.0004736330259138277,0.0005728327421863355,1432.7637868775876,888.1278391065186
44,23,5885.828125,3740.511744,1953.8720703125,84.95095825195312,37.52684783935547,375.02484130859375,7.86476448411122e-05,0.0,5303.0673828125,0,1,0,0,0,45,0,0,0,1,0,2916.2444170382123,31188.963275902224,19439.54443065655,0.0019315829660838113,0.0024543712496777753,352.01915568511504,2416.869305614193
45,19,4855.6787109375,3490.732544,229.48828125,12.078330993652344,123.0717544555664,888.2122192382812,0.00016209158638957888,0.0,11059.0478515625,0,1,0,0,0,31,0,0,0,1,0,5632.144133073691,26994.563243987348,26821.53048988315,0.0019504023562267325,0.0023278662414212836,199.00503544172352,2105.1054935532416
