sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,16,3617.774658203125,2242.37312,1774.5576171875,110.90985107421875,0.05900590121746063,1.0168665647506714,9.014236752591387e-07,0.0,8.970731735229492,0,1,0,0,0,8,0,0,0,1,0,3.1698095030407862,0.5123837567447747,0.4393181011269165,0.14566135125383214,0.1727743363713146,1060.2283550309216,305.4923990471414
1,17,4267.6318359375,2465.985024,1216.52734375,71.56043243408203,0.07440433651208878,1.0100916624069214,4.093035670393874e-07,0.0,10.394383430480957,0,1,0,0,0,13,0,0,0,1,0,2.676137370122743,0.8474319552988723,0.8266445275508725,0.1282770443532901,0.20127193036330163,981.4898761857922,561.6988770998819
2,20,5053.474609375,2957.180928,616.3818359375,30.819091796875,0.030021796002984047,0.6985761523246765,3.995104975729191e-07,0.0,10.801766395568848,0,1,0,0,0,8,0,0,0,1,0,3.0677092022463994,0.5923539759554978,0.5687972059503527,0.05348474672550936,0.04451181139730857,1168.2111815143978,216.29494945431537
3,19,4797.20263671875,3141.314048,64.0205078125,3.3695003986358643,0.038935691118240356,0.6804437041282654,2.6594321411721467e-07,0.0,8.939263343811035,0,1,0,0,0,5,0,0,0,1,0,2.7050552495067297,0.24936590133335768,0.21945014786185563,0.33980271246273125,0.08303161617722628,1120.9422922494616,218.85714440705107
4,15,3801.192626953125,2459.21024,2861.6015625,190.77345275878906,0.1142694503068924,1.809834599494934,1.019715682559763e-06,0.0,20.913902282714844,0,1,0,0,0,13,0,0,0,1,0,3.9679070889702506,5.929325660513603,2.887039672501328,0.00020887790475632856,0.01303274968287125,1402.4549762871259,473.5623542129624
5,21,5312.03662109375,2923.970048,1148.8486328125,54.70707702636719,0.030639730393886566,0.6945322155952454,2.3314120767281565e-07,0.0,12.353683471679688,0,1,0,0,0,7,0,0,0,1,0,3.698511324720427,0.5020656176496457,0.5537787092015721,0.31461734377818124,0.08202922793167461,1304.754464560241,188.30287607999807
6,19,4815.90966796875,3260.067328,201.564453125,10.60865592956543,0.04563043266534805,0.8508356213569641,3.309123144390469e-07,0.0,12.156765937805176,0,1,0,0,0,9,0,0,0,1,0,3.1265916717140665,1.2715970397511684,1.1708008304822854,0.04176379556121827,0.05088719219329185,1064.4773486036788,288.95587115493385
7,18,4553.39892578125,2889.91488,456.78515625,25.376953125,0.07638071477413177,1.0708918571472168,3.8694503246006207e-07,0.0,13.206953048706055,0,1,0,0,0,10,0,0,0,1,0,2.9380667517281265,0.6979516467257603,0.54813666390977,0.007870794488080035,0.03075676565416649,1188.055362093168,266.3639122543778
8,14,3557.4951171875,2338.489344,3689.8505859375,263.5607604980469,0.14367279410362244,1.6864426136016846,9.450004085920227e-07,0.0,12.493337631225586,0,1,0,0,0,11,0,0,0,1,0,5.064601171343838,1.9187551376090881,1.8656311942295427,0.016945215201011207,0.0779636880767095,975.3580170891972,446.78717949321987
9,17,4318.43798828125,2208.436736,1135.5537109375,66.79727935791016,0.08620136976242065,1.4080899953842163,4.9408504310122225e-06,0.0,14.102291107177734,0,1,0,0,0,10,0,0,0,1,0,3.2593071288637505,6.831247006840322,0.9590275529834705,0.005014636620045795,0.06269303613856114,1044.1127407798335,344.6222003480072
10,16,4065.763671875,2255.461376,1767.26953125,110.454345703125,0.0839884877204895,1.221792221069336,3.96201016883424e-07,0.0,14.040651321411133,0,1,0,0,0,14,0,0,0,1,0,4.369651446837208,3.395349198870275,0.7565067250046288,0.00048108184847896196,0.03182588945397874,1239.9226004886225,381.24668091703245
11,13,3325.51318359375,1926.925312,3978.6572265625,306.0505676269531,0.07030998170375824,1.4926471710205078,8.914257705328055e-07,0.0,9.761415481567383,0,1,0,0,0,11,0,0,0,1,0,5.181374250064449,1.6081342425757925,1.0229094760083077,0.005262167665414985,0.062469302059649595,754.6894169329852,775.4005151774575
12,20,5067.2490234375,2404.456448,649.52734375,32.47636795043945,0.030853338539600372,0.6481075286865234,2.4192038949877315e-07,0.0,9.577027320861816,1,0,1,0,0,10,0,0,0,1,0,2.8064254338644385,0.6342285972531075,0.5081439184860839,0.04117569938302282,0.00541056423559224,1167.845386414468,169.41503297251646
13,16,4076.3037109375,2503.8336,2176.171875,136.0107421875,0.18486806750297546,1.2695611715316772,1.0460573321324773e-05,0.0,8.808028221130371,0,1,0,0,0,10,0,0,0,1,0,3.054847333241604,1.416242371752174,0.9845106072828481,0.028799799005662922,0.007522233908528863,839.1779678363147,572.7288623102155
14,14,3566.395751953125,2000.726016,3618.51953125,258.4656982421875,0.12403566390275955,1.9901686906814575,1.2914956641907338e-05,0.0,14.266101837158203,0,1,0,0,0,7,0,0,0,1,0,4.980079237858949,2.5331934369174696,0.925630906286599,0.026576298826453015,0.02239099408807721,734.3103386026688,564.9886334047966
15,16,4061.96044921875,2142.40512,1904.0048828125,119.00030517578125,0.08216287940740585,1.0245521068572998,9.103290722123347e-06,0.0,7.331857681274414,0,1,0,0,0,8,0,0,0,1,0,3.2708054008599823,0.6923576244294459,0.6683147869847413,0.048500672395844165,0.06720529471405232,884.969199153323,550.0852544089311
16,19,4818.716796875,2440.09216,81.1083984375,4.268863201141357,0.04010545462369919,0.6500490307807922,2.59959875847926e-07,0.0,9.19015121459961,0,1,0,0,0,9,0,0,0,1,0,2.447446889575757,0.5313254197851408,0.3410959773946128,0.06570275294347741,0.10493644117632467,1088.3556747151697,225.48487172837136
17,19,4820.66357421875,2760.641536,117.55859375,6.1872944831848145,0.04398714005947113,0.8196582794189453,3.871641638397705e-07,0.0,11.034286499023438,0,1,0,0,0,9,0,0,0,1,0,2.816363680306573,0.6480645593919923,0.47633321414003804,0.01108158696766992,0.06943599293957106,1173.6983720866351,251.57026275018623
18,17,4312.2294921875,2638.426112,1168.54296875,68.73782348632812,0.08217377960681915,1.2101047039031982,7.779401016705378e-07,0.0,15.493518829345703,0,1,0,0,0,7,0,0,0,1,0,3.311701330315739,1.4237576007825903,0.6183638839379326,0.04466274074436705,0.054116023490850165,1249.1710730750142,233.70262702337806
19,18,4564.48388671875,2565.660672,490.8076171875,27.26708984375,0.028860008344054222,0.9866057634353638,3.542060653671797e-07,0.0,15.056157112121582,0,1,0,0,0,10,0,0,0,1,0,2.8942718177501856,2.579428520430976,0.7650957168338888,0.001822455525339703,0.09645144709108332,1263.6553767067542,285.1527665548899
20,20,5079.26025390625,2938.251776,717.3720703125,35.86860275268555,0.04315641149878502,0.8325666785240173,2.070278469545883e-06,0.0,12.72095012664795,0,1,0,0,0,11,0,0,0,1,0,3.2670518022222637,0.8782243111371106,0.46077811581282,0.015882639678100607,0.11203881269807148,1197.6207850333408,189.28030864950168
21,14,3567.656494140625,2297.930752,2909.6650390625,207.83322143554688,0.08020632714033127,1.4970625638961792,1.2314206969676889e-06,0.0,10.419541358947754,2,0,0,1,0,9,0,0,0,1,0,5.95241916855482,3.9464606553582433,2.2659898210235006,0.0037368000271129085,0.012727158803158084,956.3741471378592,826.8008392858059
22,17,4323.87109375,2081.3312,1076.7275390625,63.3369140625,0.0691709890961647,1.1156606674194336,3.9379432337227627e-07,0.0,12.831143379211426,0,1,0,0,0,12,0,0,0,1,0,2.934322558004133,0.8733974201630704,0.666310521185861,0.07816610986362102,0.017321358638949465,1312.0900645443526,257.8916068543302
23,22,5597.021484375,3197.108736,1526.8603515625,69.40274810791016,0.04647143930196762,0.6756142377853394,1.802384019811143e-07,0.0,12.81905746459961,1,0,1,0,0,11,0,0,0,1,0,3.7370372130669334,0.49509887574452555,0.5162102985165866,0.6293325868380785,0.14944732170782302,1357.9304489482681,113.65946454910258
