sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,16,3639.839111328125,2260.980224,1777.6572265625,111.10357666015625,0.03563828766345978,1.187050461769104,2.3369021562302805e-07,0.0,12.30950927734375,0,1,0,0,0,5,0,0,0,1,0,3.509182238720276,0.2178536575379081,0.13801586502046329,0.037627943225667655,0.21525348708890832,1091.4169661460473,287.42850937251694
1,19,4793.55224609375,2685.1328,317.97265625,16.735403060913086,0.03994693234562874,0.7621229887008667,1.5280565435205062e-07,0.0,12.035086631774902,0,1,0,0,0,4,0,0,0,1,0,2.8818604234253606,0.30401499986205194,0.29858316672120033,0.2374944026082199,0.08352125128575696,1251.9083907309657,213.2406260801866
2,17,4328.4921875,2696.1408,1059.6044921875,62.32967758178711,0.038039855659008026,1.068206787109375,2.1156255058940587e-07,0.0,11.807855606079102,0,1,0,0,0,10,0,0,0,1,0,2.8522343378844646,0.25965255129650966,0.26128411884530445,0.020860711746465827,0.030688818275941363,1125.9538238253515,346.8849197519776
3,21,5309.08740234375,3002.601472,1212.3115234375,57.729122161865234,0.02850770764052868,0.677864134311676,1.2567593898893392e-07,0.0,12.148523330688477,0,1,0,0,0,6,0,0,0,1,0,3.33411183431471,0.33270918769734487,0.21373440869706772,0.0117696359633786,0.11610777969042305,1272.806190678787,182.0366443583129
4,17,4317.65478515625,2959.155712,977.8095703125,57.518211364746094,0.07794518023729324,0.9574470520019531,2.141980530723231e-07,0.0,10.870283126831055,0,1,0,0,0,6,0,0,0,1,0,2.8843266752163075,0.4296801151914679,0.14370641554424568,0.00913051262205225,0.4676882910656167,1099.6356428439117,302.6642929829166
5,23,5834.646484375,3359.13728,1999.177734375,86.9207763671875,0.027940930798649788,0.6113259196281433,9.776869802635701e-08,0.0,12.5474214553833,0,1,0,0,0,8,0,0,0,1,0,4.128686760242861,0.36046661579617195,0.18846915270782327,0.0017280415981491305,0.10379019509202891,1360.8245025649119,173.40856832371895
6,18,4574.6845703125,3341.388288,290.69140625,16.14952278137207,0.044958729296922684,0.7780278325080872,2.1408520467502967e-07,0.0,8.793909072875977,0,1,0,0,0,6,0,0,0,1,0,2.525929241911834,0.18676142264908083,0.14824547839559524,0.24978726507834667,0.05103937208070393,1054.152715514152,270.51384568631937
7,19,4822.4912109375,2937.673728,330.568359375,17.398334503173828,0.04376902058720589,0.6781315207481384,1.754451091073861e-07,0.0,9.604228973388672,0,1,0,0,0,6,0,0,0,1,0,2.4893292758434655,0.22745422650090835,0.23270515134798886,0.03388189618801871,0.11493999810225108,1141.9158595645113,304.725456777816
8,23,5840.31298828125,3637.699584,2020.759765625,87.85912322998047,0.023795481771230698,0.6016197204589844,1.0967733032885008e-07,0.0,13.039999008178711,0,1,0,0,0,4,0,0,0,1,0,4.41603449728015,0.18708870549853185,0.2757718913016557,0.3084174633239589,0.20845932146258922,1372.0785394041375,247.9602604483907
9,19,4834.25390625,3543.3728,318.8251953125,16.7802734375,0.038001447916030884,0.7223986387252808,1.8589025785331614e-07,0.0,10.751562118530273,0,1,0,0,0,2,0,0,1,0,0,2.6913419103501486,0.09212911886107322,0.15082975635474463,0.01975022045247167,0.1338204160745958,1168.2199969802125,235.6176212257478
