sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,23,2284.420654296875,1220.828672,2117.3134765625,92.0571060180664,0.01764994114637375,1.472205400466919,0.06997806578874588,0.0,28.83169174194336,0,1,0,0,0,33,0,0,0,1,0,11.447004953325603,1.391242198561607,1.3579282025135737,0.02064221663183331,0.02516577196239888,2501.2064000436003,141.65918039417548
1,19,1986.974365234375,1318.334976,391.1796875,20.58840560913086,0.018618661910295486,1.7714544534683228,0.08294352889060974,0.0,30.9051570892334,0,1,0,0,0,24,0,0,0,1,0,10.499253471401131,1.207771494525784,0.9801200511985548,0.0345567533940862,0.03224252791392142,2561.444906889308,69.23348615734866
2,14,1492.0228271484375,975.026688,3508.46484375,250.60464477539062,0.01676248200237751,2.553170919418335,0.11436031758785248,0.0,37.849002838134766,0,1,0,0,0,17,0,0,0,1,0,9.662222490322693,1.8692227829826071,1.7541459865626723,0.05701418371379788,0.047688078569970406,2726.8484601092505,114.61990888493224
3,17,1796.154541015625,858.038784,803.7001953125,47.27648162841797,0.014449695125222206,2.263932228088379,0.09389263391494751,0.0,34.2158203125,1,0,1,0,0,22,0,0,0,1,0,10.692307440465822,2.1130897165443794,1.6093737905235312,0.052155123946922774,5.8187083647145976e-05,2959.501373642732,75.78991481341868
4,13,1393.969482421875,823.502848,4393.306640625,337.9466857910156,0.016913151368498802,2.9420056343078613,0.10801012068986893,0.0,38.32298278808594,0,1,0,0,0,14,0,0,0,1,0,8.512766094672383,1.5928164739203843,0.850071923405828,0.01585046941907295,0.41377010612813964,2747.0698731689868,133.65460171289445
5,21,2218.4462890625,1026.821632,1467.0439453125,69.85923767089844,0.015508151613175869,1.6692851781845093,0.0769830197095871,0.0,29.227323532104492,0,1,0,0,0,25,0,0,0,1,0,11.041371224063878,1.5833573529346094,1.0079626381140685,0.007695715195029436,0.0359002895349071,2414.9227530896055,122.91091172011491
6,22,2320.81298828125,1339.724288,1839.841796875,83.6291732788086,0.016199495643377304,1.5690662860870361,0.06748127192258835,0.0,29.073974609375,0,1,0,0,0,33,0,0,0,1,0,11.50748634072396,1.333773690589744,1.0930137339007548,0.08646054555305696,0.0602951858392407,2547.598725878775,121.46222937237579
7,18,1900.53515625,1245.582848,175.9990234375,9.77772331237793,0.0168727058917284,2.217731475830078,0.08500999957323074,0.0,31.513296127319336,0,1,0,0,0,22,0,0,0,1,0,10.644226569128373,1.4793270563430263,1.3885701227430538,0.06952490500417441,0.027646303259712558,2400.853537035601,53.665560327863204
8,21,2202.550537109375,1217.199104,1594.9140625,75.94828796386719,0.014833721332252026,1.6885472536087036,0.07177208364009857,0.0,28.831932067871094,0,1,0,0,0,27,0,0,0,1,0,11.5724866931592,1.2519707740874308,0.9897363930414392,0.01488065062932689,0.05916000035654703,2350.16865407801,93.76606404858607
9,19,2000.244384765625,1236.97152,421.861328125,22.203227996826172,0.017052078619599342,1.9848154783248901,0.08079268038272858,0.0,31.101816177368164,0,1,0,0,0,23,0,0,0,1,0,10.661564967052449,1.2210682439094032,1.01913127224201,0.08761565576335784,0.09194142575172548,2433.164462753306,77.54455029402298
