sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,18,4065.68603515625,2587.859968,187.052734375,10.39181900024414,95.63948822021484,625.4110107421875,9.417258115718141e-05,0.0,7217.81494140625,0,1,0,0,0,32,0,0,0,1,0,3112.3376524686573,21028.236520163802,19680.127632622603,0.006119015072237027,0.0021571185016548006,,
1,20,5040.515625,3060.88192,900.5703125,45.02851486206055,73.3139419555664,422.82342529296875,8.116677781799808e-05,0.0,5351.23876953125,0,1,0,0,0,35,0,0,0,1,0,2585.8119876028163,23318.32260405844,19562.967350852326,0.001989078222471935,0.011861097122688435,,
2,15,3813.8779296875,2583.804928,2443.59765625,162.90652465820312,133.87179565429688,962.5120849609375,0.00015312938194256276,0.0,10684.484375,0,1,0,0,0,22,0,0,0,1,0,3857.5674886223255,28558.92509541256,18249.937444720592,0.0013448050188320038,0.0010311630733405644,29.604817073263803,2054.941422536797
3,19,4836.923828125,2660.544512,406.880859375,21.41478157043457,83.77293395996094,501.16046142578125,8.320690540131181e-05,0.0,6112.6513671875,0,1,0,0,0,30,0,0,0,1,0,3450.5873787238743,30578.313134502285,23168.050436720303,0.027359055952519376,0.002196268580499587,675.3568332418117,2730.0535514959697
4,18,4565.6513671875,2903.177728,203.6455078125,11.313639640808105,86.58055114746094,557.4280395507812,8.978331607067958e-05,0.0,6317.69091796875,0,1,0,0,0,31,0,0,0,1,0,3149.451297347409,25768.253242261075,24283.104456385405,0.001851122155202188,0.030581239328237617,969.7950694101523,3105.5004582368942
5,21,5345.7333984375,3133.13536,1330.80859375,63.3718376159668,41.73557662963867,318.6042785644531,5.352413063519634e-05,0.0,4111.27587890625,0,1,0,0,0,33,0,0,0,1,0,2435.5884399779216,23974.674498588956,23872.98099662718,0.0029415850902618224,0.0014788702468716483,248.16178899996885,1748.7284062134718
6,15,3817.517578125,2623.017472,2407.0458984375,160.46974182128906,93.9462661743164,934.868896484375,0.00015607323439326137,0.0,7898.185546875,0,1,0,0,0,22,0,0,0,1,0,3164.7426428284807,32678.298583492164,22437.68427545787,0.0027656850565806017,0.00039047991886382964,922.2467114697287,2103.643667455633
7,20,5073.26953125,2700.898304,976.1796875,48.80898666381836,71.88259887695312,436.9804382324219,8.174998947652057e-05,0.0,5291.29736328125,0,1,0,0,0,39,0,0,0,1,0,3117.894618855449,25280.89601788717,24686.73735888726,0.007920618804539602,0.00046424738541993305,,
8,19,4809.3720703125,3120.102912,459.4404296875,24.181076049804688,81.66304016113281,607.4778442382812,9.381127165397629e-05,0.0,7739.0830078125,0,1,0,0,0,37,0,0,0,1,0,3736.263380932847,31197.407209778077,19314.324052659762,0.001195343021362344,0.0012805535110140178,16.523263682189736,2423.36797806597
9,20,5065.09912109375,3173.556224,914.8154296875,45.74077224731445,86.58625030517578,382.3656311035156,8.197519491659477e-05,0.0,4679.36181640625,0,1,0,0,0,33,0,0,0,1,0,2578.1129284224244,27823.03806253981,14731.641780970154,0.002139996383870503,0.0007125105307740189,260.1067998700705,2512.4999892826095
