sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,21,1982.0672607421875,1175.038464,1415.751953125,67.41676330566406,0.009471612982451916,0.14448413252830505,0.12878187000751495,0.0,0.6730759739875793,0,1,0,0,0,2,0,0,1,0,0,0.2493125281540667,0.04459110513954333,0.05645512736185844,0.06306167397539611,0.012437860976933404,67.28436352945411,891.9814260239466
1,20,2118.3701171875,1226.081792,819.6337890625,40.981689453125,0.023070115596055984,0.32120653986930847,0.22855395078659058,0.0,2.593367338180542,0,1,0,0,0,4,0,0,0,1,0,0.6685460253357108,0.06941593167238058,0.12470167637515232,0.7233952759296749,0.5523238243614648,239.2741117634644,1051.3063459302934
2,19,2024.5653076171875,1207.171072,353.408203125,18.600431442260742,0.025529874488711357,0.27043408155441284,0.21037320792675018,0.0,1.9795063734054565,0,1,0,0,0,3,0,0,0,1,0,0.3221791668507404,0.08913117544848134,0.15507054627682665,0.39912581671962805,0.3367253289369445,124.3084689048564,985.462843892829
3,20,2121.492431640625,1223.968256,840.3203125,42.01601791381836,0.02092318795621395,0.25883468985557556,0.21689118444919586,0.0,1.7012110948562622,0,1,0,0,0,2,0,0,1,0,0,0.47467830002481437,0.10474734329625326,0.11091791088630219,0.7165137926543701,0.31872789630166115,176.86837204328873,843.5922851106391
4,17,2250.026611328125,1091.022336,805.4736328125,47.380802154541016,0.013593172654509544,0.2987440526485443,0.1395445466041565,0.0,2.7166686058044434,0,1,0,0,0,6,0,0,0,1,0,0.48337345843324114,0.08946290091320148,0.11552847231497948,0.050109716667043315,0.8100092776909726,138.84043299114632,1277.2438780384907
5,18,1924.8896484375,1018.29888,270.978515625,15.054362297058105,0.02520211599767208,0.3600160777568817,0.2515047490596771,0.0,2.564653158187866,0,1,0,0,0,6,0,0,0,1,0,0.7840261972244233,0.18652694253892016,0.15298592513942783,0.7054763621249684,0.03474328435772711,272.5227251322044,965.7812126707098
6,13,1415.5230712890625,928.749568,3459.2001953125,266.09234619140625,0.015567917376756668,0.34151655435562134,0.25478634238243103,0.0,2.0871028900146484,0,1,0,0,0,4,0,0,0,1,0,0.4303742145806428,0.17378318497422962,0.2514041755846849,0.2289682193756486,0.014872779158262857,130.43548680857552,1149.508659149419
7,17,1823.02734375,914.08896,993.619140625,58.448184967041016,0.03158392757177353,0.5103283524513245,0.3844721019268036,0.0,3.4751667976379395,0,1,0,0,0,7,0,0,0,1,0,0.8281729186380231,0.1540618723124072,0.2081621917015409,0.28397481512243616,0.5168639198806492,279.6756232635358,1049.4642292365816
8,20,2141.361328125,1154.986496,695.7783203125,34.788917541503906,0.014705516397953033,0.1611223965883255,0.1553005576133728,0.0,0.5628607273101807,0,1,0,0,0,1,1,0,0,0,0,0.19267016139022675,0.042876767555345585,0.10277868986950399,0.9470036994603461,0.8717799998198608,71.41171215343704,886.2170405626766
9,19,2032.84423828125,1218.033152,364.69140625,19.194284439086914,0.026444196701049805,0.2993217408657074,0.2335967719554901,0.0,2.2359023094177246,0,1,0,0,0,1,1,0,0,0,0,0.42678334029100157,0.07999739415396188,0.10276897865439373,0.9793159505641464,0.7185439101849329,167.20955934854868,800.5357286104692
