sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,23,2120.14208984375,1190.296576,2108.4716796875,91.67268371582031,0.0014634383842349052,1.4506242275238037,0.010648401454091072,0.0,28.704505920410156,0,1,0,0,0,25,0,0,0,1,0,11.448096447842977,0.1505528041502027,0.16921492217022177,0.0016518816429236752,0.052391694270559445,,264.53884870064786
1,19,1989.906494140625,1283.452928,358.4765625,18.8671875,0.00111106364056468,1.7585660219192505,0.013509937562048435,0.0,30.95901107788086,0,1,0,0,0,22,0,0,0,1,0,10.539949105801611,0.1768033229431253,0.20928360497778387,0.10905426869477053,0.03927417966026835,,347.1433436518858
2,14,1486.1695556640625,951.47776,3699.9130859375,264.2795104980469,0.0011281940387561917,2.52002215385437,0.018588591367006302,0.0,37.70645523071289,0,1,0,0,0,17,0,0,0,1,0,9.564139613101823,0.09154466168906077,0.15100799647165358,0.06979855710097604,0.02509116923268086,,442.0256903757349
3,17,1790.8621826171875,841.272832,922.7744140625,54.28084945678711,0.0012831847416236997,2.2414166927337646,0.01570570282638073,0.0,34.16089630126953,1,0,1,0,0,19,0,0,0,1,0,10.625348336665809,0.10366891971553557,0.10013847865198433,0.01946496779266399,0.0589315238229794,,385.23287010798987
4,13,1386.22412109375,803.963904,4631.9140625,356.30108642578125,0.002372224349528551,2.935338258743286,0.01917889714241028,0.0,38.40704345703125,0,1,0,0,0,15,0,0,0,1,0,8.490371715831756,0.10127239330462055,0.10664891574239098,0.0024946020955719916,0.02889527087681068,,299.6185713654278
5,21,2203.599365234375,996.722176,1424.107421875,67.81464385986328,0.0019663928542286158,1.6517465114593506,0.011903151869773865,0.0,29.261037826538086,0,1,0,0,0,22,0,0,0,1,0,11.097181632096236,0.1119029517801949,0.13545347684988085,0.0250649037424059,0.15177687886990837,,466.1305541143452
6,22,2303.50048828125,1312.919552,1805.1259765625,82.05118560791016,0.0012368655297905207,1.5491726398468018,0.007593565620481968,0.0,28.972530364990234,0,1,0,0,0,25,0,0,0,1,0,11.446873549996326,0.12011799411592299,0.1172901617952734,0.05054875764040337,0.0628477918985357,,115.11560066493988
7,18,1893.2406005859375,1225.6256,270.3662109375,15.020344734191895,0.002672177040949464,2.1940462589263916,0.015392634086310863,0.0,31.48753547668457,0,1,0,0,0,21,0,0,0,1,0,10.626592099535804,0.13094273801580006,0.15665493623398835,0.014868981270143598,0.024871267980488637,,171.8122370115628
8,21,2197.4765625,1192.050176,1552.1494140625,73.91188049316406,0.001371506368741393,1.6694574356079102,0.010885437950491905,0.0,28.80565643310547,0,1,0,0,0,25,0,0,0,1,0,11.601441769470986,0.15135560253001576,0.16075310653170483,0.04716965118526591,0.018213277824666824,,287.85355604870404
9,19,1995.036376953125,1209.3056,377.3359375,19.859786987304688,0.0009207718539983034,1.9639859199523926,0.011364519596099854,0.0,31.114763259887695,0,1,0,0,0,21,0,0,0,1,0,10.73054112914075,0.1094164336690726,0.2409831660630425,0.011199275242125627,0.1574796476038108,,432.2842530616472
10,17,1793.9366455078125,1034.248192,1001.0595703125,58.88585662841797,0.0008990507340058684,2.0128133296966553,0.015050225891172886,0.0,33.90359115600586,0,1,0,0,0,21,0,0,0,1,0,10.487983304159101,0.2121742121065829,0.1879502355264602,0.020881187155082248,0.007210029938674686,,645.463218556353
11,18,1889.2279052734375,1025.240064,256.283203125,14.237956047058105,0.0011160112917423248,2.1512856483459473,0.01081801950931549,0.0,32.398014068603516,1,0,1,0,0,21,0,0,0,1,0,10.845370508801523,0.07988648231006903,0.10546537298659353,0.159518910314172,0.07153140171408981,,131.88976298382642
12,17,1795.735595703125,1001.544704,1007.955078125,59.29147720336914,0.0027550961822271347,2.4626941680908203,0.022636527195572853,0.0,32.05165481567383,2,0,0,1,0,16,0,0,0,1,0,10.40589291229717,1.7070244362525941,0.05448172801007756,0.20080501557410058,0.058337129332506774,,454.3750375009054
13,23,2403.1875,1155.026944,2103.419921875,91.45304107666016,0.0009431832586415112,1.5522607564926147,0.00884385034441948,0.0,28.34950828552246,0,1,0,0,0,25,0,0,0,1,0,11.395893235338459,0.09133164645749922,0.095578012733238,0.16756550524609867,0.06373913027913743,,291.37726356781815
14,19,1992.683837890625,1244.49024,359.0537109375,18.897563934326172,0.0028528226539492607,1.885237693786621,0.020517220720648766,0.0,30.63032341003418,0,1,0,0,0,19,0,0,0,1,0,10.60364838163752,0.1072958801956562,0.17274364394004046,0.05872111362895885,0.24574029819040819,,310.38642714020887
15,22,2294.719482421875,1276.886528,1791.189453125,81.4177017211914,0.0009854469681158662,1.5298432111740112,0.008766799233853817,0.0,28.970048904418945,0,1,0,0,0,23,0,0,0,1,0,11.350526974870117,0.11344061376257403,0.13305585352768365,0.04816944951499939,0.0025007160265074838,,211.85091705911915
16,18,1890.0438232421875,1207.074816,230.1904296875,12.788357734680176,0.0006666305125690997,2.0956642627716064,0.009239806793630123,0.0,33.30183410644531,0,1,0,0,0,22,0,0,0,1,0,10.9234936041437,0.20296677988592987,0.13161368835209775,0.06512179737985273,0.35811769202409566,,314.4367087613863
