sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,17,1623.36572265625,1021.27872,1029.6923828125,60.57014083862305,0.003173435339704156,2.1701748371124268,0.020404743030667305,0.0,32.00056457519531,0,1,0,0,0,20,0,0,0,1,0,9.945037163437263,0.12439373793026881,0.1285184718192525,0.08258994951659143,0.10960979874886467,,201.6128367350666
1,22,2306.12255859375,1127.670272,1758.794921875,79.94522857666016,0.0021806294098496437,1.5877890586853027,0.017076928168535233,0.0,29.74117088317871,0,1,0,0,0,21,0,0,0,1,0,11.43998446134282,0.13851299306702797,0.12144296070924934,0.08241685407017005,0.03178095598963322,,616.4717586052075
2,10,1085.6077880859375,884.34688,8047.9775390625,804.7977905273438,0.002071176888421178,3.64386248588562,0.039418768137693405,0.0,37.20012664794922,0,1,0,0,0,11,0,0,0,1,0,9.39192043294265,0.17320508084028627,0.37875074180608953,0.025963393977110158,0.05016490233709031,,244.36197491460612
3,16,1690.141357421875,764.445696,1819.5849609375,113.72406005859375,0.002309435745701194,2.17090106010437,0.030980249866843224,0.0,32.02867889404297,0,1,0,0,0,18,0,0,0,1,0,9.591217701245146,0.1335919865176347,0.1412066736750634,0.1486317842280587,0.08177820060761753,,364.51252931043894
4,23,2427.897216796875,1014.016512,2075.2666015625,90.2289810180664,0.0023212828673422337,1.3784146308898926,0.02206539362668991,0.0,28.821826934814453,0,1,0,0,0,22,0,0,0,1,0,11.305113032475143,0.14577439352296961,0.15839789909578647,0.039887713807030205,0.07724220823158884,,598.9961236566206
5,19,1985.8282470703125,1094.411264,347.9697265625,18.31419563293457,0.002169821411371231,1.7148953676223755,0.027323193848133087,0.0,29.75104522705078,0,1,0,0,0,22,0,0,0,1,0,10.562488022529719,0.1479456070782426,0.1285716561080126,0.021022152613983002,0.05187070576715472,,219.16653062905934
6,21,2222.259033203125,1169.511936,1397.7353515625,66.55883026123047,0.0012170302215963602,1.5740410089492798,0.012321224436163902,0.0,28.99594497680664,0,1,0,0,0,21,0,0,0,1,0,11.122449740777714,0.09310933766269777,0.10063462835514944,0.0540650808376669,0.12399257201627242,,325.0418268425762
7,25,2635.387939453125,1340.760064,2505.0390625,100.2015609741211,0.0017780526541173458,1.288515567779541,0.015621424652636051,0.0,28.001657485961914,0,1,0,0,0,23,0,0,0,1,0,11.625280991502308,0.12813983135648932,0.1289934046323423,0.029359046005740796,0.1819281046944642,,582.836938201452
8,18,1908.875,1250.015744,276.419921875,15.35666275024414,0.0011442925315350294,2.05560564994812,0.016589265316724777,0.0,31.5526123046875,0,1,0,0,0,20,0,0,0,1,0,10.535997436978173,0.26689057163103996,0.3379820848718271,0.18058390511240469,0.008324031924362138,,239.2168511792994
9,14,1497.7384033203125,960.260608,3247.76171875,231.9829864501953,0.0026368671096861362,2.745058059692383,0.018474310636520386,0.0,33.83625030517578,0,1,0,0,0,18,0,0,0,1,0,10.099668216350402,0.2108749293430247,0.5563926769664838,0.09044694443108382,0.015862511723286104,,192.9746933032589
10,17,1811.5247802734375,909.848576,1132.533203125,66.61959838867188,0.002909769769757986,2.321906566619873,0.02333104982972145,0.0,31.10083770751953,0,1,0,0,0,19,0,0,0,1,0,10.064767806076059,0.2940750562741948,0.12205564068177224,0.005074288374295928,0.08594793807611034,,179.03116200003993
11,18,1911.6754150390625,1028.100096,300.0986328125,16.67214584350586,0.00200708513148129,2.0540852546691895,0.013824465684592724,0.0,31.075233459472656,0,1,0,0,0,23,0,0,0,1,0,10.406316099804883,0.1351007072092616,0.0779444894237947,0.024593545840118462,0.12692819781678924,,136.9859517649751
12,14,1506.7330322265625,938.169344,3114.4111328125,222.45794677734375,0.0021280674263834953,2.506495475769043,0.02391274832189083,0.0,31.633649826049805,0,1,0,0,0,17,0,0,0,1,0,10.91852664960433,0.14758612361105178,0.15776580811057855,0.003306213106717559,0.019435457713096002,,191.35061044723398
13,21,2226.382080078125,1075.021312,1389.6337890625,66.17304229736328,0.000805131858214736,1.618625283241272,0.012475569732487202,0.0,29.563737869262695,0,1,0,0,0,22,0,0,0,1,0,11.338674985144106,0.1343090921203108,0.145030801800676,0.020712694551718147,0.11157467487846387,,418.1929278680573
14,19,2015.01806640625,1147.511808,327.240234375,17.22317123413086,0.002006388735026121,2.087500810623169,0.029361095279455185,0.0,30.91277313232422,0,1,0,0,0,19,0,0,0,1,0,10.427909558630105,0.10093224615785747,0.11363682629119701,0.025228078772700363,0.16319820395981177,,169.29769436187811
15,17,1811.752685546875,995.119104,964.7119140625,56.74776077270508,0.0022241489496082067,2.2567789554595947,0.033277396112680435,0.0,33.36494445800781,0,1,0,0,0,18,0,0,0,1,0,10.14367427276067,0.22474593762065323,0.15398983725665383,0.1910282063312464,0.11624771728284455,,420.2118167891637
16,20,2127.71337890625,1095.015424,851.7822265625,42.589111328125,0.0008359865169040859,1.6728031635284424,0.013788264244794846,0.0,29.376434326171875,0,1,0,0,0,23,0,0,0,1,0,10.819417450384037,0.21992625707708302,0.18346887399503808,0.011837298722589318,0.045400412109823096,,301.20198778400686
17,21,2227.91259765625,1220.10624,1270.375,60.494049072265625,0.002774452092126012,1.5822668075561523,0.01545847486704588,0.0,31.28436279296875,0,1,0,0,0,22,0,0,0,1,0,11.215979148759676,0.12792179969391296,0.1481881733804133,0.026769525198950386,0.08436676480894682,,356.2740654299978
18,16,1718.0640869140625,1056.817664,1740.248046875,108.7655029296875,0.0013452976709231734,2.4185631275177,0.019842008128762245,0.0,30.917110443115234,0,1,0,0,0,17,0,0,0,1,0,10.49240116480797,0.11854164779733584,0.12728829231611338,0.06774766408665545,0.06670812322442482,,384.75852413777005
19,23,2432.51513671875,1134.170624,2287.6005859375,99.46089935302734,0.002348615089431405,1.4164706468582153,0.018640076741576195,0.0,28.5190372467041,0,1,0,0,0,24,0,0,0,1,0,11.466399031646048,0.1016872635022937,0.102095260247592,0.031136404061411712,0.07093027013330286,,329.1708187135024
20,23,2436.582275390625,1311.7696,1883.53125,81.89266204833984,0.0012540302705019712,1.5170432329177856,0.017585663124918938,0.0,29.491500854492188,0,1,0,0,0,21,0,0,0,1,0,11.497117289033024,0.12934341081955633,0.1290514479389543,0.27547773777334494,0.13804368066484954,,570.4718899087319
21,19,2017.377685546875,1193.3056,380.79296875,20.04173469543457,0.0026400841306895018,1.9436917304992676,0.02080467902123928,0.0,30.17367935180664,0,1,0,0,0,20,0,0,0,1,0,10.75621918120693,0.10942327350732864,0.11918919658047875,0.07656703996736931,0.019575415773224726,,262.75495541893577
22,18,1915.3416748046875,1099.115008,295.0634765625,16.39241600036621,0.002373270457610488,2.0167834758758545,0.01538725383579731,0.0,30.63446044921875,0,1,0,0,0,24,0,0,0,1,0,10.625377880460602,0.14361358909736913,0.2160519636163906,0.04691499811211208,0.1483756803423711,,117.74783731420837
23,17,1813.5234375,1046.474752,1073.90625,63.170955657958984,0.0018225281964987516,2.248964548110962,0.02121121808886528,0.0,31.705093383789062,0,1,0,0,0,18,0,0,0,1,0,9.891193694212742,0.13270645933901248,0.13689875266756707,0.012728429121804552,0.19978208161037783,,138.4257619763779
24,18,1915.873291015625,991.176704,311.814453125,17.32302474975586,0.002209974220022559,1.9153797626495361,0.02352350763976574,0.0,31.480459213256836,0,1,0,0,0,20,0,0,0,1,0,10.387846820011982,0.15042839181085324,0.12051997103758516,0.07500616316749485,0.11142369993388045,,433.1120194267449
25,19,2010.7969970703125,1036.370944,340.7958984375,17.936626434326172,0.003605059115216136,2.104532241821289,0.038278866559267044,0.0,31.000934600830078,0,1,0,0,0,19,0,0,0,1,0,10.674294658247385,0.14081959944269584,0.1419997520691914,0.05712174692730928,0.04191151501610592,,329.87965413416225
26,19,2019.6602783203125,1110.862848,342.693359375,18.0364933013916,0.002044406719505787,1.8363044261932373,0.02247876673936844,0.0,31.28475570678711,0,1,0,0,0,21,0,0,0,1,0,10.664311472435681,0.27772046164550546,0.1361392418785581,0.08097496681613217,0.022345302586119466,,297.2457853628784
27,18,1881.106201171875,1102.702592,281.97265625,15.66514778137207,0.0029642395675182343,2.00510311126709,0.02720021829009056,0.0,31.268619537353516,0,1,0,0,0,21,0,0,0,1,0,10.432018300771245,0.29811319760207455,0.12168531587252168,0.21142322124009227,0.10713266238116011,,297.478154916443
28,14,1504.21142578125,942.874112,3622.4697265625,258.74786376953125,0.001556829665787518,2.9173970222473145,0.027261177077889442,0.0,32.81379318237305,0,1,0,0,0,18,0,0,0,1,0,10.131142871958003,0.16908989243538375,0.19743464565444382,0.05522943120488524,0.2304106516961119,,310.75804212588565
29,20,2136.6533203125,1029.846016,854.607421875,42.73037338256836,0.004270732402801514,1.9121432304382324,0.016950640827417374,0.0,31.3673095703125,0,1,0,0,0,21,0,0,0,1,0,10.907577201932494,0.08453512432693065,0.13032766994511782,0.036123268881019605,0.09572777599102754,,293.17603748492564
30,19,2025.0697021484375,1180.528128,308.064453125,16.213918685913086,0.002680395031347871,1.8816540241241455,0.01464982982724905,0.0,30.301025390625,0,1,0,0,0,23,0,0,0,1,0,10.58230183631292,0.26128219382485846,0.2903090293382851,0.11636069944952793,0.20637517043082051,,455.49938163976645
