sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,18,74.13900756835938,392.275456,291.55859375,16.19770050048828,0.00099901482462883,0.01769944094121456,0.0,0.0,0.07478312402963638,0,1,0,0,0,0,0,1,0,0,1,0.02297466332794688,0.0036108233454302044,0.012395862689906188,0.9795597671903779,0.9787886071131066,45.011364649675,1578.366870563442
1,20,91.03107452392578,413.453312,930.0224609375,46.50112533569336,0.0014234920963644981,0.014559726230800152,0.0,0.0,0.04674613103270531,0,1,0,0,0,0,0,1,0,0,1,0.03052060190339773,0.003005387230345021,0.012440842005425602,0.5323315312974813,0.5429095138964737,77.87411979329627,1242.8174994023993
2,21,78.79971313476562,418.970624,1273.4326171875,60.6396484375,0.0014228003565222025,0.011585813947021961,0.0,0.0,0.07620861381292343,0,1,0,0,0,0,0,1,0,0,1,0.020776900163786246,0.0025509008313221795,0.00020132180409031947,0.98066507210209,0.9805885424598436,31.86367498403776,1254.6318683798745
3,19,70.47750091552734,395.512832,361.171875,19.00904655456543,0.0005657922010868788,0.02050967700779438,0.0,0.0,0.09668246656656265,0,1,0,0,0,0,0,1,0,0,1,0.0361679966701925,0.005858354451629974,0.007123093941031701,0.9815116387882631,0.945001398532092,83.64813373036996,1254.7269503343464
4,19,70.43389129638672,407.23712,375.18359375,19.746505737304688,0.0007500226492993534,0.020121030509471893,0.0,0.0,0.0758848786354065,0,1,0,0,0,0,0,1,0,0,1,0.03059048115185904,0.005434392988014493,0.0010793220787754798,0.9994246675675944,0.9920731900236375,83.20559279332234,1903.558699288266
5,21,70.27581024169922,420.10624,1153.728515625,54.939453125,0.0020761878695338964,0.0484948493540287,0.0,0.0,0.2940998077392578,0,1,0,0,0,0,0,1,0,0,1,0.08075811020090766,0.025492221478410435,0.002730775875834604,0.9986359581766029,0.9969741952249057,189.09352307252638,1925.0408368496771
6,19,70.90447998046875,400.483328,337.9599609375,17.78736686706543,0.004475262016057968,0.01987120509147644,0.0,0.0,0.08739390969276428,0,1,0,0,0,0,0,1,0,0,1,0.041389518881860564,0.005172919040577713,0.0009791828563780192,0.9955388011509355,0.9905516624127749,65.1154787748816,1451.7230898703865
7,16,71.66556549072266,369.73312,1796.6572265625,112.29107666015625,0.00131051370408386,0.02624637447297573,0.0,0.0,0.07705973088741302,0,1,0,0,0,0,0,1,0,0,1,0.029046888634798845,0.0013985640518614506,0.0026534125863940904,0.8260797920838845,0.8658398350312979,74.98295187767988,1113.1502937510543
8,19,68.84883117675781,382.000128,307.18359375,16.167556762695312,0.002628857968375087,0.01593109965324402,0.0,0.0,0.07671145349740982,0,1,0,0,0,0,0,1,0,0,1,0.02383176721688587,0.007427557008949065,0.003550979650012699,0.9909899077619593,0.9918160782977404,46.57959301817806,1411.9520230254918
9,23,68.92435455322266,439.196672,1882.93212890625,81.86661529541016,0.0010381246684119105,0.014618324115872383,0.0,0.0,0.0446644127368927,0,1,0,0,0,0,0,1,0,0,1,0.01625130582020072,0.002569638041035917,0.0017273083064451855,0.9956315782476209,0.7602894567340419,59.286591156101544,1813.464246092661
