sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,857.6665649414062,703.067136,12606.2763671875,420.209228515625,0.21541760861873627,0.1784406155347824,0.17475104331970215,5.288182819640497e-06,1.0189703702926636,8,0,0,0,1,8,0,0,0,1,1,0.431762789538993,2.597802977138099,0.013300168077445246,0.6419471593656008,0.3357147638491793,196.74249968736376,
1,22,577.33935546875,821.876736,10897.0263671875,495.31939697265625,0.19547399878501892,0.29138055443763733,0.2979792058467865,2.7629250325844623e-05,2.3876218795776367,3,0,0,0,1,4,0,0,0,1,0,0.4352159811454982,0.5124248080419895,0.048088291821684837,0.9309000195342191,0.9530378841960556,651.7639514387322,
2,17,441.24993896484375,565.410816,8322.63671875,489.5668640136719,0.14272208511829376,0.26234060525894165,0.271036297082901,4.8154412070289254e-05,1.2697240114212036,3,0,0,0,1,4,0,0,0,1,0,0.39961236007848727,0.8070476106831446,0.07682046471142098,0.8927649738272392,0.17373370295489776,655.8656146810865,
3,26,628.780029296875,674.058752,10964.787109375,421.72259521484375,0.11155246198177338,0.17169752717018127,0.16681815683841705,1.6137091733980924e-05,1.4380693435668945,8,0,0,0,1,10,0,0,0,1,0,0.35741128774342656,0.4051836425303419,0.03820515171497786,0.9936142128849631,0.060230852038515956,950.2199217106518,
4,17,444.9884033203125,642.20416,12381.609375,728.3299560546875,0.1565135270357132,0.26090455055236816,0.28337833285331726,6.393260264303535e-05,0.7943893671035767,2,0,0,1,0,1,1,0,0,0,0,0.2256689128822943,0.07756546340350862,0.07670318052655548,0.10435621934589653,0.22570334691617022,148.0452263649967,
5,19,461.1246032714844,523.330048,8356.3623046875,439.80853271484375,0.16757847368717194,0.2664039731025696,0.29186323285102844,5.4573207307839766e-05,1.1612224578857422,5,0,0,0,1,7,0,0,0,1,0,0.34389655633011,0.2630960362152275,0.0770431703937911,0.933497617457035,0.9834417260484754,455.4486922120051,
6,19,461.1377258300781,549.026816,9263.3935546875,487.5470275878906,0.18028025329113007,0.24544961750507355,0.2430560439825058,9.040585609909613e-06,1.2975420951843262,4,0,0,0,1,3,0,0,0,1,0,0.4589360262509487,0.06259627213433357,0.0032481488957518956,0.8777317156463009,0.00330277152649025,405.0745788954451,
7,18,432.59375,535.850496,10265.548828125,570.3082885742188,0.1798880398273468,0.3539358377456665,0.3892562985420227,2.0224943000357598e-05,1.9769997596740723,3,0,0,0,1,5,0,0,0,1,0,0.5048795601117678,0.10181909620589924,0.03298870258000153,0.9497831983078705,0.9229076874890709,567.4627190278669,
8,18,431.5904235839844,523.933696,11945.28125,663.6267700195312,0.10897809267044067,0.22331523895263672,0.2573895752429962,3.451583324931562e-05,0.9878008365631104,3,0,0,0,1,3,0,0,0,1,1,0.18887469265341125,0.006366037523780399,0.01012325499256321,0.9840416820581155,0.9842664023165509,282.90834474876243,
9,17,406.76239013671875,504.43776,8425.9267578125,495.64276123046875,0.2142636626958847,0.38793039321899414,0.416077196598053,2.4979570298455656e-05,1.9218717813491821,3,0,0,0,1,5,0,0,0,1,0,0.5725675930704675,0.9493751995369679,0.173538801003614,0.8016496022203932,0.649809258922007,1046.978235136508,
10,18,432.3645324707031,508.833792,8897.1884765625,494.2882385253906,0.12645021080970764,0.27062493562698364,0.2844919264316559,1.6238285752478987e-05,1.290021300315857,3,0,0,0,1,3,0,0,0,1,1,0.3639809166348062,0.9826821263175435,0.22794029945073085,0.24031127331565127,0.28275710895751066,329.5835947240225,
11,16,382.4653015136719,486.493184,12355.953125,772.2470703125,0.3646082878112793,0.570818305015564,0.44912615418434143,0.00015020983119029552,2.2898178100585938,3,0,0,0,1,2,0,0,1,0,0,0.5341627373586088,2.983778665385091,0.13632930220379824,0.9631388157561507,0.11925053465871388,274.62229768944553,
12,14,336.2826232910156,428.310528,9736.8828125,695.4916381835938,0.19151175022125244,0.38590919971466064,0.43373775482177734,6.798732647439465e-05,1.1858493089675903,2,0,0,1,0,2,0,0,1,0,1,0.32198702695220555,0.1100662373961041,0.015168711534310736,0.9491512320807896,0.987465525135061,491.8728632259317,
13,12,287.91192626953125,381.265408,8231.1962890625,685.9330444335938,0.1179293692111969,0.29890528321266174,0.3000045716762543,4.218440517433919e-05,0.8366420865058899,3,0,0,0,1,3,0,0,0,1,1,0.25269884510454266,0.01743493162743548,0.058505393402085576,0.2947405944484055,0.25621250278929414,116.03083673325231,
14,21,507.3931579589844,505.168384,10427.76953125,496.5604553222656,0.14564958214759827,0.2788275480270386,0.29284027218818665,8.61528951645596e-06,1.8600353002548218,2,0,0,1,0,3,0,0,0,1,0,0.35249392876631885,0.07042645538262174,0.03945606429194741,0.9324229961566957,0.9769621249649706,653.4138759467369,
15,17,409.2530517578125,547.579392,11713.453125,689.0266723632812,0.2575230002403259,0.47412943840026855,0.44428420066833496,5.1103110308758914e-05,2.3171467781066895,4,0,0,0,1,5,0,0,0,1,0,0.4673823472836795,0.11720217724332875,0.024056122429491636,0.6154320268306626,0.12923948456448614,1006.6964086522916,
16,20,483.6505432128906,539.254784,12884.6015625,644.2301025390625,0.29078349471092224,0.26426294445991516,0.27923569083213806,2.2850521418149583e-05,1.2425696849822998,6,0,0,0,1,6,0,0,0,1,1,0.39498460179055894,1.0065963555128215,0.0869221347029806,0.7666807186584172,0.9212233899900428,920.2117492677983,
17,27,683.8220825195312,740.73856,12000.392578125,444.458984375,0.127420574426651,0.20410040020942688,0.22641584277153015,9.08245419850573e-06,1.5744752883911133,5,0,0,0,1,7,0,0,0,1,0,0.3909045773752598,0.06006221397178424,0.07424087037180083,0.037595784320640285,0.02542396475526893,754.3651582841392,
18,23,591.1395874023438,778.104832,11471.51953125,498.76171875,0.08927924185991287,0.17105337977409363,0.18589439988136292,1.2137914382037707e-05,1.2331123352050781,5,0,0,0,1,5,0,0,0,1,1,0.2908960974013809,0.20767652889258376,0.011779599823125875,0.9510783322727625,0.9675830185561521,468.9488519473984,
19,22,565.5718994140625,680.928768,14495.79296875,658.8997192382812,0.08154824376106262,0.18273349106311798,0.2082308530807495,3.070354796363972e-05,1.0294816493988037,3,0,0,0,1,4,0,0,0,1,0,0.2426984119575212,0.21054217322062055,0.22129283979625447,0.9803395467995556,0.30466074517136177,247.67404628544483,
