sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,3044.971435546875,1727.458816,12606.884765625,420.2295227050781,0.1704714298248291,0.16302740573883057,0.00011309896217426285,5.288182819640497e-06,0.8765019774436951,8,0,0,0,1,8,0,0,0,1,1,0.6512101331245774,2.314141183437562,0.0031782514730450406,0.952755821137176,0.2482276821579316,238.68628697426766,
1,22,1686.22998046875,2115.920384,10897.66015625,495.34820556640625,0.1830580234527588,0.24713711440563202,0.00016254263755399734,2.7629250325844623e-05,1.3317358493804932,3,0,0,0,1,5,0,0,0,1,0,0.5250246946608352,0.9692078013652334,0.07589004616791997,0.9578226441360924,0.7050861655421927,388.15843598575,
2,17,1298.0899658203125,1295.262208,8323.2333984375,489.6019592285156,0.17032288014888763,0.29628676176071167,9.389888145960867e-05,4.8154412070289254e-05,2.67411208152771,3,0,0,0,1,4,0,0,0,1,0,0.7011089342072074,0.9203706558028917,0.11839926065741488,0.9366542521342421,0.18794385226149604,848.0728524425889,
3,26,2146.37255859375,1625.424896,10964.8759765625,421.72601318359375,0.09141138941049576,0.15741001069545746,0.0001281873119296506,1.6137091733980924e-05,1.704974889755249,8,0,0,0,1,11,0,0,0,1,0,0.7067801945857991,0.6561454966862028,0.32360796376378564,0.9783830330768111,0.5515416480042311,782.1196602158328,
4,17,1307.017333984375,1531.972608,12382.2958984375,728.370361328125,0.19354088604450226,0.2779262661933899,0.00010069825657410547,6.393260264303535e-05,2.1450748443603516,2,0,0,1,0,1,1,0,0,0,0,0.5615837096526363,0.06551701503600221,0.09692359385978375,0.10406336617628226,0.021435264223181993,139.18086952143835,
5,19,1425.0130615234375,1150.040576,8356.5078125,439.8161926269531,0.1696629822254181,0.21490466594696045,0.00010980252409353852,5.4573207307839766e-05,1.5741997957229614,5,0,0,0,1,6,0,0,0,1,0,0.5501921643390812,0.6276350490797902,0.004503000703163118,0.9558272249140086,0.9162239794751129,582.8256851131296,
6,19,1420.8707275390625,1236.641792,9263.4326171875,487.5491027832031,0.10974724590778351,0.1872175931930542,9.791569755179808e-05,9.040585609909613e-06,1.2131719589233398,4,0,0,0,1,4,0,0,0,1,1,0.6393181988750599,0.041499948416386975,0.016679174545910037,0.8978886151649742,0.11244090270971979,406.6350744696848,
7,18,1345.373291015625,1195.03104,10265.7841796875,570.3213500976562,0.18242760002613068,0.3159111738204956,0.00017579985433258116,2.0224943000357598e-05,1.9360251426696777,3,0,0,0,1,3,0,0,0,1,1,0.7324062443176059,0.2924434025903564,0.014672245398575118,0.9749529367585368,0.8578284956382523,318.44148801669587,
8,18,1345.7322998046875,1160.33024,11945.2177734375,663.6232299804688,0.07816047966480255,0.15945905447006226,0.00011424109106883407,3.451583324931562e-05,0.6040773987770081,3,0,0,0,1,3,0,0,0,1,1,0.14740458222399605,0.004663049002743391,0.006067967241091821,0.9823757599800623,0.9763512680395909,187.92001528465127,
9,17,1269.928955078125,1098.187264,8426.1220703125,495.65423583984375,0.1463087946176529,0.2691994905471802,0.00010777179704746231,2.4979570298455656e-05,1.684410572052002,3,0,0,0,1,3,0,0,0,1,1,0.43600209438459997,0.28676144310336704,0.019579933654893113,0.8981542335819965,0.7934907636829086,530.1679695824555,
