n_atoms,method,time,memory
4,prediction,33.83091354370117,337.271296
4,autograd,158.28787231445312,381.953024
4,prediction,32.3633918762207,335.942656
4,autograd,156.2961883544922,381.953024
4,prediction,33.80614471435547,335.942656
4,autograd,155.88861083984375,381.953024
5,prediction,32.61555099487305,337.973248
5,autograd,194.3376922607422,397.02016
5,prediction,32.00783920288086,337.973248
5,autograd,197.0921630859375,397.02016
5,prediction,32.2213134765625,337.973248
5,autograd,193.6279754638672,397.02016
5,prediction,32.10140609741211,337.973248
5,autograd,195.8318328857422,397.02016
5,prediction,32.10233688354492,337.973248
5,autograd,195.52870178222656,397.02016
5,prediction,32.36220932006836,337.973248
5,autograd,195.9219512939453,397.02016
5,prediction,32.51001739501953,337.973248
5,autograd,194.00498962402344,397.02016
5,prediction,31.977407455444336,337.973248
5,autograd,194.5108184814453,397.02016
5,prediction,32.70751953125,337.973248
5,autograd,197.27052307128906,397.02016
6,prediction,33.21004867553711,340.769792
6,autograd,229.61766052246094,412.517888
6,prediction,32.53324890136719,340.769792
6,autograd,229.15994262695312,412.517888
6,prediction,32.4771842956543,340.769792
6,autograd,227.41897583007812,412.517888
6,prediction,32.875423431396484,340.769792
6,autograd,228.34994506835938,412.517888
6,prediction,32.58879852294922,340.769792
6,autograd,229.2642822265625,412.517888
6,prediction,32.96464157104492,340.769792
6,autograd,228.34471130371094,412.517888
6,prediction,32.41334533691406,340.769792
6,autograd,227.37008666992188,412.517888
6,prediction,32.337825775146484,340.769792
6,autograd,228.2783966064453,412.517888
6,prediction,32.525665283203125,340.769792
6,autograd,228.44140625,412.517888
6,prediction,32.600799560546875,340.769792
6,autograd,228.2208709716797,412.517888
7,prediction,34.05926513671875,343.533568
7,autograd,259.6986999511719,429.786624
7,prediction,32.41471862792969,343.533568
7,autograd,261.602294921875,429.786624
7,prediction,33.57872009277344,343.533568
7,autograd,260.81793212890625,429.786624
7,prediction,32.17203140258789,343.533568
7,autograd,260.2926025390625,429.786624
7,prediction,32.447265625,343.533568
7,autograd,261.6310729980469,429.786624
7,prediction,34.114559173583984,343.533568
7,autograd,262.47271728515625,429.786624
7,prediction,32.77312088012695,343.533568
7,autograd,261.02764892578125,429.786624
7,prediction,33.22060775756836,343.533568
7,autograd,262.83929443359375,429.786624
7,prediction,32.77324676513672,343.533568
7,autograd,263.1619873046875,429.786624
7,prediction,32.38502502441406,343.533568
7,autograd,260.966552734375,429.786624
8,prediction,35.39174270629883,347.063296
8,autograd,295.0340576171875,449.348608
8,prediction,32.598785400390625,347.063296
8,autograd,292.739990234375,449.348608
8,prediction,32.43417739868164,347.063296
8,autograd,293.239990234375,449.348608
8,prediction,33.47455978393555,347.063296
8,autograd,293.5941467285156,449.348608
8,prediction,32.886783599853516,347.063296
8,autograd,292.85150146484375,449.348608
8,prediction,32.780609130859375,347.063296
8,autograd,293.6473693847656,449.348608
8,prediction,33.7224006652832,346.565632
8,autograd,293.7230529785156,446.233088
8,prediction,33.003456115722656,346.565632
8,autograd,295.1628723144531,446.233088
8,prediction,32.709632873535156,346.565632
8,autograd,294.0109558105469,446.233088
8,prediction,33.06924819946289,347.063296
8,autograd,293.1703186035156,449.348608
9,prediction,35.980289459228516,352.590336
9,autograd,330.12713623046875,471.645184
9,prediction,33.26873779296875,352.590336
9,autograd,327.7066345214844,471.645184
9,prediction,33.84431838989258,352.590336
9,autograd,333.01995849609375,471.645184
9,prediction,34.19852828979492,352.4736
9,autograd,328.41522216796875,470.25152
9,prediction,33.20912170410156,352.4736
9,autograd,326.93963623046875,470.25152
9,prediction,33.104190826416016,352.4736
9,autograd,326.51953125,470.25152
9,prediction,33.22675323486328,352.590336
9,autograd,325.818359375,471.645184
9,prediction,33.20502471923828,352.590336
9,autograd,329.7239074707031,471.645184
9,prediction,33.36735916137695,352.590336
9,autograd,329.9972839355469,471.645184
9,prediction,33.163265228271484,352.590336
9,autograd,333.457275390625,471.645184
10,prediction,34.7402229309082,356.063744
10,autograd,362.01165771484375,499.365376
10,prediction,33.53984069824219,356.063744
10,autograd,366.966796875,499.365376
10,prediction,33.91823959350586,356.063744
10,autograd,362.3116760253906,499.365376
10,prediction,33.815521240234375,356.063744
10,autograd,364.1743469238281,499.365376
10,prediction,33.49913787841797,356.063744
10,autograd,361.34808349609375,499.365376
10,prediction,34.017215728759766,356.063744
10,autograd,365.4502258300781,499.365376
10,prediction,34.2874870300293,355.61728
10,autograd,363.5038146972656,496.969728
10,prediction,34.5088005065918,355.61728
10,autograd,362.6546936035156,496.969728
10,prediction,35.85843276977539,356.063744
10,autograd,362.5871276855469,499.365376
10,prediction,33.59027099609375,356.063744
10,autograd,364.1446228027344,499.365376
11,prediction,34.37779235839844,360.141312
11,autograd,394.2389831542969,520.131584
11,prediction,34.17219161987305,360.141312
11,autograd,394.6416320800781,520.131584
11,prediction,33.66707229614258,360.141312
11,autograd,394.7120056152344,520.131584
11,prediction,34.541568756103516,360.708096
11,autograd,398.6820983886719,518.59712
11,prediction,34.06332778930664,360.708096
11,autograd,394.3853759765625,518.59712
11,prediction,34.92995071411133,360.141312
11,autograd,396.40985107421875,520.131584
11,prediction,33.9073600769043,360.638976
11,autograd,397.84344482421875,521.947648
11,prediction,34.39936065673828,360.638976
11,autograd,401.48809814453125,521.947648
11,prediction,34.01113510131836,360.708096
11,autograd,392.7500915527344,518.59712
11,prediction,34.66854476928711,360.638976
11,autograd,393.97296142578125,521.947648
12,prediction,35.316734313964844,365.664768
12,autograd,430.40155029296875,555.534336
12,prediction,34.625633239746094,365.664768
12,autograd,430.814208984375,555.534336
12,prediction,34.7852783203125,365.158912
12,autograd,431.774658203125,551.366656
12,prediction,34.40639877319336,363.167744
12,autograd,432.5509338378906,540.0064
12,prediction,34.45481491088867,363.167744
12,autograd,434.7101745605469,540.0064
12,prediction,34.402305603027344,363.167744
12,autograd,430.9329528808594,540.0064
12,prediction,34.85388946533203,366.162432
12,autograd,437.2367248535156,552.664576
12,prediction,35.16508865356445,366.162432
12,autograd,431.3612060546875,552.664576
12,prediction,34.742271423339844,366.162432
12,autograd,428.78759765625,552.664576
12,prediction,35.17552185058594,365.664768
12,autograd,425.50067138671875,555.534336
13,prediction,36.26496124267578,372.461056
13,autograd,463.935302734375,580.186624
13,prediction,35.831966400146484,372.461056
13,autograd,461.0322570800781,580.186624
13,prediction,36.038848876953125,372.461056
13,autograd,461.2956237792969,580.186624
13,prediction,37.03807830810547,371.99104
13,autograd,460.8868713378906,578.758656
13,prediction,35.90460968017578,371.99104
13,autograd,467.0896911621094,578.758656
13,prediction,35.59920120239258,371.518976
13,autograd,461.92230224609375,579.298816
13,prediction,34.365440368652344,365.197824
13,autograd,464.77618408203125,555.547648
13,prediction,34.5272331237793,365.197824
13,autograd,465.7674255371094,555.547648
13,prediction,34.61427307128906,365.70368
13,autograd,464.3412780761719,558.134272
13,prediction,34.644065856933594,362.71104
13,autograd,460.3156433105469,542.58944
14,prediction,36.31843185424805,378.178048
14,autograd,498.6943359375,619.188224
14,prediction,35.85740661621094,378.178048
14,autograd,497.0516357421875,619.188224
14,prediction,35.6212158203125,378.178048
14,autograd,498.3879699707031,619.188224
14,prediction,36.15635299682617,378.648064
14,autograd,498.11236572265625,620.144128
14,prediction,37.42185592651367,379.121664
14,autograd,499.80517578125,619.993088
14,prediction,35.769344329833984,379.121664
14,autograd,499.4682922363281,619.993088
14,prediction,36.035743713378906,372.97408
14,autograd,499.98736572265625,587.319808
14,prediction,36.56275177001953,375.113728
14,autograd,505.9205017089844,593.242624
14,prediction,35.67814254760742,376.365056
14,autograd,499.3318176269531,595.77344
14,prediction,38.5074577331543,376.647168
14,autograd,499.2085266113281,603.080704
15,prediction,36.85683059692383,385.781248
15,autograd,557.7081298828125,654.528512
15,prediction,35.74272155761719,385.781248
15,autograd,556.3596801757812,654.528512
15,prediction,38.338558197021484,385.781248
15,autograd,554.6864624023438,654.528512
15,prediction,36.27212905883789,383.653376
15,autograd,543.317138671875,638.805504
15,prediction,35.80313491821289,383.653376
15,autograd,543.8822631835938,638.805504
15,prediction,36.46031951904297,383.653376
15,autograd,543.6723022460938,638.805504
15,prediction,36.733951568603516,384.83456
15,autograd,554.3587646484375,652.278784
15,prediction,37.563392639160156,384.364544
15,autograd,551.1546630859375,651.298304
15,prediction,36.236351013183594,384.364544
15,autograd,550.8925170898438,651.298304
15,prediction,36.674591064453125,383.795712
15,autograd,546.8703002929688,642.631168
16,prediction,37.82854461669922,389.70368
16,autograd,602.0260009765625,669.310976
16,prediction,35.77251052856445,389.648384
16,autograd,596.421630859375,672.550912
16,prediction,35.63600158691406,389.648384
16,autograd,592.3510131835938,672.550912
16,prediction,35.777503967285156,389.756416
16,autograd,598.1151733398438,673.396736
16,prediction,35.95248031616211,389.70368
16,autograd,601.2418823242188,669.310976
16,prediction,35.93427276611328,389.594624
16,autograd,590.9083862304688,666.96704
16,prediction,37.594913482666016,392.93696
16,autograd,631.05419921875,688.215552
16,prediction,36.373470306396484,392.93696
16,autograd,636.515380859375,688.215552
16,prediction,36.47385787963867,389.834752
16,autograd,600.6179809570312,677.851136
16,prediction,35.681278228759766,389.594624
16,autograd,590.9596557617188,666.96704
17,prediction,36.47372817993164,392.53504
17,autograd,678.6065063476562,688.322048
17,prediction,37.5456657409668,392.53504
17,autograd,674.1392822265625,688.322048
17,prediction,37.07222366333008,392.754688
17,autograd,676.8135375976562,690.20672
17,prediction,36.968448638916016,396.79232
17,autograd,704.0879516601562,708.92544
17,prediction,37.89926528930664,398.821376
17,autograd,725.9883422851562,717.300736
17,prediction,37.299903869628906,399.441408
17,autograd,727.8930053710938,722.74176
17,prediction,37.20275115966797,397.599744
17,autograd,707.3853149414062,713.211904
17,prediction,36.67558288574219,397.599744
17,autograd,707.6034545898438,713.211904
17,prediction,37.98012924194336,397.19936
17,autograd,710.830078125,711.592448
17,prediction,35.9659538269043,389.743616
17,autograd,647.836669921875,672.950272
18,prediction,37.67295837402344,404.828672
18,autograd,810.3546752929688,747.369984
18,prediction,37.47020721435547,404.276224
18,autograd,807.1577758789062,746.37568
18,prediction,38.05574417114258,404.276224
18,autograd,809.9501953125,746.37568
18,prediction,37.38828659057617,404.828672
18,autograd,810.2256469726562,747.369984
18,prediction,37.45817565917969,404.276224
18,autograd,811.5025634765625,746.37568
18,prediction,37.2756462097168,404.276224
18,autograd,806.2811889648438,746.37568
18,prediction,38.77484893798828,408.997376
18,autograd,848.6666259765625,768.400384
18,prediction,37.789695739746094,408.997376
18,autograd,854.7737426757812,768.400384
18,prediction,38.26508712768555,409.830912
18,autograd,850.0899658203125,767.465984
18,prediction,38.41331100463867,405.814272
18,autograd,817.9517211914062,752.937984
19,prediction,38.03955078125,411.460608
19,autograd,914.9336547851562,786.349568
19,prediction,38.571136474609375,414.562304
19,autograd,924.2941284179688,793.935872
19,prediction,38.62937545776367,414.898688
