"trainer/global_step","2e4 - _step","2e4 - _step__MIN","2e4 - _step__MAX","2e4 - val-Loss F","2e4 - val-Loss F__MIN","2e4 - val-Loss F__MAX","4e5 EF - _step","4e5 EF - _step__MIN","4e5 EF - _step__MAX","4e5 EF - val-Loss F","4e5 EF - val-Loss F__MIN","4e5 EF - val-Loss F__MAX","7e5 - _step","7e5 - _step__MIN","7e5 - _step__MAX","7e5 - val-Loss F","7e5 - val-Loss F__MIN","7e5 - val-Loss F__MAX","5e5 - _step","5e5 - _step__MIN","5e5 - _step__MAX","5e5 - val-Loss F","5e5 - val-Loss F__MIN","5e5 - val-Loss F__MAX","3e5 - _step","3e5 - _step__MIN","3e5 - _step__MAX","3e5 - val-Loss F","3e5 - val-Loss F__MIN","3e5 - val-Loss F__MAX","6e5 - _step","6e5 - _step__MIN","6e5 - _step__MAX","6e5 - val-Loss F","6e5 - val-Loss F__MIN","6e5 - val-Loss F__MAX","2e5 - _step","2e5 - _step__MIN","2e5 - _step__MAX","2e5 - val-Loss F","2e5 - val-Loss F__MIN","2e5 - val-Loss F__MAX","1e4 EF - _step","1e4 EF - _step__MIN","1e4 EF - _step__MAX","1e4 EF - val-Loss F","1e4 EF - val-Loss F__MIN","1e4 EF - val-Loss F__MAX","1e6 EF - _step","1e6 EF - _step__MIN","1e6 EF - _step__MAX","1e6 EF - val-Loss F","1e6 EF - val-Loss F__MIN","1e6 EF - val-Loss F__MAX","1e3 - _step","1e3 - _step__MIN","1e3 - _step__MAX","1e3 - val-Loss F","1e3 - val-Loss F__MIN","1e3 - val-Loss F__MAX","1e5 EF - _step","1e5 EF - _step__MIN","1e5 EF - _step__MAX","1e5 EF - val-Loss F","1e5 EF - val-Loss F__MIN","1e5 EF - val-Loss F__MAX","1e6 - _step","1e6 - _step__MIN","1e6 - _step__MAX","1e6 - val-Loss F","1e6 - val-Loss F__MIN","1e6 - val-Loss F__MAX","1e4 - _step","1e4 - _step__MIN","1e4 - _step__MAX","1e4 - val-Loss F","1e4 - val-Loss F__MIN","1e4 - val-Loss F__MAX","1e5 - _step","1e5 - _step__MIN","1e5 - _step__MAX","1e5 - val-Loss F","1e5 - val-Loss F__MIN","1e5 - val-Loss F__MAX","4e5 - _step","4e5 - _step__MIN","4e5 - _step__MAX","4e5 - val-Loss F","4e5 - val-Loss F__MIN","4e5 - val-Loss F__MAX","8e5 - _step","8e5 - _step__MIN","8e5 - _step__MAX","8e5 - val-Loss F","8e5 - val-Loss F__MIN","8e5 - val-Loss F__MAX","1.7e6 - _step","1.7e6 - _step__MIN","1.7e6 - _step__MAX","1.7e6 - val-Loss F","1.7e6 - val-Loss F__MIN","1.7e6 - val-Loss F__MAX","8e4 - _step","8e4 - _step__MIN","8e4 - _step__MAX","8e4 - val-Loss F","8e4 - val-Loss F__MIN","8e4 - val-Loss F__MAX","6e4 - _step","6e4 - _step__MIN","6e4 - _step__MAX","6e4 - val-Loss F","6e4 - val-Loss F__MIN","6e4 - val-Loss F__MAX","4e4 - _step","4e4 - _step__MIN","4e4 - _step__MAX","4e4 - val-Loss F","4e4 - val-Loss F__MIN","4e4 - val-Loss F__MAX"
"3599","","","","","","","7203","7203","7203","0.03910006210207939","0.03910006210207939","0.03910006210207939","","","","","","","","","","","","","7203","7203","7203","0.03645390644669533","0.03645390644669533","0.03645390644669533","","","","","","","","","","","","","7224","7224","7224","0.05926764756441116","0.05926764756441116","0.05926764756441116","7203","7203","7203","0.03904155641794205","0.03904155641794205","0.03904155641794205","7440","7440","7440","0.1064322292804718","0.1064322292804718","0.1064322292804718","7203","7203","7203","0.04030348360538483","0.04030348360538483","0.04030348360538483","7203","7203","7203","0.03850576654076576","0.03850576654076576","0.03850576654076576","7224","7224","7224","0.04949072375893593","0.04949072375893593","0.04949072375893593","7203","7203","7203","0.03643375262618065","0.03643375262618065","0.03643375262618065","7203","7203","7203","0.03698866814374924","0.03698866814374924","0.03698866814374924","7203","7203","7203","0.03746546432375908","0.03746546432375908","0.03746546432375908","7203","7203","7203","0.0361623540520668","0.0361623540520668","0.0361623540520668","7203","7203","7203","0.03755214437842369","0.03755214437842369","0.03755214437842369","7204","7204","7204","0.037034567445516586","0.037034567445516586","0.037034567445516586","7206","7206","7206","0.0379219613969326","0.0379219613969326","0.0379219613969326"
"6399","12804","12804","12804","0.03030017763376236","0.03030017763376236","0.03030017763376236","","","","","","","12804","12804","12804","0.029758349061012268","0.029758349061012268","0.029758349061012268","12804","12804","12804","0.029750362038612366","0.029750362038612366","0.029750362038612366","","","","","","","12804","12804","12804","0.03208058327436447","0.03208058327436447","0.03208058327436447","12804","12804","12804","0.0324445515871048","0.0324445515871048","0.0324445515871048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7199","","","","","","","14406","14406","14406","0.033025048673152924","0.033025048673152924","0.033025048673152924","","","","","","","","","","","","","14406","14406","14406","0.030064590275287628","0.030064590275287628","0.030064590275287628","","","","","","","","","","","","","14448","14448","14448","0.057278528809547424","0.057278528809547424","0.057278528809547424","14406","14406","14406","0.031414441764354706","0.031414441764354706","0.031414441764354706","14881","14881","14881","0.10550040751695633","0.10550040751695633","0.10550040751695633","14406","14406","14406","0.03270994499325752","0.03270994499325752","0.03270994499325752","14406","14406","14406","0.028803952038288116","0.028803952038288116","0.028803952038288116","14448","14448","14448","0.045916084200143814","0.045916084200143814","0.045916084200143814","14406","14406","14406","0.03070390410721302","0.03070390410721302","0.03070390410721302","14406","14406","14406","0.032275646924972534","0.032275646924972534","0.032275646924972534","14406","14406","14406","0.028988316655158997","0.028988316655158997","0.028988316655158997","14406","14406","14406","0.030433105304837227","0.030433105304837227","0.030433105304837227","14407","14407","14407","0.031308311969041824","0.031308311969041824","0.031308311969041824","14409","14409","14409","0.03109218180179596","0.03109218180179596","0.03109218180179596","14413","14413","14413","0.03244563564658165","0.03244563564658165","0.03244563564658165"
"10799","","","","","","","21609","21609","21609","0.02761894464492798","0.02761894464492798","0.02761894464492798","","","","","","","","","","","","","21609","21609","21609","0.026342211291193962","0.026342211291193962","0.026342211291193962","","","","","","","","","","","","","21672","21672","21672","0.05642791464924812","0.05642791464924812","0.05642791464924812","21609","21609","21609","0.028553960844874382","0.028553960844874382","0.028553960844874382","22322","22322","22322","0.10437033325433731","0.10437033325433731","0.10437033325433731","21609","21609","21609","0.02918400801718235","0.02918400801718235","0.02918400801718235","21609","21609","21609","0.025012610480189323","0.025012610480189323","0.025012610480189323","21672","21672","21672","0.044951070100069046","0.044951070100069046","0.044951070100069046","21609","21609","21609","0.027492621913552284","0.027492621913552284","0.027492621913552284","21609","21609","21609","0.02525494061410427","0.02525494061410427","0.02525494061410427","21609","21609","21609","0.02541785128414631","0.02541785128414631","0.02541785128414631","21609","21609","21609","0.026023654267191887","0.026023654267191887","0.026023654267191887","21611","21611","21611","0.027243981137871742","0.027243981137871742","0.027243981137871742","21614","21614","21614","0.027956761419773102","0.027956761419773102","0.027956761419773102","21620","21620","21620","0.029634956270456314","0.029634956270456314","0.029634956270456314"
"12799","25609","25609","25609","0.024553459137678146","0.024553459137678146","0.024553459137678146","","","","","","","25609","25609","25609","0.023445645347237587","0.023445645347237587","0.023445645347237587","25609","25609","25609","0.025588050484657288","0.025588050484657288","0.025588050484657288","","","","","","","25609","25609","25609","0.024700578302145004","0.024700578302145004","0.024700578302145004","25609","25609","25609","0.027333632111549377","0.027333632111549377","0.027333632111549377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14399","","","","","","","28812","28812","28812","0.02583647333085537","0.02583647333085537","0.02583647333085537","","","","","","","","","","","","","28812","28812","28812","0.023244524374604225","0.023244524374604225","0.023244524374604225","","","","","","","","","","","","","28896","28896","28896","0.05607544630765915","0.05607544630765915","0.05607544630765915","28812","28812","28812","0.025822099298238754","0.025822099298238754","0.025822099298238754","29763","29763","29763","0.10418283194303513","0.10418283194303513","0.10418283194303513","28813","28813","28813","0.028722435235977173","0.028722435235977173","0.028722435235977173","28812","28812","28812","0.023478813469409943","0.023478813469409943","0.023478813469409943","28896","28896","28896","0.043896280229091644","0.043896280229091644","0.043896280229091644","28813","28813","28813","0.024672886356711388","0.024672886356711388","0.024672886356711388","28812","28812","28812","0.02408755011856556","0.02408755011856556","0.02408755011856556","28812","28812","28812","0.02387741394340992","0.02387741394340992","0.02387741394340992","28812","28812","28812","0.02375710755586624","0.02375710755586624","0.02375710755586624","28815","28815","28815","0.025589052587747574","0.025589052587747574","0.025589052587747574","28819","28819","28819","0.026826564222574234","0.026826564222574234","0.026826564222574234","28827","28827","28827","0.02784324809908867","0.02784324809908867","0.02784324809908867"
"17999","","","","","","","36016","36016","36016","0.024854261428117752","0.024854261428117752","0.024854261428117752","","","","","","","","","","","","","36016","36016","36016","0.02256953716278076","0.02256953716278076","0.02256953716278076","","","","","","","","","","","","","36120","36120","36120","0.05581461638212204","0.05581461638212204","0.05581461638212204","36016","36016","36016","0.024111436679959297","0.024111436679959297","0.024111436679959297","37204","37204","37204","0.10403748601675034","0.10403748601675034","0.10403748601675034","36016","36016","36016","0.02661178819835186","0.02661178819835186","0.02661178819835186","36016","36016","36016","0.023464877158403397","0.023464877158403397","0.023464877158403397","36120","36120","36120","0.0442950464785099","0.0442950464785099","0.0442950464785099","36016","36016","36016","0.023484475910663605","0.023484475910663605","0.023484475910663605","36016","36016","36016","0.02294205129146576","0.02294205129146576","0.02294205129146576","36016","36016","36016","0.022234458476305008","0.022234458476305008","0.022234458476305008","36016","36016","36016","0.022332388907670975","0.022332388907670975","0.022332388907670975","36019","36019","36019","0.023915966972708702","0.023915966972708702","0.023915966972708702","36024","36024","36024","0.025604741647839546","0.025604741647839546","0.025604741647839546","36033","36033","36033","0.02721775695681572","0.02721775695681572","0.02721775695681572"
"19199","38414","38414","38414","0.02121872641146183","0.02121872641146183","0.02121872641146183","","","","","","","38414","38414","38414","0.021361345425248146","0.021361345425248146","0.021361345425248146","38414","38414","38414","0.021558258682489395","0.021558258682489395","0.021558258682489395","","","","","","","38414","38414","38414","0.02134319767355919","0.02134319767355919","0.02134319767355919","38414","38414","38414","0.021865401417016983","0.021865401417016983","0.021865401417016983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21599","","","","","","","43219","43219","43219","0.02362968400120735","0.02362968400120735","0.02362968400120735","","","","","","","","","","","","","43219","43219","43219","0.020917296409606934","0.020917296409606934","0.020917296409606934","","","","","","","","","","","","","43344","43344","43344","0.05575151368975639","0.05575151368975639","0.05575151368975639","43219","43219","43219","0.023174813017249107","0.023174813017249107","0.023174813017249107","44645","44645","44645","0.10391449183225632","0.10391449183225632","0.10391449183225632","43219","43219","43219","0.02602054923772812","0.02602054923772812","0.02602054923772812","43219","43219","43219","0.021166794002056122","0.021166794002056122","0.021166794002056122","43344","43344","43344","0.04412802681326866","0.04412802681326866","0.04412802681326866","43219","43219","43219","0.022558989003300667","0.022558989003300667","0.022558989003300667","43219","43219","43219","0.02067236788570881","0.02067236788570881","0.02067236788570881","43219","43219","43219","0.020175384357571602","0.020175384357571602","0.020175384357571602","43219","43219","43219","0.02133287861943245","0.02133287861943245","0.02133287861943245","43223","43223","43223","0.022808799520134926","0.022808799520134926","0.022808799520134926","43229","43229","43229","0.024378284811973572","0.024378284811973572","0.024378284811973572","43240","43240","43240","0.026130493730306625","0.026130493730306625","0.026130493730306625"
"25199","","","","","","","50422","50422","50422","0.021967455744743347","0.021967455744743347","0.021967455744743347","","","","","","","","","","","","","50422","50422","50422","0.019943570718169212","0.019943570718169212","0.019943570718169212","","","","","","","","","","","","","50568","50568","50568","0.05533760040998459","0.05533760040998459","0.05533760040998459","50422","50422","50422","0.02154301106929779","0.02154301106929779","0.02154301106929779","52086","52086","52086","0.10378097742795944","0.10378097742795944","0.10378097742795944","50423","50423","50423","0.025038156658411026","0.025038156658411026","0.025038156658411026","50422","50422","50422","0.020382151007652283","0.020382151007652283","0.020382151007652283","50568","50568","50568","0.043979987502098083","0.043979987502098083","0.043979987502098083","50423","50423","50423","0.021278580650687218","0.021278580650687218","0.021278580650687218","50422","50422","50422","0.02010638639330864","0.02010638639330864","0.02010638639330864","50422","50422","50422","0.01978253573179245","0.01978253573179245","0.01978253573179245","50422","50422","50422","0.019597575068473816","0.019597575068473816","0.019597575068473816","50427","50427","50427","0.02321919985115528","0.02321919985115528","0.02321919985115528","50433","50433","50433","0.023485906422138214","0.023485906422138214","0.023485906422138214","50447","50447","50447","0.025526631623506546","0.025526631623506546","0.025526631623506546"
