"trainer/global_step","2e4 - _step","2e4 - _step__MIN","2e4 - _step__MAX","2e4 - val-MAE Hessian","2e4 - val-MAE Hessian__MIN","2e4 - val-MAE Hessian__MAX","7e5 - _step","7e5 - _step__MIN","7e5 - _step__MAX","7e5 - val-MAE Hessian","7e5 - val-MAE Hessian__MIN","7e5 - val-MAE Hessian__MAX","5e5 - _step","5e5 - _step__MIN","5e5 - _step__MAX","5e5 - val-MAE Hessian","5e5 - val-MAE Hessian__MIN","5e5 - val-MAE Hessian__MAX","3e5 - _step","3e5 - _step__MIN","3e5 - _step__MAX","3e5 - val-MAE Hessian","3e5 - val-MAE Hessian__MIN","3e5 - val-MAE Hessian__MAX","6e5 - _step","6e5 - _step__MIN","6e5 - _step__MAX","6e5 - val-MAE Hessian","6e5 - val-MAE Hessian__MIN","6e5 - val-MAE Hessian__MAX","2e5 - _step","2e5 - _step__MIN","2e5 - _step__MAX","2e5 - val-MAE Hessian","2e5 - val-MAE Hessian__MIN","2e5 - val-MAE Hessian__MAX","1e3 - _step","1e3 - _step__MIN","1e3 - _step__MAX","1e3 - val-MAE Hessian","1e3 - val-MAE Hessian__MIN","1e3 - val-MAE Hessian__MAX","1e6 - _step","1e6 - _step__MIN","1e6 - _step__MAX","1e6 - val-MAE Hessian","1e6 - val-MAE Hessian__MIN","1e6 - val-MAE Hessian__MAX","1e4 - _step","1e4 - _step__MIN","1e4 - _step__MAX","1e4 - val-MAE Hessian","1e4 - val-MAE Hessian__MIN","1e4 - val-MAE Hessian__MAX","1e5 - _step","1e5 - _step__MIN","1e5 - _step__MAX","1e5 - val-MAE Hessian","1e5 - val-MAE Hessian__MIN","1e5 - val-MAE Hessian__MAX","4e5 - _step","4e5 - _step__MIN","4e5 - _step__MAX","4e5 - val-MAE Hessian","4e5 - val-MAE Hessian__MIN","4e5 - val-MAE Hessian__MAX","8e5 - _step","8e5 - _step__MIN","8e5 - _step__MAX","8e5 - val-MAE Hessian","8e5 - val-MAE Hessian__MIN","8e5 - val-MAE Hessian__MAX","1.7e6 - _step","1.7e6 - _step__MIN","1.7e6 - _step__MAX","1.7e6 - val-MAE Hessian","1.7e6 - val-MAE Hessian__MIN","1.7e6 - val-MAE Hessian__MAX","8e4 - _step","8e4 - _step__MIN","8e4 - _step__MAX","8e4 - val-MAE Hessian","8e4 - val-MAE Hessian__MIN","8e4 - val-MAE Hessian__MAX","6e4 - _step","6e4 - _step__MIN","6e4 - _step__MAX","6e4 - val-MAE Hessian","6e4 - val-MAE Hessian__MIN","6e4 - val-MAE Hessian__MAX","4e4 - _step","4e4 - _step__MIN","4e4 - _step__MAX","4e4 - val-MAE Hessian","4e4 - val-MAE Hessian__MIN","4e4 - val-MAE Hessian__MAX"
"3599","","","","","","","","","","","","","","","","","","","7203","7203","7203","0.09764618426561356","0.09764618426561356","0.09764618426561356","","","","","","","","","","","","","7440","7440","7440","0.17162233591079712","0.17162233591079712","0.17162233591079712","7203","7203","7203","0.09380584210157394","0.09380584210157394","0.09380584210157394","7224","7224","7224","0.10013201087713242","0.10013201087713242","0.10013201087713242","7203","7203","7203","0.09218587726354599","0.09218587726354599","0.09218587726354599","7203","7203","7203","0.08570586144924164","0.08570586144924164","0.08570586144924164","7203","7203","7203","0.08319840580224991","0.08319840580224991","0.08319840580224991","7203","7203","7203","0.10433171689510345","0.10433171689510345","0.10433171689510345","7203","7203","7203","0.08839662373065948","0.08839662373065948","0.08839662373065948","7204","7204","7204","0.09621384739875793","0.09621384739875793","0.09621384739875793","7206","7206","7206","0.09245853126049042","0.09245853126049042","0.09245853126049042"
"6399","12804","12804","12804","0.07819850742816925","0.07819850742816925","0.07819850742816925","12804","12804","12804","0.07651303708553314","0.07651303708553314","0.07651303708553314","12804","12804","12804","0.07081054896116257","0.07081054896116257","0.07081054896116257","","","","","","","12804","12804","12804","0.0872373953461647","0.0872373953461647","0.0872373953461647","12804","12804","12804","0.09063960611820221","0.09063960611820221","0.09063960611820221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7199","","","","","","","","","","","","","","","","","","","14406","14406","14406","0.0685347467660904","0.0685347467660904","0.0685347467660904","","","","","","","","","","","","","14881","14881","14881","0.16203022003173828","0.16203022003173828","0.16203022003173828","14406","14406","14406","0.07855070382356644","0.07855070382356644","0.07855070382356644","14448","14448","14448","0.0892576053738594","0.0892576053738594","0.0892576053738594","14406","14406","14406","0.07192438840866089","0.07192438840866089","0.07192438840866089","14406","14406","14406","0.08072344213724136","0.08072344213724136","0.08072344213724136","14406","14406","14406","0.06905704736709595","0.06905704736709595","0.06905704736709595","14406","14406","14406","0.07256091386079788","0.07256091386079788","0.07256091386079788","14407","14407","14407","0.0794508159160614","0.0794508159160614","0.0794508159160614","14409","14409","14409","0.07088631391525269","0.07088631391525269","0.07088631391525269","14413","14413","14413","0.07468478381633759","0.07468478381633759","0.07468478381633759"
"10799","","","","","","","","","","","","","","","","","","","21609","21609","21609","0.06136846914887428","0.06136846914887428","0.06136846914887428","","","","","","","","","","","","","22322","22322","22322","0.15386603772640228","0.15386603772640228","0.15386603772640228","21609","21609","21609","0.06306014209985733","0.06306014209985733","0.06306014209985733","21672","21672","21672","0.08481929451227188","0.08481929451227188","0.08481929451227188","21609","21609","21609","0.06649674475193024","0.06649674475193024","0.06649674475193024","21609","21609","21609","0.07173916697502136","0.07173916697502136","0.07173916697502136","21609","21609","21609","0.06846465170383453","0.06846465170383453","0.06846465170383453","21609","21609","21609","0.07229400426149368","0.07229400426149368","0.07229400426149368","21611","21611","21611","0.07036704570055008","0.07036704570055008","0.07036704570055008","21614","21614","21614","0.07018858939409256","0.07018858939409256","0.07018858939409256","21620","21620","21620","0.07062892615795135","0.07062892615795135","0.07062892615795135"
"12799","25609","25609","25609","0.06591495871543884","0.06591495871543884","0.06591495871543884","25609","25609","25609","0.06329736113548279","0.06329736113548279","0.06329736113548279","25609","25609","25609","0.0658101737499237","0.0658101737499237","0.0658101737499237","","","","","","","25609","25609","25609","0.06318091601133347","0.06318091601133347","0.06318091601133347","25609","25609","25609","0.061424095183610916","0.061424095183610916","0.061424095183610916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14399","","","","","","","","","","","","","","","","","","","28812","28812","28812","0.05733145773410797","0.05733145773410797","0.05733145773410797","","","","","","","","","","","","","29763","29763","29763","0.1574060469865799","0.1574060469865799","0.1574060469865799","28812","28812","28812","0.06030602008104324","0.06030602008104324","0.06030602008104324","28896","28896","28896","0.07899697870016098","0.07899697870016098","0.07899697870016098","28813","28813","28813","0.06076281890273094","0.06076281890273094","0.06076281890273094","28812","28812","28812","0.0621531680226326","0.0621531680226326","0.0621531680226326","28812","28812","28812","0.05768093094229698","0.05768093094229698","0.05768093094229698","28812","28812","28812","0.06303087621927261","0.06303087621927261","0.06303087621927261","28815","28815","28815","0.05901708826422691","0.05901708826422691","0.05901708826422691","28819","28819","28819","0.06598661094903946","0.06598661094903946","0.06598661094903946","28827","28827","28827","0.06402718275785446","0.06402718275785446","0.06402718275785446"
"17999","","","","","","","","","","","","","","","","","","","36016","36016","36016","0.055319879204034805","0.055319879204034805","0.055319879204034805","","","","","","","","","","","","","37204","37204","37204","0.1565442979335785","0.1565442979335785","0.1565442979335785","36016","36016","36016","0.06171584129333496","0.06171584129333496","0.06171584129333496","36120","36120","36120","0.07721696048974991","0.07721696048974991","0.07721696048974991","36016","36016","36016","0.05697856470942497","0.05697856470942497","0.05697856470942497","36016","36016","36016","0.05722939595580101","0.05722939595580101","0.05722939595580101","36016","36016","36016","0.0563812218606472","0.0563812218606472","0.0563812218606472","36016","36016","36016","0.05379008501768112","0.05379008501768112","0.05379008501768112","36019","36019","36019","0.05799983814358711","0.05799983814358711","0.05799983814358711","36024","36024","36024","0.059266168624162674","0.059266168624162674","0.059266168624162674","36033","36033","36033","0.06351817399263382","0.06351817399263382","0.06351817399263382"
"19199","38414","38414","38414","0.05541212484240532","0.05541212484240532","0.05541212484240532","38414","38414","38414","0.05995762348175049","0.05995762348175049","0.05995762348175049","38414","38414","38414","0.05548623949289322","0.05548623949289322","0.05548623949289322","","","","","","","38414","38414","38414","0.05545616149902344","0.05545616149902344","0.05545616149902344","38414","38414","38414","0.05217060074210167","0.05217060074210167","0.05217060074210167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21599","","","","","","","","","","","","","","","","","","","43219","43219","43219","0.056455884128808975","0.056455884128808975","0.056455884128808975","","","","","","","","","","","","","44645","44645","44645","0.150025874376297","0.150025874376297","0.150025874376297","43219","43219","43219","0.0528893806040287","0.0528893806040287","0.0528893806040287","43344","43344","43344","0.07848679274320602","0.07848679274320602","0.07848679274320602","43219","43219","43219","0.058065954595804214","0.058065954595804214","0.058065954595804214","43219","43219","43219","0.05488758161664009","0.05488758161664009","0.05488758161664009","43219","43219","43219","0.05465811863541603","0.05465811863541603","0.05465811863541603","43219","43219","43219","0.05323179438710213","0.05323179438710213","0.05323179438710213","43223","43223","43223","0.056113217025995255","0.056113217025995255","0.056113217025995255","43229","43229","43229","0.05350152403116226","0.05350152403116226","0.05350152403116226","43240","43240","43240","0.059603411704301834","0.059603411704301834","0.059603411704301834"
"25199","","","","","","","","","","","","","","","","","","","50422","50422","50422","0.05351122468709946","0.05351122468709946","0.05351122468709946","","","","","","","","","","","","","52086","52086","52086","0.14897365868091583","0.14897365868091583","0.14897365868091583","50422","50422","50422","0.05112231895327568","0.05112231895327568","0.05112231895327568","50568","50568","50568","0.07689010351896286","0.07689010351896286","0.07689010351896286","50423","50423","50423","0.052736714482307434","0.052736714482307434","0.052736714482307434","50422","50422","50422","0.048715244978666306","0.048715244978666306","0.048715244978666306","50422","50422","50422","0.05337981879711151","0.05337981879711151","0.05337981879711151","50422","50422","50422","0.04794936254620552","0.04794936254620552","0.04794936254620552","50427","50427","50427","0.05291399732232094","0.05291399732232094","0.05291399732232094","50433","50433","50433","0.05573125183582306","0.05573125183582306","0.05573125183582306","50447","50447","50447","0.057399310171604156","0.057399310171604156","0.057399310171604156"
